# R=100µm, R/L=100, T=300K
# eta, ldim, E, (E-E_exact)/E_exac
1, 100, -450.372, 0.149219
1.34, 134, -483.652, 0.086352
1.67, 167, -503.158, 0.0495042
2, 200, -514.573, 0.0279404
2.34, 234, -521.278, 0.0152743
2.67, 267, -524.911, 0.00841073
3, 300, -526.929, 0.00459914
3.34, 334, -528.066, 0.00245241
3.67, 367, -528.662, 0.00132515
4, 400, -528.986, 0.000713243
4.34, 434, -529.165, 0.000375333
4.67, 467, -529.257, 0.0002007
5, 500, -529.307, 0.000107068
5.34, 534, -529.334, 5.59135e-05
5.67, 567, -529.348, 2.97064e-05
6, 600, -529.355, 1.57584e-05
6.34, 634, -529.359, 8.1882e-06
6.67, 667, -529.361, 4.33183e-06
7, 700, -529.363, 2.28917e-06
7.34, 734, -529.363, 1.1853e-06
7.67, 767, -529.363, 6.25154e-07
8, 800, -529.364, 3.29452e-07
8.34, 834, -529.364, 1.70146e-07
8.67, 867, -529.364, 8.95339e-08
9, 900, -529.364, 4.70847e-08
9.34, 934, -529.364, 2.42688e-08
9.67, 967, -529.364, 1.27481e-08
10, 1000, -529.364, 6.69307e-09
