# R=100µm, T=300K
# eta, ldim, E, (E-E_exact)/E_exac
1, 50, -174.213, 0.08498
1.34, 67, -181.143, 0.0485825
1.68, 84, -185.148, 0.0275446
2, 100, -187.361, 0.0159215
2.34, 117, -188.721, 0.00877657
2.68, 134, -189.48, 0.00479103
3, 150, -189.881, 0.00268635
3.34, 167, -190.118, 0.00144217
3.68, 184, -190.246, 0.000769983
4, 200, -190.311, 0.000424547
4.34, 217, -190.35, 0.00022463
4.68, 234, -190.37, 0.000118465
5, 250, -190.38, 6.46984e-05
5.34, 267, -190.386, 3.39408e-05
5.68, 284, -190.389, 1.77683e-05
6, 300, -190.39, 9.64614e-06
6.34, 317, -190.391, 5.03251e-06
6.68, 334, -190.392, 2.62177e-06
7, 350, -190.392, 1.41756e-06
7.34, 367, -190.392, 7.36731e-07
7.68, 384, -190.392, 3.82493e-07
8, 400, -190.392, 2.06208e-07
8.34, 417, -190.392, 1.06869e-07
8.68, 434, -190.392, 5.53421e-08
9, 450, -190.392, 2.97703e-08
9.34, 467, -190.392, 1.53958e-08
9.68, 484, -190.392, 7.95702e-09
10, 500, -190.392, 4.27306e-09
