# R = 150 (µm)
# T = 300 (K)
# model = Drude
# omegap = 9 (eV)
# gamma = 0.035 (eV)

# L (nm), F (N), F/Fpfa
88.875, -2.80431371726889e-10, 0.999577268379677
93.5, -2.46658378539859e-10, 0.999556334818331
98.125, -2.18172118660731e-10, 0.999535798655383
102.75, -1.93964024629195e-10, 0.999515618882124
107.375, -1.73250394758844e-10, 0.999495765662116
112, -1.55415488240578e-10, 0.999476216291575
116.625, -1.39970619402931e-10, 0.999456952588028
121.25, -1.26524333849813e-10, 0.999437960064491
125.875, -1.14760380355348e-10, 0.9994192261893
130.5, -1.04421245928082e-10, 0.999400740262204
135.125, -9.52957128835938e-11, 0.999382492854835
139.75, -8.7209359361779e-11, 0.999364475382767
144.375, -8.00172382211962e-11, 0.999346680391513
149, -7.35981849173161e-11, 0.999329100815077
153.625, -6.78503556124191e-11, 0.999311730389518
158.25, -6.26877024965986e-11, 0.999294562695294
162.875, -5.80371696941776e-11, 0.999277592134208
167.5, -5.38364470703274e-11, 0.999260814094111
172.125, -5.00321595250589e-11, 0.999244223134945
176.75, -4.65783987431197e-11, 0.999227814352265
181.375, -4.34355257350998e-11, 0.999211584010657
186, -4.05691889566839e-11, 0.999195527563945
190.625, -3.79495152455921e-11, 0.999179640754924
195.25, -3.55504399078945e-11, 0.999163920099885
199.875, -3.3349149366443e-11, 0.999148362135718
204.5, -3.1325615568369e-11, 0.999132962956938
209.125, -2.94622054380172e-11, 0.99911771928998
213.75, -2.7743351883125e-11, 0.999102628490078
218.375, -2.61552756427217e-11, 0.999087686766089
223, -2.4685749384303e-11, 0.999072891607908
227.625, -2.3323896756335e-11, 0.999058240193148
232.25, -2.20600207827627e-11, 0.999043729467322
236.875, -2.08854568301258e-11, 0.999029357068707
241.5, -1.97924461921159e-11, 0.999015120463317
246.125, -1.87740271360387e-11, 0.999001016930182
250.75, -1.78239407355872e-11, 0.99898704446661
255.375, -1.69365492075013e-11, 0.998973200266142
260, -1.61067649889514e-11, 0.99895948226457
264.625, -1.5329988932152e-11, 0.998945888628025
269.25, -1.46020563128046e-11, 0.998932417158123
273.875, -1.3919189593811e-11, 0.998919065607054
278.5, -1.32779569595672e-11, 0.998905830831848
283.125, -1.26752359467551e-11, 0.998892713535029
287.75, -1.21081812209908e-11, 0.998879709915503
292.375, -1.1574196315028e-11, 0.998866818014423
297, -1.1070908552161e-11, 0.998854037080523
301.625, -1.05961467928026e-11, 0.998841365050227
306.25, -1.01479217146587e-11, 0.998828799479427
310.875, -9.72440828718687e-12, 0.998816338857559
315.5, -9.32393013146561e-12, 0.998803983254564
320.125, -8.94494552292754e-12, 0.99879172887196
324.75, -8.58603497006409e-12, 0.998779574257931
329.375, -8.24589003770161e-12, 0.998767519102011
334, -7.92330331414607e-12, 0.998755562557143
338.625, -7.61715939859637e-12, 0.998743701233702
343.25, -7.32642685574175e-12, 0.998731933681026
347.875, -7.05015091089599e-12, 0.998720259173222
352.5, -6.78744687689994e-12, 0.998708676987245
357.125, -6.53749421741181e-12, 0.998697185793299
361.75, -6.2995311708213e-12, 0.998685782752847
366.375, -6.07284992101149e-12, 0.998674467115946
371, -5.85679217701353e-12, 0.998663238955283
375.625, -5.65074516044774e-12, 0.998652095635102
380.25, -5.45413798933497e-12, 0.998641035327131
384.875, -5.26643837755348e-12, 0.998630057490291
389.5, -5.08714962510011e-12, 0.998619162886926
394.125, -4.91580783930338e-12, 0.99860834767443
398.75, -4.75197947141351e-12, 0.998597610219603
403.375, -4.59525902491173e-12, 0.998586951903961
408, -4.44526693053374e-12, 0.998576369984934
412.625, -4.30164766515348e-12, 0.998565864741348
417.25, -4.16406796252563e-12, 0.998555432938531
421.875, -4.03221523473388e-12, 0.998545074765577
426.5, -3.90579607214968e-12, 0.998534788732287
431.125, -3.78453489052571e-12, 0.998524573927669
435.75, -3.66817268433568e-12, 0.998514430600178
440.375, -3.55646586250799e-12, 0.998504356242879
445, -3.44918519857062e-12, 0.998494349141673
449.625, -3.34611485576888e-12, 0.998484408776801
454.25, -3.24705148937038e-12, 0.998474537813111
458.875, -3.15180337133007e-12, 0.998464728887938
463.5, -3.06018968246232e-12, 0.998454984356724
468.125, -2.9720397670436e-12, 0.998445306308014
472.75, -2.88719244514728e-12, 0.99843568718341
477.375, -2.80549546237655e-12, 0.998426129659993
482, -2.72680488700425e-12, 0.998416635791941
486.625, -2.65098456532314e-12, 0.998407199306814
491.25, -2.57790567925096e-12, 0.998397822452498
495.875, -2.50744625418882e-12, 0.998388501499059
500.5, -2.4394907671199e-12, 0.998379238871525
505.125, -2.37392973228568e-12, 0.998370034287586
509.75, -2.31065932778743e-12, 0.998360881134939
514.375, -2.24958109862165e-12, 0.998351784367835
519, -2.19060159520022e-12, 0.998342742735467
523.625, -2.13363208657323e-12, 0.998333751581679
528.25, -2.07858830574154e-12, 0.998324812972566
532.875, -2.02539016973709e-12, 0.998315925187906
537.5, -1.97396154792352e-12, 0.998307087735004
542.125, -1.92423003446672e-12, 0.998298299682462
546.75, -1.87612673760253e-12, 0.99828955974042
551.375, -1.82958608986754e-12, 0.998280870378703
556, -1.78454564147718e-12, 0.998272225470169
560.625, -1.740945917753e-12, 0.998263627493867
565.25, -1.69873023388776e-12, 0.998255074468226
569.875, -1.65784455812037e-12, 0.998246568738658
574.5, -1.6182373482238e-12, 0.998238104693582
579.125, -1.57985944292935e-12, 0.998229683948589
583.75, -1.54266392499026e-12, 0.998221308614545
588.375, -1.50660598716995e-12, 0.998212971689362
593, -1.47164285609627e-12, 0.998204679189834
597.625, -1.4377336481081e-12, 0.99819642443362
602.25, -1.40483930289913e-12, 0.998188209440198
606.875, -1.37292247819358e-12, 0.998180036256272
611.5, -1.34194744999799e-12, 0.998171898577427
616.125, -1.31188005438035e-12, 0.998163798450755
620.75, -1.28268759734807e-12, 0.998155737673808
625.375, -1.2543387761868e-12, 0.998147713378896
630, -1.22680361607177e-12, 0.998139722094431
634.625, -1.20005341201448e-12, 0.998131765732829
639.25, -1.17406066181614e-12, 0.998123847038334
643.875, -1.14879899346751e-12, 0.998115957897006
648.5, -1.12424314113216e-12, 0.99810810503678
653.125, -1.10036886331573e-12, 0.998100284744934
657.75, -1.07715290542034e-12, 0.998092492544019
662.375, -1.05457296639643e-12, 0.998084735584859
667, -1.032607625405e-12, 0.998077005688023
671.625, -1.01123632865165e-12, 0.998069305339888
676.25, -9.90439337500644e-13, 0.998061637148447
680.875, -9.70197684996215e-13, 0.998053997051852
685.5, -9.50493151735214e-13, 0.998046385674786
690.125, -9.31308221872436e-13, 0.99803879773669
694.75, -9.1262606860743e-13, 0.998031240470248
699.375, -8.94430500961173e-13, 0.998023709451573
704, -8.76705947183227e-13, 0.998016200680991
708.625, -8.59437431978812e-13, 0.998008716760097
713.25, -8.42610545157248e-13, 0.998001260543597
717.875, -8.26211410702134e-13, 0.997993827714843
722.5, -8.10226673024239e-13, 0.997986417979631
727.125, -7.94643472426809e-13, 0.997979032637727
731.75, -7.79449412776202e-13, 0.997971660465665
736.375, -7.64632573111682e-13, 0.99796431795161
741, -7.50181449635415e-13, 0.99795700047875
745.625, -7.36084948690294e-13, 0.997949694964808
750.25, -7.22332390519936e-13, 0.997942409079226
754.875, -7.08913478111001e-13, 0.997935152168819
759.5, -6.95818259833601e-13, 0.997927904579402
764.125, -6.8303715562179e-13, 0.9979206751263
768.75, -6.70560922193904e-13, 0.997913473415431
773.375, -6.58380618354907e-13, 0.997906278013008
778, -6.46487638394142e-13, 0.997899105237846
782.625, -6.34873658978541e-13, 0.997891948923671
787.25, -6.23530642867364e-13, 0.997884802746044
