# R = 150 (µm)
# T = 300 (K)
# model = Drude
# omegap = 9 (eV)
# gamma = 0.035 (eV)

# L (nm), F' (N/m), F'/F'pfa
88.875, 0.0079618799375517, 0.999735004801158
93.5, 0.00668955237675052, 0.99971911689624
98.125, 0.00566486385575968, 0.99970343226646
102.75, 0.00483152379663623, 0.999687929267678
107.375, 0.00414775398131019, 0.999672592256166
112, 0.00358213482782018, 0.999657410842721
116.625, 0.0031107503713796, 0.999642379631804
121.25, 0.00271519388860866, 0.999627486559828
125.875, 0.00238115407485928, 0.999612738481553
130.5, 0.00209739879496553, 0.999598116563159
135.125, 0.00185503574553997, 0.999583634546137
139.75, 0.00164696785933231, 0.999569270833768
144.375, 0.0014674882577596, 0.999555040792246
149, 0.00131197552872552, 0.999540925384991
153.625, 0.00117666270042662, 0.999526931759768
158.25, 0.00105846027154289, 0.999513063115733
162.875, 0.000954819656460856, 0.999499299024967
167.5, 0.000863627051799852, 0.999485649561407
172.125, 0.000783120203419426, 0.99947211750465
176.75, 0.000711822788643969, 0.999458689854528
181.375, 0.00064849234797159, 0.999445361853664
186, 0.00059207868541138, 0.999432150322651
190.625, 0.000541690411636479, 0.999419039424095
195.25, 0.00049656797504189, 0.999406019880071
199.875, 0.000456061748166014, 0.999393108468647
204.5, 0.000419614115408451, 0.999380298641519
209.125, 0.000386744818191965, 0.999367574183564
213.75, 0.000357038892328934, 0.999354944698477
218.375, 0.000330136669383134, 0.99934242658772
223, 0.000305725458668652, 0.999329969651721
227.625, 0.000283532689463705, 0.99931763523544
232.25, 0.00026332004982615, 0.999305364005595
236.875, 0.000244878692819125, 0.999293200709107
241.5, 0.000228025085872657, 0.999281101655824
246.125, 0.000212597593143606, 0.999269118945722
250.75, 0.000198453484919324, 0.999257176646545
255.375, 0.000185466502603952, 0.999245375878953
260, 0.000173524643969217, 0.999233595643911
264.625, 0.000162528423931644, 0.999221947317011
269.25, 0.000152389226011549, 0.999210326668902
273.875, 0.000143028026769518, 0.999198847694426
278.5, 0.00013437416549524, 0.999187420431388
283.125, 0.000126364379678138, 0.999176009042384
287.75, 0.000118941950012023, 0.999164796804681
292.375, 0.000112055862877372, 0.999153543538023
297, 0.000105660256239709, 0.999142447326057
301.625, 9.97137497729076e-05, 0.999131343579449
306.25, 9.4179021134297e-05, 0.999120435023282
310.875, 8.90222798790347e-05, 0.99910945246691
315.5, 8.42129755162436e-05, 0.999098642056
320.125, 7.97233729497497e-05, 0.99908787117322
324.75, 7.55283049061399e-05, 0.999077208995819
329.375, 7.16048732863676e-05, 0.999066518542102
334, 6.7932253550461e-05, 0.99905596895664
338.625, 6.44914469661111e-05, 0.999045500168019
343.25, 6.12651161842879e-05, 0.999035080369214
347.875, 5.82374217646082e-05, 0.999024719520468
352.5, 5.53938721087378e-05, 0.999014404172508
357.125, 5.27211976957632e-05, 0.999004169487449
361.75, 5.02072322975223e-05, 0.998994057303534
366.375, 4.78407996491182e-05, 0.998983915232643
371, 4.5611645085443e-05, 0.998973885334115
375.625, 4.351032785203e-05, 0.998963918076618
380.25, 4.15281599476981e-05, 0.998954049956137
384.875, 3.96571289063764e-05, 0.998944171794566
389.5, 3.78898502145445e-05, 0.998934334372723
394.125, 3.62195100943781e-05, 0.998924712845486
398.75, 3.46397944412909e-05, 0.998915002111802
403.375, 3.31448806676217e-05, 0.998905397406646
408, 3.17293708596035e-05, 0.998895873219377
412.625, 3.03882611677476e-05, 0.998886319546851
417.25, 2.91169233807609e-05, 0.998877022420947
421.875, 2.79110408160056e-05, 0.998867527866828
426.5, 2.67666316029867e-05, 0.998858360244944
431.125, 2.56799654956898e-05, 0.99884896441589
435.75, 2.46476005940318e-05, 0.998839866778497
