# Casimir force F for a sphere of radius R above a plate at various separations L
# measured by Ricardo Decca
#
# R = 52300nm
#
# F_PR = -pi^3*hbar*c*R/(360*L^3)
#
# L (nm), F/F_PR
1.60656E2, 0.64496
1.69759E2, 0.65681
1.79207E2, 0.67331
1.89947E2, 0.66165
2.00068E2, 0.68487
2.09642E2, 0.69301
2.20349E2, 0.7028
2.30355E2, 0.72575
2.39754E2, 0.71067
2.50512E2, 0.73284
2.60269E2, 0.724
2.69689E2, 0.75166
2.80249E2, 0.75007
2.89954E2, 0.7973
2.99553E2, 0.73312
3.09977E2, 0.77092
3.20207E2, 0.7776
3.30344E2, 0.78797
3.39721E2, 0.80641
3.49406E2, 0.78079
3.59959E2, 0.79021
3.70603E2, 0.78799
3.80095E2, 0.80358
3.89744E2, 0.82509
3.99803E2, 0.81501
4.09761E2, 0.79348
4.20074E2, 0.82168
4.29198E2, 0.81577
4.39981E2, 0.87345
4.49963E2, 0.83819
4.59979E2, 0.84752
4.69871E2, 0.8392
4.79799E2, 0.8688
4.90168E2, 0.8666
5.00373E2, 0.8544
5.09677E2, 0.87132
5.19295E2, 0.84722
5.2984E2, 0.884
5.39602E2, 0.84996
5.50337E2, 0.88525
5.59999E2, 0.86879
5.69689E2, 0.87172
5.80575E2, 0.89383
5.89721E2, 0.87047
5.99843E2, 0.9032
6.09368E2, 0.86182
6.19997E2, 0.90152
6.29395E2, 0.90749
6.3935E2, 0.88156
6.49842E2, 0.85549
6.59569E2, 0.88692
6.70365E2, 0.89515
6.79649E2, 0.86751
6.89745E2, 0.89185
7.00946E2, 0.86058
7.09415E2, 0.87441
7.19955E2, 0.88749
7.29839E2, 0.90717
7.40504E2, 0.88191
7.50434E2, 0.90119
