# Casimir force F for a sphere of radius R above a plate at various separations L
# measured by Ricardo Decca
#
# R = 10500nm
# T = 295K
#
# F_PR = -pi^3*hbar*c*R/(360*L^3)
#
# L (nm), F/F_PR
1.60081E2, 0.6874
1.70335E2, 0.66107
1.80487E2, 0.68174
1.89757E2, 0.65296
1.99455E2, 0.71791
2.09793E2, 0.71721
2.20318E2, 0.73171
2.29719E2, 0.683
2.39947E2, 0.74662
2.50631E2, 0.73345
2.59395E2, 0.73277
2.70731E2, 0.77994
2.79611E2, 0.76066
2.90035E2, 0.73738
3.00082E2, 0.7416
3.08865E2, 0.79614
3.20328E2, 0.7931
3.3E2, 0.7915
3.40198E2, 0.81467
3.49851E2, 0.82107
3.59995E2, 0.8277
3.69712E2, 0.83067
3.80255E2, 0.80363
3.90304E2, 0.83166
4.00048E2, 0.82357
4.10203E2, 0.84279
4.19632E2, 0.83966
4.29285E2, 0.82874
4.38956E2, 0.82353
4.50266E2, 0.80412
4.59594E2, 0.83002
4.69642E2, 0.86504
4.80318E2, 0.84945
4.89923E2, 0.8476
5.006E2, 0.83148
5.09671E2, 0.85742
5.20482E2, 0.85629
5.29794E2, 0.82476
5.405E2, 0.83992
5.4988E2, 0.87771
5.59839E2, 0.91038
5.70099E2, 0.91555
5.80538E2, 0.84458
5.8986E2, 0.87188
5.99472E2, 0.89186
6.09962E2, 0.88962
6.18786E2, 0.87899
6.30214E2, 0.91625
6.39887E2, 0.8975
6.50004E2, 0.85025
6.59756E2, 0.86828
6.70179E2, 0.84578
6.79893E2, 0.90703
6.90324E2, 0.88613
6.99678E2, 0.91325
7.09604E2, 0.90347
7.19719E2, 0.92526
7.29906E2, 0.90604
7.40351E2, 0.91168
7.50067E2, 0.87627
