# Casimir force gradient F' for a sphere of radius R above a plate at various
# separations L measured by Ricardo Decca
#
# R = 102300nm
# T = 295K
#
# F'_PR = -pi^3*hbar*c*R/(120*L^4)
#
# L (nm), F'/F'_PR, error bar
164.1, 0.58961, 5.25E-04
166.0, 0.59151, 4.55E-04
167.7, 0.59294, 5.44E-04
169.9, 0.59493, 5.56E-04
172.1, 0.59865, 5.22E-04
173.9, 0.60030, 4.68E-04
176.0, 0.60213, 5.20E-04
178.2, 0.60472, 4.59E-04
179.8, 0.60650, 4.70E-04
181.6, 0.60798, 4.93E-04
184.1, 0.61161, 4.42E-04
185.7, 0.61325, 5.51E-04
188.4, 0.61539, 5.35E-04
189.8, 0.61817, 4.83E-04
192.0, 0.61831, 5.33E-04
194.0, 0.62120, 4.36E-04
196.6, 0.62349, 5.06E-04
198.2, 0.62680, 5.25E-04
199.7, 0.62743, 5.25E-04
201.7, 0.63026, 5.21E-04
204.0, 0.63229, 5.31E-04
205.6, 0.63348, 4.81E-04
208.1, 0.63777, 5.32E-04
210.0, 0.63743, 5.40E-04
212.0, 0.64084, 5.60E-04
213.8, 0.64227, 4.69E-04
215.9, 0.64553, 4.86E-04
218.2, 0.64614, 5.00E-04
219.8, 0.64978, 5.13E-04
221.7, 0.65022, 4.49E-04
223.8, 0.65326, 5.34E-04
226.1, 0.65391, 4.84E-04
227.7, 0.65682, 4.81E-04
230.0, 0.65821, 4.33E-04
232.0, 0.66026, 4.54E-04
233.6, 0.66152, 5.26E-04
236.1, 0.66476, 5.50E-04
238.0, 0.66671, 4.35E-04
240.4, 0.66767, 5.09E-04
242.4, 0.66936, 4.52E-04
244.0, 0.67008, 5.11E-04
246.1, 0.67247, 5.43E-04
247.8, 0.67522, 5.16E-04
249.5, 0.67614, 4.43E-04
252.3, 0.67792, 4.25E-04
253.8, 0.68030, 5.48E-04
256.3, 0.68151, 4.49E-04
258.0, 0.68270, 4.26E-04
260.0, 0.68487, 5.67E-04
261.7, 0.68829, 5.33E-04
264.1, 0.68835, 5.06E-04
266.2, 0.68942, 4.51E-04
268.1, 0.68940, 4.26E-04
270.5, 0.69392, 5.47E-04
272.4, 0.69421, 5.10E-04
274.1, 0.69584, 5.11E-04
275.7, 0.69644, 4.55E-04
277.6, 0.70008, 5.14E-04
279.6, 0.70054, 5.28E-04
281.9, 0.70243, 5.10E-04
283.7, 0.70458, 5.44E-04
285.7, 0.70509, 5.58E-04
288.0, 0.70670, 4.85E-04
290.4, 0.70847, 5.09E-04
291.9, 0.71003, 5.39E-04
293.5, 0.71140, 5.32E-04
296.0, 0.71300, 4.99E-04
298.0, 0.71461, 4.54E-04
300.1, 0.71510, 4.82E-04
301.9, 0.71939, 4.83E-04
303.8, 0.71868, 5.36E-04
306.0, 0.72113, 5.20E-04
308.0, 0.72519, 4.39E-04
310.3, 0.72322, 4.46E-04
312.2, 0.72230, 5.21E-04
313.4, 0.72739, 4.35E-04
316.0, 0.72528, 4.28E-04
318.2, 0.72627, 4.42E-04
320.3, 0.72959, 4.37E-04
322.4, 0.72648, 5.11E-04
324.1, 0.73053, 4.61E-04
325.8, 0.72804, 4.70E-04
328.0, 0.73135, 5.20E-04
329.7, 0.73474, 4.32E-04
331.6, 0.73576, 5.00E-04
333.8, 0.73586, 4.21E-04
336.4, 0.73568, 4.69E-04
337.9, 0.73850, 5.36E-04
340.2, 0.74350, 4.52E-04
341.9, 0.74485, 5.20E-04
343.6, 0.74517, 5.05E-04
346.0, 0.74291, 5.43E-04
347.9, 0.74166, 5.56E-04
349.8, 0.74460, 4.41E-04
352.0, 0.74396, 5.60E-04
354.2, 0.75324, 4.86E-04
355.7, 0.75224, 5.67E-04
357.6, 0.75507, 4.82E-04
359.9, 0.75513, 5.30E-04
362.1, 0.75945, 4.78E-04
364.1, 0.74910, 4.77E-04
365.9, 0.74992, 4.69E-04
368.0, 0.76037, 4.40E-04
370.1, 0.75485, 5.30E-04
371.7, 0.76137, 5.52E-04
373.7, 0.76497, 4.54E-04
375.9, 0.75995, 5.51E-04
378.0, 0.76106, 4.40E-04
379.7, 0.75653, 5.08E-04
381.9, 0.76568, 5.52E-04
384.1, 0.76148, 4.33E-04
386.1, 0.76994, 5.31E-04
388.2, 0.76420, 4.67E-04
389.7, 0.76597, 4.35E-04
392.1, 0.76459, 4.54E-04
394.1, 0.77213, 4.54E-04
396.1, 0.76568, 4.90E-04
398.5, 0.76627, 4.67E-04
400.2, 0.77634, 5.43E-04
401.9, 0.77108, 5.54E-04
403.5, 0.77151, 4.63E-04
406.0, 0.77610, 5.16E-04
408.5, 0.77320, 5.53E-04
410.4, 0.77734, 4.63E-04
411.9, 0.77217, 4.87E-04
414.1, 0.77481, 5.44E-04
415.8, 0.78161, 4.35E-04
418.0, 0.77304, 4.36E-04
420.0, 0.77519, 5.61E-04
422.1, 0.77794, 4.68E-04
423.9, 0.78436, 4.87E-04
426.3, 0.78055, 5.49E-04
428.4, 0.78893, 5.53E-04
430.5, 0.77353, 4.63E-04
431.7, 0.78745, 4.89E-04
434.4, 0.79858, 4.64E-04
436.0, 0.78597, 4.74E-04
437.8, 0.78522, 4.53E-04
439.5, 0.78512, 5.06E-04
442.1, 0.79259, 5.50E-04
443.6, 0.78024, 5.21E-04
445.6, 0.80113, 5.23E-04
448.1, 0.78768, 4.55E-04
449.9, 0.78510, 5.37E-04
451.9, 0.78917, 4.99E-04
454.2, 0.80713, 5.25E-04
456.0, 0.79130, 4.93E-04
458.3, 0.79258, 4.73E-04
460.0, 0.79792, 5.15E-04
462.3, 0.79878, 4.69E-04
464.2, 0.79725, 5.21E-04
466.0, 0.79986, 4.92E-04
468.1, 0.79453, 4.66E-04
470.4, 0.79124, 4.65E-04
472.3, 0.80463, 5.25E-04
474.4, 0.80252, 5.65E-04
476.0, 0.80124, 5.34E-04
478.4, 0.80210, 4.36E-04
479.8, 0.79932, 5.41E-04
481.8, 0.80867, 5.30E-04
484.1, 0.79500, 5.16E-04
485.8, 0.80332, 4.91E-04
488.1, 0.80385, 4.97E-04
489.9, 0.78562, 4.51E-04
491.7, 0.79723, 4.25E-04
493.9, 0.79525, 4.97E-04
495.8, 0.82150, 4.30E-04
498.3, 0.79602, 5.08E-04
499.8, 0.79202, 4.71E-04
501.8, 0.82946, 4.88E-04
504.0, 0.80210, 5.19E-04
506.0, 0.79122, 4.86E-04
507.7, 0.81190, 4.55E-04
510.1, 0.80649, 4.76E-04
512.2, 0.82168, 4.62E-04
514.2, 0.79682, 4.81E-04
516.1, 0.83273, 5.33E-04
517.8, 0.82791, 5.25E-04
520.4, 0.80855, 5.22E-04
521.9, 0.81740, 5.33E-04
524.1, 0.81506, 4.64E-04
526.3, 0.79794, 4.25E-04
528.0, 0.82555, 4.33E-04
530.2, 0.80941, 5.53E-04
531.9, 0.81093, 5.60E-04
533.6, 0.82605, 4.60E-04
536.5, 0.82723, 5.55E-04
537.8, 0.81662, 5.54E-04
540.0, 0.81862, 4.50E-04
541.9, 0.86203, 5.42E-04
544.1, 0.83615, 4.30E-04
546.1, 0.81725, 4.56E-04
547.7, 0.81177, 5.45E-04
550.2, 0.83219, 5.56E-04
551.7, 0.84395, 4.71E-04
554.5, 0.83223, 5.06E-04
555.6, 0.83371, 5.48E-04
557.8, 0.81881, 5.08E-04
560.3, 0.81188, 4.66E-04
562.3, 0.84539, 5.12E-04
563.8, 0.80445, 5.31E-04
566.4, 0.81307, 4.21E-04
568.2, 0.84970, 4.86E-04
569.8, 0.81476, 4.73E-04
572.4, 0.83436, 4.72E-04
574.1, 0.82521, 4.80E-04
575.8, 0.82901, 5.01E-04
577.9, 0.83792, 5.03E-04
579.7, 0.80148, 5.10E-04
582.1, 0.88677, 4.96E-04
583.9, 0.83626, 4.62E-04
585.7, 0.84913, 5.25E-04
588.4, 0.79226, 4.33E-04
590.0, 0.85527, 5.66E-04
591.7, 0.84065, 5.34E-04
593.8, 0.81473, 4.69E-04
596.2, 0.84097, 4.83E-04
598.1, 0.85363, 5.07E-04
600.1, 0.85083, 4.46E-04
602.2, 0.78565, 4.27E-04
604.2, 0.83681, 5.29E-04
606.0, 0.81340, 5.53E-04
608.1, 0.82113, 5.27E-04
610.2, 0.81397, 4.86E-04
611.9, 0.90261, 4.97E-04
613.7, 0.87900, 5.15E-04
615.7, 0.78565, 5.24E-04
618.1, 0.87619, 4.51E-04
620.1, 0.82532, 4.65E-04
622.1, 0.84455, 4.97E-04
624.2, 0.80721, 5.15E-04
626.0, 0.84610, 5.60E-04
628.2, 0.81377, 4.42E-04
629.8, 0.83853, 5.12E-04
632.2, 0.84220, 4.73E-04
634.3, 0.84252, 5.45E-04
636.0, 0.81973, 5.36E-04
638.0, 0.84049, 5.19E-04
639.9, 0.87176, 5.43E-04
642.4, 0.82789, 5.50E-04
644.2, 0.84379, 4.73E-04
645.6, 0.91523, 4.40E-04
648.0, 0.85982, 4.29E-04
650.1, 0.84486, 5.48E-04
652.7, 0.79997, 5.04E-04
654.5, 0.90683, 5.55E-04
655.9, 0.84669, 4.68E-04
658.1, 0.84003, 4.79E-04
660.5, 0.83314, 4.21E-04
662.0, 0.86310, 5.26E-04
664.5, 0.84116, 4.21E-04
666.1, 0.83100, 5.16E-04
668.2, 0.88974, 4.47E-04
670.4, 0.88187, 4.59E-04
671.8, 0.92722, 5.17E-04
674.0, 0.80651, 4.33E-04
676.3, 0.83470, 5.44E-04
677.8, 0.84703, 5.51E-04
680.0, 0.92271, 5.18E-04
681.9, 0.88396, 5.59E-04
684.1, 0.84925, 4.28E-04
686.3, 0.79149, 5.05E-04
688.0, 0.84081, 4.69E-04
690.4, 0.93524, 4.30E-04
691.9, 0.80683, 5.53E-04
694.5, 0.89964, 5.61E-04
696.1, 0.89326, 4.67E-04
698.0, 0.88399, 4.47E-04
700.1, 0.84675, 4.80E-04
702.0, 0.81757, 4.20E-04
704.2, 0.88193, 4.45E-04
705.7, 0.80854, 4.75E-04
708.0, 0.83205, 4.64E-04
709.7, 0.86552, 4.73E-04
711.6, 0.81438, 5.46E-04
714.2, 0.94538, 5.02E-04
715.7, 0.88893, 4.47E-04
717.7, 0.85483, 4.49E-04
719.7, 0.86429, 4.65E-04
722.2, 1.00101, 4.23E-04
724.1, 0.78997, 4.38E-04
726.6, 0.89595, 5.45E-04
728.5, 0.76694, 4.87E-04
730.1, 0.83331, 5.48E-04
731.8, 0.83662, 5.62E-04
734.6, 0.93495, 4.96E-04
736.3, 0.71557, 4.95E-04
738.0, 0.85207, 5.66E-04
740.5, 0.84015, 4.35E-04
741.9, 0.81801, 5.49E-04
744.1, 0.85470, 5.19E-04
745.8, 0.80722, 4.46E-04
747.8, 0.78012, 5.56E-04
750.0, 0.76391, 5.04E-04
751.8, 0.82422, 5.20E-04
753.9, 0.84518, 5.45E-04
755.7, 0.92988, 5.22E-04
757.7, 0.81190, 5.20E-04
760.3, 0.83803, 4.85E-04
762.0, 0.84757, 5.27E-04
764.3, 0.83497, 4.65E-04
766.1, 0.72557, 4.20E-04
767.8, 0.88248, 5.31E-04
770.0, 0.94871, 4.66E-04
772.0, 0.91302, 4.88E-04
774.2, 0.81077, 5.44E-04
775.8, 0.82616, 4.55E-04
778.1, 0.81854, 4.22E-04
780.1, 0.74121, 5.37E-04
781.9, 0.92086, 4.27E-04
783.6, 0.68030, 5.49E-04
786.6, 0.86109, 5.28E-04
788.1, 0.86243, 5.30E-04
789.7, 0.86985, 4.28E-04
