# R = 102800nm
# order of finite difference formula: 8
# stepsize: 1
#
# L (nm), F_Drude/F_PR, F_PFA_Drude/F_PR, F_plasma/F_PR, F_PFA_plasma/F_PR
146, 0.609383, 0.609966, 0.628633, 0.629422
150, 0.614416, 0.615018, 0.634433, 0.635253
154, 0.619265, 0.619885, 0.640052, 0.640903
158, 0.623937, 0.624576, 0.645499, 0.64638
162, 0.628441, 0.629098, 0.650781, 0.651694
166, 0.632784, 0.63346, 0.655906, 0.65685
170, 0.636974, 0.637668, 0.660881, 0.661857
174, 0.641017, 0.641729, 0.665712, 0.666719
178, 0.64492, 0.64565, 0.670405, 0.671445
182, 0.648688, 0.649436, 0.674967, 0.676039
186, 0.652328, 0.653093, 0.679402, 0.680507
190, 0.655843, 0.656626, 0.683717, 0.684854
194, 0.659241, 0.660041, 0.687915, 0.689085
198, 0.662524, 0.663341, 0.692002, 0.693205
202, 0.665699, 0.666533, 0.695981, 0.697218
206, 0.668768, 0.66962, 0.699858, 0.701129
210, 0.671737, 0.672605, 0.703636, 0.70494
214, 0.674608, 0.675494, 0.707319, 0.708657
218, 0.677387, 0.678289, 0.71091, 0.712282
222, 0.680075, 0.680994, 0.714413, 0.715819
226, 0.682677, 0.683612, 0.717831, 0.719271
230, 0.685196, 0.686147, 0.721167, 0.722642
234, 0.687634, 0.688602, 0.724424, 0.725934
238, 0.689995, 0.690979, 0.727605, 0.72915
242, 0.692281, 0.693281, 0.730713, 0.732293
246, 0.694495, 0.695511, 0.73375, 0.735365
250, 0.69664, 0.697671, 0.736718, 0.738369
254, 0.698717, 0.699764, 0.73962, 0.741306
258, 0.700729, 0.701791, 0.742459, 0.74418
262, 0.702678, 0.703756, 0.745235, 0.746993
266, 0.704567, 0.70566, 0.747952, 0.749746
270, 0.706397, 0.707505, 0.750611, 0.752441
274, 0.70817, 0.709293, 0.753214, 0.755081
278, 0.709888, 0.711026, 0.755763, 0.757666
282, 0.711553, 0.712706, 0.758259, 0.760199
286, 0.713167, 0.714334, 0.760705, 0.762682
290, 0.71473, 0.715912, 0.763102, 0.765116
294, 0.716245, 0.717442, 0.76545, 0.767502
298, 0.717713, 0.718924, 0.767753, 0.769842
302, 0.719136, 0.720361, 0.770011, 0.772137
306, 0.720515, 0.721754, 0.772225, 0.774389
310, 0.721851, 0.723104, 0.774397, 0.776599
314, 0.723145, 0.724412, 0.776528, 0.778769
318, 0.724399, 0.72568, 0.778619, 0.780898
322, 0.725614, 0.726908, 0.780672, 0.782989
326, 0.726791, 0.728099, 0.782687, 0.785043
330, 0.727931, 0.729252, 0.784666, 0.787061
334, 0.729035, 0.73037, 0.78661, 0.789043
338, 0.730105, 0.731453, 0.788519, 0.790991
342, 0.73114, 0.732501, 0.790394, 0.792906
346, 0.732143, 0.733517, 0.792237, 0.794789
350, 0.733114, 0.7345, 0.794048, 0.79664
354, 0.734053, 0.735453, 0.795829, 0.79846
358, 0.734963, 0.736375, 0.79758, 0.800251
362, 0.735842, 0.737267, 0.799301, 0.802012
366, 0.736694, 0.738131, 0.800994, 0.803746
370, 0.737517, 0.738967, 0.80266, 0.805452
374, 0.738313, 0.739775, 0.804298, 0.807131
378, 0.739083, 0.740557, 0.805911, 0.808784
382, 0.739826, 0.741313, 0.807497, 0.810412
386, 0.740545, 0.742044, 0.809059, 0.812015
390, 0.74124, 0.74275, 0.810597, 0.813594
394, 0.74191, 0.743432, 0.812111, 0.81515
398, 0.742557, 0.744091, 0.813602, 0.816683
402, 0.743182, 0.744728, 0.815071, 0.818193
406, 0.743785, 0.745342, 0.816518, 0.819682
410, 0.744366, 0.745934, 0.817943, 0.82115
414, 0.744926, 0.746506, 0.819348, 0.822597
418, 0.745466, 0.747057, 0.820732, 0.824023
422, 0.745986, 0.747588, 0.822096, 0.825431
426, 0.746486, 0.748099, 0.823441, 0.826819
430, 0.746967, 0.748592, 0.824767, 0.828188
434, 0.74743, 0.749065, 0.826075, 0.829539
438, 0.747875, 0.749521, 0.827365, 0.830872
442, 0.748302, 0.749959, 0.828637, 0.832188
446, 0.748712, 0.750379, 0.829892, 0.833487
450, 0.749105, 0.750783, 0.831131, 0.834769
454, 0.749481, 0.75117, 0.832352, 0.836035
458, 0.749842, 0.751541, 0.833558, 0.837285
462, 0.750187, 0.751896, 0.834749, 0.83852
466, 0.750516, 0.752236, 0.835924, 0.83974
470, 0.750831, 0.752561, 0.837084, 0.840945
474, 0.751131, 0.752871, 0.838229, 0.842136
478, 0.751417, 0.753167, 0.839361, 0.843312
482, 0.751688, 0.753449, 0.840478, 0.844475
486, 0.751947, 0.753717, 0.841582, 0.845625
490, 0.752192, 0.753972, 0.842673, 0.846761
494, 0.752423, 0.754213, 0.84375, 0.847884
498, 0.752643, 0.754442, 0.844815, 0.848995
502, 0.752849, 0.754659, 0.845867, 0.850094
506, 0.753044, 0.754863, 0.846907, 0.851181
510, 0.753227, 0.755055, 0.847936, 0.852256
514, 0.753398, 0.755236, 0.848952, 0.853319
518, 0.753557, 0.755405, 0.849958, 0.854371
522, 0.753706, 0.755563, 0.850952, 0.855413
526, 0.753844, 0.75571, 0.851935, 0.856443
530, 0.753971, 0.755846, 0.852908, 0.857463
534, 0.754088, 0.755972, 0.85387, 0.858473
538, 0.754194, 0.756088, 0.854822, 0.859473
542, 0.754291, 0.756193, 0.855764, 0.860463
