# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 10500nm
#
# F_PR = -pi³*hbar*c*R/(360*L³)
#
# order of finite difference formula: 8
# stepsize: 1
#
# L (nm), F_Drude/F_PR, F_PFA_Drude/F_PR, F_plasma/F_PR, F_PFA_plasma/F_PR
146, 0.60428968, 0.60996622, 0.62240957, 0.62942212
150, 0.60915918, 0.61501823, 0.62798205, 0.63525258
154, 0.61384455, 0.61988529, 0.63337297, 0.64090252
158, 0.61835441, 0.62457597, 0.63859072, 0.64638028
162, 0.62269683, 0.62909835, 0.6436432, 0.65169371
166, 0.62687944, 0.63345998, 0.6485378, 0.65685016
170, 0.63090936, 0.63766801, 0.65328151, 0.66185658
174, 0.63479334, 0.64172913, 0.65788088, 0.66671949
178, 0.63853772, 0.64564968, 0.66234212, 0.67144506
182, 0.64214848, 0.64943561, 0.66667105, 0.67603909
186, 0.64563127, 0.65309258, 0.6708732, 0.68050708
190, 0.64899144, 0.6566259, 0.67495377, 0.68485421
194, 0.65223402, 0.66004061, 0.67891772, 0.6890854
198, 0.6553638, 0.66334149, 0.68276969, 0.69320528
202, 0.65838532, 0.66653306, 0.68651414, 0.69721828
206, 0.66130283, 0.66961959, 0.69015521, 0.70112857
210, 0.66412042, 0.67260517, 0.69369691, 0.7049401
214, 0.666842, 0.67549364, 0.69714306, 0.70865666
218, 0.66947117, 0.67828868, 0.70049719, 0.71228181
222, 0.67201145, 0.68099378, 0.70376275, 0.71581896
226, 0.67446617, 0.68361225, 0.70694298, 0.71927135
230, 0.67683847, 0.68614726, 0.71004097, 0.72264206
234, 0.67913137, 0.68860181, 0.71305966, 0.72593403
238, 0.68134772, 0.69097878, 0.71600188, 0.72915007
242, 0.68349027, 0.69328089, 0.71887029, 0.73229283
246, 0.68556162, 0.69551076, 0.72166745, 0.73536487
250, 0.68756426, 0.69767089, 0.7243958, 0.73836863
254, 0.68950056, 0.69976366, 0.72705768, 0.74130643
258, 0.69137281, 0.70179133, 0.72965531, 0.74418049
262, 0.69318316, 0.70375609, 0.73219082, 0.74699295
266, 0.6949337, 0.70566002, 0.73466625, 0.74974583
270, 0.6966264, 0.70750512, 0.73708354, 0.75244109
274, 0.69826319, 0.70929329, 0.73944459, 0.75508059
278, 0.69984588, 0.71102636, 0.74175116, 0.75766612
282, 0.7013762, 0.71270609, 0.74400498, 0.76019939
286, 0.70285585, 0.71433415, 0.7462077, 0.76268205
290, 0.70428643, 0.71591217, 0.74836088, 0.76511568
294, 0.70566948, 0.71744169, 0.75046606, 0.76750179
298, 0.70700647, 0.7189242, 0.75252467, 0.76984184
302, 0.70829882, 0.72036113, 0.75453813, 0.77213722
306, 0.70954792, 0.72175385, 0.75650777, 0.77438927
310, 0.71075506, 0.72310368, 0.75843489, 0.7765993
314, 0.71192151, 0.7244119, 0.76032071, 0.77876854
318, 0.71304848, 0.72567971, 0.76216646, 0.78089818
322, 0.71413714, 0.72690831, 0.76397327, 0.78298939
326, 0.71518862, 0.72809882, 0.76574226, 0.78504326
330, 0.71620399, 0.72925233, 0.76747447, 0.78706087
334, 0.7171843, 0.7303699, 0.76917096, 0.78904324
338, 0.71813055, 0.73145254, 0.7708327, 0.79099137
342, 0.71904371, 0.73250123, 0.77246064, 0.79290621
346, 0.71992474, 0.7335169, 0.77405574, 0.79478869
350, 0.72077449, 0.73450048, 0.77561884, 0.7966397
354, 0.72159386, 0.73545283, 0.77715081, 0.79846009
358, 0.7223837, 0.7363748, 0.77865251, 0.80025071
362, 0.7231448, 0.73726722, 0.78012471, 0.80201234
366, 0.72387795, 0.73813087, 0.78156819, 0.80374577
370, 0.72458389, 0.73896653, 0.78298369, 0.80545174
374, 0.72526338, 0.73977492, 0.78437194, 0.80713098
378, 0.72591711, 0.74055677, 0.78573365, 0.80878419
382, 0.72654575, 0.74131276, 0.78706946, 0.81041205
386, 0.72714998, 0.74204356, 0.78838005, 0.81201521
390, 0.72773045, 0.74274983, 0.78966607, 0.8135943
394, 0.72828775, 0.74343219, 0.79092809, 0.81514995
398, 0.72882247, 0.74409124, 0.7921667, 0.81668274
402, 0.72933523, 0.74472758, 0.79338252, 0.81819325
406, 0.72982657, 0.74534177, 0.79457608, 0.81968205
410, 0.73029702, 0.74593437, 0.79574791, 0.82114966
414, 0.73074712, 0.74650591, 0.79689854, 0.82259663
418, 0.73117739, 0.74705691, 0.79802848, 0.82402345
422, 0.73158833, 0.74758787, 0.79913822, 0.82543062
426, 0.73198037, 0.74809929, 0.80022821, 0.82681862
430, 0.73235404, 0.74859163, 0.80129897, 0.82818791
