# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 31400nm
#
# P_PR = pi³*hbar*c*R/(120*L^4)
#
# order of finite difference formula: 8
# stepsize: 0
#
# L (nm), P_Drude/F_PR, P_PFA_Drude/P_PR, P_plasma/P_PR, P_PFA_plasma/P_PR, 1-P_Drude/P_PFA_Drude, 1-P_plasma/P_PFA_plasma
86, 0.43429474828, 0.434817061724, 0.438064075115, 0.438633779117, 0.00120122573299, 0.0012988147053
90, 0.443749932725, 0.444312178103, 0.447869509375, 0.448484936334, 0.00126542869089, 0.00137223551845
94, 0.452853316039, 0.453456098824, 0.457333032882, 0.457995143284, 0.00132930792492, 0.00144567122888
98, 0.461623957528, 0.462267838756, 0.466473120226, 0.467182830241, 0.00139287480921, 0.00151912692275
102, 0.470079391187, 0.470764846586, 0.475306759432, 0.476064899469, 0.00145604627106, 0.00159251404079
106, 0.478235740993, 0.478963201761, 0.48384956452, 0.484656920185, 0.00151882392029, 0.00166582923239
110, 0.486107884125, 0.48687777672, 0.492115936859, 0.492973288032, 0.00158128514362, 0.00173914326409
114, 0.493709753444, 0.494522371719, 0.500119364261, 0.501027358158, 0.00164323865019, 0.00181226410515
118, 0.50105414008, 0.501909828386, 0.507872223539, 0.508831556254, 0.00170486461392, 0.00188536403156
122, 0.508153083722, 0.509052126074, 0.515386165999, 0.516397473043, 0.00176611059254, 0.00195838883246
126, 0.515017854166, 0.515960464505, 0.522672100036, 0.523735944972, 0.0018269041984, 0.00203126202443
130, 0.521658976189, 0.522645335058, 0.529740210687, 0.530857123678, 0.00188724322808, 0.00210398041329
134, 0.528086238035, 0.529116583183, 0.536599970426, 0.537770536636, 0.00194729324509, 0.00217670201329
138, 0.534309018612, 0.535383462764, 0.543260460972, 0.544485140114, 0.0020068683989, 0.00224924254541
142, 0.540336000239, 0.541454684458, 0.549730087556, 0.551009365898, 0.00206607173477, 0.00232169981276
146, 0.546175451636, 0.547338458328, 0.556016858325, 0.557351162733, 0.0021248400761, 0.00239401027002
150, 0.551835086611, 0.553042532253, 0.562128243442, 0.56351803334, 0.00218327808813, 0.00246627404076
154, 0.557322327287, 0.558574226125, 0.568071435988, 0.569517067329, 0.00224123989316, 0.00253834594936
158, 0.562644010728, 0.563940462659, 0.573853058494, 0.575354971398, 0.00229891631648, 0.00261041092641
162, 0.567806844306, 0.569147795453, 0.57947961595, 0.58103809591, 0.00235606842015, 0.00268223369766
166, 0.572816840104, 0.574202434332, 0.584956930828, 0.586572459585, 0.00241307620059, 0.00275418446661
170, 0.57768019894, 0.579110268458, 0.590291025973, 0.591963771707, 0.00246942524836, 0.00282575693661
174, 0.582402126946, 0.583876887446, 0.595486937826, 0.597217452472, 0.00252580729182, 0.00289762905984
178, 0.586988594537, 0.588507600707, 0.600550480491, 0.602338651665, 0.00258111563593, 0.00296871397637
182, 0.59144373651, 0.593007455205, 0.605485637684, 0.607332265523, 0.00263692923552, 0.0030405561246
186, 0.595773183042, 0.597381251849, 0.610297899601, 0.612202952815, 0.00269186353325, 0.00311180010803
190, 0.599981156325, 0.601633560389, 0.614991355202, 0.616955149187, 0.00274652907178, 0.00318304173008
194, 0.604071947338, 0.605768733633, 0.619570170148, 0.621593080356, 0.00280104634193, 0.0032543962795
198, 0.608050096595, 0.609790920005, 0.624038765208, 0.626120774963, 0.00285478735822, 0.00332525263191
202, 0.61191905792, 0.613704075812, 0.628400483183, 0.630542075552, 0.00290859709456, 0.00339643055194
206, 0.615682911236, 0.617511976007, 0.632659297239, 0.634860649774, 0.00296199076694, 0.00346745783728
210, 0.619345244859, 0.621218224833, 0.636818694948, 0.639079999832, 0.00301501131081, 0.00353837529588
214, 0.622909485053, 0.624826265108, 0.640882006782, 0.643203471996, 0.0030677008348, 0.00360922369881
218, 0.626378944698, 0.628339387347, 0.644852455766, 0.64723426508, 0.00312003781541, 0.00367998025199
222, 0.629756731581, 0.631760738012, 0.64873306381, 0.651175438742, 0.00317209714085, 0.00375071722185
226, 0.633045824594, 0.635093327483, 0.652526727851, 0.65502992058, 0.00322394016728, 0.00382149372152
230, 0.636249225633, 0.638340037065, 0.656236373111, 0.658800513425, 0.00327538821042, 0.003892134663
234, 0.639369690733, 0.641503625987, 0.659864681859, 0.662489901844, 0.00332645860107, 0.00396265660427
238, 0.642409796683, 0.644586737743, 0.663414160589, 0.66610065829, 0.00337726628931, 0.00403317076463
242, 0.645372067813, 0.647591906068, 0.666887267464, 0.669635248874, 0.0034278350838, 0.00410369886338
246, 0.648258948006, 0.650521560559, 0.670286382745, 0.673096038778, 0.00347815151745, 0.0041742275559
250, 0.651072889879, 0.65337803194, 0.673613899533, 0.676485297344, 0.00352803729115, 0.00424458273121
254, 0.653816006971, 0.65616355702, 0.676871873733, 0.679805202851, 0.00357769038465, 0.00431495538084
258, 0.656490394314, 0.658880283396, 0.680062344482, 0.683057847011, 0.00362719775022, 0.00438543022631
262, 0.659098331462, 0.661530273639, 0.683187539855, 0.686245239203, 0.00367623716393, 0.00445569480648
266, 0.661641678691, 0.664115509717, 0.686249270571, 0.689369310549, 0.00372500113276, 0.00452593396666
