# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 52300nm
#
# P_PR = pi³*hbar*c*R/(120*L^4)
#
# order of finite difference formula: 8
# stepsize: 0
#
# L (nm), P_Drude/F_PR, P_PFA_Drude/P_PR, P_plasma/P_PR, P_PFA_plasma/P_PR
86, 0.43450317, 0.43481706, 0.43828945, 0.43863378
90, 0.44397427, 0.44431218, 0.44811286, 0.44848494
94, 0.45309383, 0.4534561, 0.45759474, 0.45799514
98, 0.46188086, 0.46226784, 0.46675352, 0.46718283
102, 0.47035286, 0.47076485, 0.47560616, 0.4760649
106, 0.47852597, 0.4789632, 0.48416828, 0.48465692
110, 0.48641502, 0.48687778, 0.49245423, 0.49297329
114, 0.49403394, 0.49452237, 0.50047751, 0.50102736
118, 0.5013955, 0.50190983, 0.50825047, 0.50883156
122, 0.50851171, 0.50905213, 0.51578472, 0.51639747
126, 0.51539387, 0.51596046, 0.52309121, 0.52373594
130, 0.52205243, 0.52264534, 0.53018005, 0.53085712
134, 0.52849723, 0.52911658, 0.53706076, 0.53777054
138, 0.5347376, 0.53538346, 0.54374236, 0.54448514
142, 0.54078222, 0.54145468, 0.55023327, 0.55100937
146, 0.54663933, 0.54733846, 0.55654147, 0.55735116
150, 0.55231671, 0.55304253, 0.56267448, 0.56351803
154, 0.55782165, 0.55857423, 0.56863938, 0.56951707
158, 0.56316112, 0.56394046, 0.5744429, 0.57535497
162, 0.56834172, 0.5691478, 0.58009146, 0.5810381
166, 0.57336948, 0.57420243, 0.58559088, 0.58657246
170, 0.57825063, 0.57911027, 0.59094723, 0.59196377
174, 0.58299037, 0.58387689, 0.59616554, 0.59721745
178, 0.58759442, 0.5885076, 0.60125136, 0.60233865
182, 0.59206749, 0.59300746, 0.60620925, 0.60733227
186, 0.59641461, 0.59738125, 0.61104411, 0.61220295
190, 0.60064017, 0.60163356, 0.61576019, 0.61695515
194, 0.60474889, 0.60576873, 0.62036207, 0.62159308
