# high-temperature limit for perfect reflectors
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T)
10, -1.2025134239565, -2.0868987104499
10.8184, -1.31915585896, -2.2993868511629
11.7038, -1.4459301605104, -2.5313160542496
12.6617, -1.5836645432374, -2.7843368125248
13.698, -1.7332473711325, -3.0602216418207
14.8191, -1.8956417480867, -3.3608926611518
16.0319, -2.0718857690607, -3.6884229313332
17.344, -2.2631218661594, -4.0450919879214
18.7635, -2.4705680044705, -4.4333333093069
20.2991, -2.6955323174702, -4.8557621759739
21.9605, -2.9394719981322, -5.3152874021063
23.7578, -3.2039055554893, -5.8149474156441
25.7022, -3.4905157269734, -6.3581049424364
27.8057, -3.8011056852537, -6.9483656953972
30.0814, -4.1376434779873, -7.5896637424475
32.5434, -4.5022475085591, -8.286235186487
35.2068, -4.8971866365029, -9.0426191697929
38.0882, -5.3249544899827, -9.8638012775462
41.2055, -5.788240109704, -10.755158941734
44.5779, -6.2899280643522, -11.72246262452
48.2263, -6.8331580877884, -12.771991853292
52.1732, -7.4213104133917, -13.910508352252
56.4432, -8.0580804606119, -15.145401951319
61.0627, -8.7474343363419, -16.484605957518
66.0603, -9.4936686293527, -17.936714375576
71.4668, -10.301410577707, -19.510983630442
77.3159, -11.175722824279, -21.217538220658
83.6436, -12.122013944586, -23.067197844468
90.4892, -13.146188082323, -25.07177096712
97.8951, -14.254615254657, -27.243998657679
105.907, -15.454161405637, -29.597614827221
114.575, -16.752353271922, -32.147671443951
123.952, -18.157138925476, -34.910069940157
134.097, -19.677382217994, -37.902534559894
145.071, -21.32224862346, -41.143405759069
156.945, -23.102404388699, -44.654003895979
169.789, -25.028367797683, -48.455381535682
183.685, -27.112458233791, -52.57216860207
198.719, -29.367596983546, -57.030209560939
214.982, -31.807457064402, -61.856858703922
232.577, -34.447513531074, -67.083059719352
251.612, -37.303993508304, -72.74127123223
272.205, -40.394626449208, -78.866952970899
294.483, -43.738494238449, -85.498271192445
318.584, -47.356331493055, -92.676695991924
344.658, -51.270675842601, -100.44730199536
372.865, -55.505567791815, -108.85817447102
403.382, -60.087601768066, -117.96249858075
436.396, -65.044875286887, -127.81647443642
472.112, -70.408190209547, -138.48170566727
510.751, -76.210752603004, -150.0246057018
552.552, -82.488473178274, -162.51699732527
597.774, -89.280267768147, -176.03671288559
646.698, -96.628357831085, -190.66819498981
699.625, -104.57797016289, -206.5019007238
756.885, -113.1786887781, -223.63699625464
818.83, -122.48340362433, -242.17926534494
885.846, -132.55011315264, -262.24470313169
958.346, -143.44087297463, -283.95742373951
1036.78, -155.22329809429, -307.4526569575
1121.63, -167.96981192028, -332.87525343284
1213.43, -181.76065085014, -360.38567980373
1312.74, -196.67995851674, -390.15223084059
1420.18, -212.82089358463, -422.36122087612
1536.41, -230.28262528682, -457.21099262208
1662.16, -249.17484051438, -494.92091429961
1798.19, -269.61173448282, -535.71938783607
1945.36, -291.72252740543, -579.8648442726
2104.57, -315.64245034039, -627.62775233087
2276.82, -341.52175965401, -679.30861877139
2463.16, -369.51822503579, -735.2229911812
2664.75, -399.80614412972, -795.71946251606
2882.84, -432.57333780597, -861.1736744402
3118.78, -468.02265268374, -931.99132099822
3374.03, -506.3734636774, -1008.6111529293
3650.17, -547.86317655825, -1091.5079824655
3948.91, -592.74873052605, -1181.1956884768
4272.1, -641.30810078607, -1278.2302218317
4621.74, -693.84180112882, -1383.2126109045
5000, -750.67588902661, -1496.794969987
5409.2182, -812.16169124147, -1619.6799540897
5851.93, -878.68018129549, -1752.6295104152
6330.87, -950.64223985007, -1896.4654020097
6849.01, -1028.4944045851, -2052.0807034667
7409.56, -1112.7190004374, -2220.4400647378
8015.99, -1203.8374192108, -2402.5862704773
8672.04, -1302.4116221767, -2599.6432454863
9381.8, -1409.0561604759, -2812.8400885168
10149.6, -1524.4216472124, -3043.4780260225
10980.3, -1649.2383313388, -3293.0175684705
11879, -1784.2725239058, -3562.9912899723
12851, -1930.3205877584, -3854.9920357939
13903, -2088.38924397, -4171.033097906
15041, -2259.3800358637, -4512.9176414398
16272, -2444.3447629304, -4882.7490046184
