# high-temperature limit
# R: 0.00015 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
176.47059, -26.030411996852, -50.434358426185, -49.165298064679, 0.95039814579501
176.88679, -26.092833389744, -50.557662038664, -49.282698537365, 0.95047958275799
177.30496, -26.15555024508, -50.681552185249, -49.400644492048, 0.95056108492708
177.72512, -26.21856466393, -50.806033044689, -49.519139727133, 0.95064265247724
178.14727, -26.28187876733, -50.931108836769, -49.63818807681, 0.95072428559303
178.57143, -26.345494696521, -51.056783821081, -49.757793410871, 0.95080598445708
178.99761, -26.409414613187, -51.183062297927, -49.877959635272, 0.95088774925293
179.42584, -26.4736406997, -51.309948609262, -49.998690692706, 0.95096958016785
179.85612, -26.53817515937, -51.437447137432, -50.119990562447, 0.95105147738167
180.28846, -26.603020216696, -51.565562308287, -50.241863261658, 0.95113344108347
180.72289, -26.668178117618, -51.694298590373, -50.364312845416, 0.95121547146359
181.15942, -26.733651129783, -51.823660494179, -50.487343406681, 0.95129756870459
181.59806, -26.799441542799, -51.953652575218, -50.610959077668, 0.95137973299863
182.03883, -26.86555166851, -52.084279433301, -50.735164029846, 0.95146196453871
182.48175, -26.93198384126, -52.215545711769, -50.859962473978, 0.95154426351065
182.92683, -26.998740418172, -52.34745610102, -50.985358661606, 0.9516266301121
183.37408, -27.065823779424, -52.480015335694, -51.111356884376, 0.95170906453091
183.82353, -27.13323632853, -52.613228198614, -51.23796147569, 0.95179156696685
184.27518, -27.200980492632, -52.747099517916, -51.365176810029, 0.95187413760976
184.72906, -27.269058722787, -52.881634171139, -51.493007304626, 0.95195677666137
185.18519, -27.337473494262, -53.016837082294, -51.621457418818, 0.95203948431381
185.64356, -27.406227306835, -53.152713225937, -51.750531655699, 0.9521222607707
186.10422, -27.475322685099, -53.289267624779, -51.880234561662, 0.95220510622889
186.56716, -27.544762178771, -53.426505351542, -52.010570727352, 0.95228802088642
187.03242, -27.614548363006, -53.56443153094, -52.141544788621, 0.95237100494996
187.5, -27.68468383871, -53.703051337252, -52.273161426106, 0.95245405861717
187.96992, -27.755171232871, -53.842369998416, -52.405425366894, 0.95253718209697
188.44221, -27.826013198879, -53.982392793687, -52.538341384108, 0.95262037559162
188.91688, -27.897212416863, -54.123125056012, -52.67191429804, 0.95270363930708
189.39394, -27.968771594029, -54.264572171833, -52.806148976462, 0.952786973448
189.87342, -28.040693464998, -54.406739583501, -52.941050335758, 0.95287037822763
190.35533, -28.112980792159, -54.549632787401, -53.076623340695, 0.95295385385281
190.83969, -28.18563636602, -54.693257336328, -53.212873005581, 0.95303740053397
191.32653, -28.258663005568, -54.83761883985, -53.349804394761, 0.95312101848297
191.81586, -28.332063558631, -54.982722964965, -53.487422623208, 0.95320470791244
192.30769, -28.405840902251, -55.128575436877, -53.625732857187, 0.9532884690364
192.80206, -28.479997943054, -55.275182039707, -53.764740314892, 0.95337230207
193.29897, -28.554537617638, -55.422548616878, -53.904450266958, 0.95345620722717
193.79845, -28.629462892958, -55.570681073559, -54.044868037681, 0.95354018473037
194.30052, -28.704776766715, -55.719585375326, -54.185999004999, 0.95362423479833
194.80519, -28.780482267761, -55.869267548931, -54.327848601174, 0.95370835764603
195.3125, -28.856582456502, -56.019733685303, -54.470422314201, 0.95379255349739
195.82245, -28.93308042531, -56.170989938602, -54.613725687916, 0.95387682257461
196.33508, -29.009979298943, -56.323042527516, -54.757764322889, 0.95396116510141
196.85039, -29.087282234966, -56.475897736105, -54.902543877144, 0.95404558130283
197.36842, -29.164992424189, -56.629561914645, -55.048070066885, 0.95413007140502
197.88918, -29.243113091099, -56.784041480491, -55.194348667255, 0.95421463563547
198.4127, -29.321647494311, -56.939342919472, -55.341385513234, 0.95429927422526
198.93899, -29.400598927017, -57.095472784961, -55.489186499869, 0.95438398739982
199.46809, -29.479970717448, -57.252437701466, -55.637757583885, 0.95446877539308
200, -29.559766229339, -57.410244363773, -55.787104783899, 0.95455363843746
200.53476, -29.639988862406, -57.56889953881, -55.937234181561, 0.95463857676948
201.07239, -29.720642052827, -57.728410064854, -56.088151921789, 0.95472359061987
201.6129, -29.801729273734, -57.888782855514, -56.23986421458, 0.95480868022999
202.15633, -29.883254035705, -58.050024897302, -56.392377334763, 0.95489384583343
202.7027, -29.965219887281, -58.212143254089, -56.545697623942, 0.95497908767415
203.25203, -30.047630415469, -58.375145064659, -56.699831490311, 0.95506440598859
203.80435, -30.130489246272, -58.539037547215, -56.854785410596, 0.95514980102348
204.35967, -30.213800045218, -58.703827997007, -57.010565929915, 0.95523527301816
204.91803, -30.297566517898, -58.869523790808, -57.167179663731, 0.95532082222208
205.47945, -30.38179241052, -59.036132384612, -57.324633297767, 0.95540644887756
206.04396, -30.466481510461, -59.203661318177, -57.482933589964, 0.95549215323687
206.61157, -30.551637646839, -59.372118213114, -57.642087370562, 0.95557793554734
207.18232, -30.637264691087, -59.541510775372, -57.802101543467, 0.95566379605788
207.75623, -30.723366557537, -59.71184679767, -57.962983087617, 0.95574973502514
208.33333, -30.809947204024, -59.883134158087, -58.124739057236, 0.95583575270099
208.91365, -30.89701063248, -60.055380823059, -58.287376583376, 0.95592184934089
209.49721, -30.984560889561, -60.228594847661, -58.450902874703, 0.95600802519978
210.08403, -31.072602067267, -60.402784378637, -58.615325219071, 0.95609428054041
210.67416, -31.161138303581, -60.577957653053, -58.78065098383, 0.9561806156207
211.26761, -31.250173783116, -60.754123001358, -58.946887617456, 0.95626703070244
211.86441, -31.339712737773, -60.931288848179, -59.114042650524, 0.956353526049
212.46459, -31.429759447415, -61.109463713769, -59.282123696822, 0.956440101925
213.06818, -31.520318240541, -61.288656215288, -59.451138454553, 0.95652675859707
213.67521, -31.611393494987, -61.468875068165, -59.621094707466, 0.95661349633324
214.28571, -31.702989638623, -61.65012908762, -59.792000326078, 0.9567003154034
214.89971, -31.795111150078, -61.832427189949, -59.963863268853, 0.95678721607871
215.51724, -31.88776255946, -62.015778394516, -60.136691583609, 0.95687419863455
216.13833, -31.980948449108, -62.200191823463, -60.310493408214, 0.95696126334147
216.76301, -32.074673454339, -62.385676705791, -60.48527697266, 0.95704841047808
217.3913, -32.168942264218, -62.572242377194, -60.661050599828, 0.95713564032245
218.02326, -32.263759622341, -62.759898282469, -60.837822707075, 0.9572229531565
218.65889, -32.359130327629, -62.948653975379, -61.015601807073, 0.95731034925804
219.29825, -32.455059235136, -63.138519122862, -61.19439650991, 0.95739782891243
219.94135, -32.551551256873, -63.329503505331, -61.374215524115, 0.95748539240679
220.58824, -32.648611362646, -63.521617017116, -61.555067657701, 0.95757304002438
221.23894, -32.746244580907, -63.714869671159, -61.736961820449, 0.95766077205776
221.89349, -32.844455999623, -63.909271597264, -61.91990702441, 0.9577485887939
222.55193, -32.943250767158, -64.104833047355, -62.103912386342, 0.957836490529
223.21429, -33.042634093174, -64.301564394211, -62.288987128391, 0.95792447755558
223.8806, -33.142611249543, -64.499476134613, -62.475140579998, 0.95801255016824
224.5509, -33.24318757128, -64.698578892473, -62.662382179789, 0.95810070866863
225.22523, -33.34436845749, -64.898883418167, -62.850721476489, 0.95818895335506
225.90361, -33.446159372337, -65.100400592142, -63.040168131006, 0.9582772845296
226.5861, -33.54856584602, -65.303141426044, -63.230731917847, 0.95836570249455
227.27273, -33.65159347578, -65.507117066436, -63.422422727246, 0.95845420755927
227.96353, -33.755247926917, -65.712338794238, -63.615250566212, 0.95854280003014
228.65854, -33.859534933825, -65.91881802852, -63.809225560686, 0.95863148021696
229.3578, -33.964460301051, -66.126566328167, -64.004357957235, 0.95872024843179
230.06135, -34.070029904373, -66.335595394067, -64.200658124849, 0.95880910498886
230.76923, -34.176249691889, -66.545917071228, -64.398136556744, 0.95889805020418
231.48148, -34.283125685142, -66.757543351081, -64.596803872258, 0.95898708439589
232.19814, -34.390663980251, -66.970486373683, -64.79667081877, 0.95907620788465
232.91925, -34.498870749069, -67.184758430482, -64.997748273691, 0.95916542099432
233.64486, -34.607752240366, -67.40037196497, -65.200047246042, 0.95925472404632
