# high-temperature limit
# R: 5e-05 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
100, -14.569722716773, -27.861999083499, -26.697636668043, 0.9257060965949
100.40161, -14.62984726119, -27.979939968822, -26.806449581303, 0.92590455762328
100.80645, -14.6904577326, -28.098841200299, -26.916115981557, 0.92610331549077
101.21457, -14.751560036419, -28.218714486942, -27.026645907327, 0.92630237163048
101.62602, -14.813160174113, -28.339571728555, -27.138049555168, 0.92650172748846
102.04082, -14.875264245157, -28.461425019632, -27.250337282808, 0.92670138452344
102.45902, -14.937878449043, -28.584286653326, -27.363519612335, 0.92690134420717
102.88066, -15.001009087338, -28.708169125581, -27.477607233485, 0.92710160802464
103.30579, -15.064662565798, -28.83308513972, -27.592611007062, 0.9273021774766
103.73444, -15.128845396521, -28.959047609098, -27.708541968095, 0.92750305407033
104.16667, -15.193564200172, -29.086069663975, -27.825411329775, 0.92770423933357
104.60251, -15.258825708249, -29.214164654812, -27.943230486858, 0.92790573480844
105.04202, -15.324636765412, -29.34334615566, -28.062011019147, 0.92810754204403
105.48523, -15.391004331874, -29.47362797136, -28.181764695689, 0.92830966261042
105.9322, -15.457935485847, -29.605024141228, -28.302503478446, 0.92851209809243
106.38298, -15.525437426052, -29.73754894276, -28.424239526069, 0.92871485008272
106.83761, -15.593517474299, -29.871216899673, -28.546985198447, 0.92891792019789
107.29614, -15.662183078121, -30.006042783838, -28.670753060329, 0.9291213100606
107.75862, -15.731441813493, -30.142041624001, -28.795555886151, 0.92932502131764
108.22511, -15.801301387605, -30.279228708396, -28.921406663952, 0.92952905562481
108.69565, -15.87176964172, -30.417619591675, -29.048318600073, 0.92973341465379
109.17031, -15.942854554099, -30.557230101957, -29.176305123962, 0.92993810009841
109.64912, -16.014564243004, -30.698076344348, -29.30537989251, 0.93014311366241
110.13216, -16.086906969789, -30.840174708703, -29.435556795168, 0.93034845706819
110.61947, -16.159891142058, -30.983541875548, -29.56684995885, 0.93055413205444
111.11111, -16.233525316921, -31.128194822499, -29.699273753039, 0.93076014037712
111.60714, -16.30781820433, -31.274150830943, -29.832842795028, 0.93096648380919
112.10762, -16.382778670506, -31.42142749284, -29.967571955283, 0.93117316414092
112.61261, -16.458415741458, -31.570042717727, -30.103476362964, 0.93138018318016
113.12217, -16.534738606601, -31.720014739914, -30.240571411579, 0.93158754275284
113.63636, -16.611756622469, -31.871362125865, -30.378872764791, 0.9317952447029
114.15525, -16.689479316533, -32.024103781797, -30.518396362382, 0.93200329089269
114.6789, -16.767916391116, -32.178258961506, -30.659158426372, 0.93221168320332
115.20737, -16.84707772743, -32.333847274749, -30.801175467362, 0.93242042353658
115.74074, -16.926973389713, -32.490888693873, -30.944464290749, 0.93262951380815
116.27907, -17.007613629487, -32.649403564738, -31.089042003713, 0.93283895595873
116.82243, -17.089008889934, -32.809412614204, -31.234926021836, 0.93304875194857
117.37089, -17.171169810398, -32.970936957842, -31.382134075936, 0.9332589037531
117.92453, -17.254107231007, -33.133998112036, -31.530684219641, 0.93346941337488
118.48341, -17.337832197436, -33.298618000122, -31.680594836322, 0.93368028283055
