# high-temperature limit
# R: 7.5e-05 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
88.235294, -12.808934824319, -24.411393357882, -23.788308185328, 0.91968786444427
88.443396, -12.840071482681, -24.472350829329, -23.846347683803, 0.9198143474071
88.652482, -12.871355729923, -24.533599605067, -23.904658132983, 0.91994094422623
88.862559, -12.902788615972, -24.595141764833, -23.96324142343, 0.9200676552238
89.073634, -12.934371200734, -24.656979408159, -24.022099463307, 0.92019448072348
89.285714, -12.966104554211, -24.719114654631, -24.081234178604, 0.92032142105106
89.498807, -12.997989756624, -24.781549644103, -24.140647513311, 0.92044847653342
89.712919, -13.030027898536, -24.844286537376, -24.200341429797, 0.92057564750469
89.928058, -13.06222008097, -24.907327514782, -24.260317908457, 0.92070293428485
90.144231, -13.094567415544, -24.970674778914, -24.320578948762, 0.92083033721131
90.361446, -13.127071024589, -25.034330553219, -24.381126568932, 0.92095785661817
90.57971, -13.159732041286, -25.098297082676, -24.441962806287, 0.92108549284106
90.799031, -13.192551609794, -25.162576634057, -24.50308971748, 0.92121324621744
91.019417, -13.225530885382, -25.227171496616, -24.564509378871, 0.92134111709192
91.240876, -13.258671034567, -25.29208398068, -24.626223886182, 0.92146910579473
91.463415, -13.291973235252, -25.35731642043, -24.688235355604, 0.9215972126743
91.687042, -13.32543867686, -25.422871172495, -24.750545923442, 0.92172543807496
91.911765, -13.359068560479, -25.488750617058, -24.813157746659, 0.9218537823482
92.137592, -13.392864099007, -25.554957156558, -24.876073002582, 0.92198224583262
92.364532, -13.426826517294, -25.621493218351, -24.939293889932, 0.92211082888285
92.592593, -13.46095705229, -25.688361253416, -25.002822628576, 0.92223953185101
92.821782, -13.495256953197, -25.755563737479, -25.066661460047, 0.92236835509632
93.052109, -13.529727481618, -25.823103169653, -25.130812647237, 0.92249729896418
93.283582, -13.564369911714, -25.890982075203, -25.195278475506, 0.92262636381737
93.516209, -13.599185530361, -25.959203004636, -25.260061252532, 0.92275555002052
93.75, -13.634175637304, -26.027768532798, -25.325163308178, 0.9228848579252
93.984962, -13.669341545325, -26.096681261637, -25.39058699558, 0.92301428789991
94.221106, -13.704684580402, -26.165943819302, -25.456334691029, 0.92314384031504
94.458438, -13.740206081877, -26.235558859252, -25.522408793841, 0.92327351552818
94.69697, -13.775907402625, -26.305529063036, -25.588811727469, 0.92340331391381
94.936709, -13.811789909224, -26.375857139424, -25.655545939379, 0.92353323584822
95.177665, -13.847854982131, -26.446545823508, -25.722613900955, 0.92366328169518
95.419847, -13.884104015858, -26.517597879933, -25.790018108736, 0.92379345183997
95.663265, -13.920538419147, -26.589016099951, -25.857761083655, 0.92392374665062
95.907928, -13.95715961516, -26.660803305103, -25.925845372419, 0.9240541665164
96.153846, -13.993969041658, -26.732962344263, -25.994273546756, 0.92418471180963
96.401028, -14.030968151191, -26.805496097323, -26.063048204805, 0.9243153829237
96.649485, -14.068158411286, -26.878407472272, -26.132171970382, 0.92444618023539
96.899225, -14.105541304644, -26.951699408469, -26.201647494226, 0.92457710413745
97.150259, -14.143118329336, -27.025374875783, -26.27147745396, 0.92470815502516
97.402597, -14.180890998998, -27.099436874192, -26.341664554141, 0.92483933328623
97.65625, -14.218860843043, -27.173888434982, -26.412211526899, 0.92497063931104
97.911227, -14.257029406856, -27.24873262242, -26.483121132661, 0.92510207350571
98.167539, -14.295398252011, -27.323972531252, -26.554396159601, 0.92523363626038
98.425197, -14.333968956482, -27.399611290452, -26.626039425048, 0.92536532798572
98.684211, -14.372743114855, -27.475652060345, -26.698053774807, 0.92549714907646
98.944591, -14.411722338552, -27.552098036335, -26.770442084579, 0.92562909994774
99.206349, -14.450908256052, -27.628952446464, -26.843207259426, 0.92576118100342
99.469496, -14.490302513115, -27.706218553107, -26.916352234558, 0.92589339264996
99.734043, -14.529906773015, -27.783899654652, -26.989879976095, 0.92602573530933
100, -14.569722716773, -27.861999083092, -27.063793480576, 0.92615820938818
100.26738, -14.609752043392, -27.940520207779, -27.138095776385, 0.92629081531321
100.53619, -14.649996470102, -28.019466433044, -27.212789923266, 0.9264235535003
100.80645, -14.6904577326, -28.098841200297, -27.287879013254, 0.92655642437224
101.07817, -14.731137585304, -28.178647987737, -27.363366170843, 0.92668942835003
101.35135, -14.772037801603, -28.258890312464, -27.439254553922, 0.92682256586992
101.62602, -14.813160174113, -28.339571728555, -27.515547353449, 0.92695583735778
101.90217, -14.854506514944, -28.420695829207, -27.59224779441, 0.92708924324635
102.17984, -14.896078655957, -28.502266246449, -27.669359136015, 0.9272227839668
102.45902, -14.937878449043, -28.584286653322, -27.746884672651, 0.92735645996528
102.73973, -14.979907766389, -28.666760761965, -27.824827733606, 0.92749027167803
103.02198, -15.022168500764, -28.749692325808, -27.903191684038, 0.92762421954809
103.30579, -15.064662565798, -28.83308513972, -27.981979925332, 0.92775830402115
103.59116, -15.107391896271, -28.916943040186, -28.061195895467, 0.92789252554146
103.87812, -15.150358448407, -29.001269907509, -28.140843070007, 0.9280268845683
104.16667, -15.193564200172, -29.086069663982, -28.220924961855, 0.92816138155115
104.45682, -15.237011151576, -29.17134627606, -28.301445122276, 0.92829601694655
104.7486, -15.28070132498, -29.257103754649, -28.382407141286, 0.92843079121366
105.04202, -15.324636765412, -29.343346155656, -28.46381464818, 0.92856570481444
105.33708, -15.368819540882, -29.430077580673, -28.54567131208, 0.92870075821375
105.6338, -15.413251742709, -29.517302177577, -28.627980842472, 0.92883595187915
105.9322, -15.457935485847, -29.605024141226, -28.710746989768, 0.92897128628107
106.23229, -15.502872909223, -29.693247714101, -28.793973545877, 0.92910676189288
106.53409, -15.548066176074, -29.781977186987, -28.877664344768, 0.9292423791908
106.83761, -15.593517474299, -29.871216899669, -28.961823263069, 0.92937813865402
107.14286, -15.639229016803, -29.960971241618, -29.04645422065, 0.92951404076462
107.44986, -15.685203041865, -30.051244652725, -29.131561181237, 0.92965008600772
107.75862, -15.731441813493, -30.142041624001, -29.217148153021, 0.92978627487147
108.06916, -15.777947621803, -30.233366698347, -29.303219189287, 0.92992260784698
108.3815, -15.824722783392, -30.325224471275, -29.389778389047, 0.93005908542848
108.69565, -15.87176964172, -30.417619591675, -29.476829897689, 0.93019570811325
109.01163, -15.919090567508, -30.510556763028, -29.564377907753, 0.93033247640542
109.32945, -15.966687959126, -30.604040742524, -29.652426659128, 0.93046939080122
109.64912, -16.014564243004, -30.698076344345, -29.740980440439, 0.93060645181107
109.97067, -16.062721874042, -30.792668438843, -29.830043589268, 0.93074365994494
110.29412, -16.111163336026, -30.887821953768, -29.919620492976, 0.93088101571603
110.61947, -16.159891142058, -30.983541875544, -30.009715589533, 0.93101851964432
110.94675, -16.208907834987, -31.079833248492, -30.100333367797, 0.9311561722426
111.27596, -16.258215987852, -31.176701178148, -30.191478368927, 0.93129397403745
111.60714, -16.30781820433, -31.274150830945, -30.283155186802, 0.9314319255588
111.9403, -16.357717119195, -31.372187433885, -30.375368468453, 0.93157002732955
