# R/L, m, nT, CHOLESKY, HODLR
10, 0, 10, 0.0100741, 0.0110428
11.279663, 0, 10, 0.0102113, 0.0119683
12.72308, 0, 10, 0.0122902, 0.0142654
14.351206, 0, 10, 0.0141257, 0.0162497
16.187678, 0, 10, 0.0174997, 0.0194453
18.259155, 0, 10, 0.0173136, 0.0196719
20.595712, 0, 10, 0.0168723, 0.018573
23.23127, 0, 10, 0.0308123, 0.0331087
26.20409, 0, 10, 0.0316787, 0.0222341
29.557332, 0, 10, 0.0205034, 0.0397201
33.339675, 0, 10, 0.0483367, 0.0495748
37.606031, 0, 10, 0.0625484, 0.0553059
42.418337, 0, 10, 0.039223, 0.0613399
47.846456, 0, 10, 0.0761503, 0.0855036
53.969191, 0, 10, 0.107897, 0.101811
60.87543, 0, 10, 0.0980766, 0.0868175
68.665436, 0, 10, 0.157919, 0.0895369
77.4523, 0, 10, 0.14484, 0.123292
87.363586, 0, 10, 0.244944, 0.152049
98.543184, 0, 10, 0.268154, 0.1484
111.15339, 0, 10, 0.319518, 0.214545
125.37729, 0, 10, 0.394183, 0.229935
141.42136, 0, 10, 0.487291, 0.280963
159.51853, 0, 10, 0.638517, 0.281778
179.93153, 0, 10, 0.802395, 0.332176
202.95671, 0, 10, 1.11581, 0.370743
228.92833, 0, 10, 1.50563, 0.411475
258.22345, 0, 10, 2.1373, 0.513971
291.26736, 0, 10, 2.8823, 0.583271
328.53977, 0, 10, 4.17107, 0.685908
370.5818, 0, 10, 5.57023, 0.783254
418.00379, 0, 10, 7.63634, 0.948365
471.49421, 0, 10, 10.6364, 1.01735
531.82959, 0, 10, 14.4326, 1.18108
599.88587, 0, 10, 19.6455, 1.34189
676.65106, 0, 10, 26.9176, 1.56047
763.23962, 0, 10, 36.7887, 1.87252
860.90859, 0, 10, 49.992, 2.22574
971.0759, 0, 10, 68.7643, 2.6041
1095.3409, 0, 10, 93.4959, 3.01279
1235.5077, 0, 10, 126.901, 3.52907
1393.6111, 0, 10, 173.163, 4.09943
1571.9464, 0, 10, 235.052, 4.96255
1773.1026, 0, 10, 320.287, 5.72217
2000, 0, 10, 441.523, 6.7925
