# L/R, R [m], T [K], omegap [eV], gamma [eV], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA
0.1, 1e-05, 0, 9, 0.35, 150, -3.66409967807, -4.13583235157, 0.885940088135
0.0950492, 1e-05, 0, 9, 0.35, 150, -4.04308549537, -4.53963272765, 0.890619514381
0.0903436, 1e-05, 0, 9, 0.35, 150, -4.46059386903, -4.98321173309, 0.895124290908
0.0858709, 1e-05, 0, 9, 0.35, 150, -4.92046288766, -5.47046486392, 0.89945973698
0.0816196, 1e-05, 0, 9, 0.35, 150, -5.42688115588, -6.0056390321, 0.903630925347
0.0775788, 1e-05, 0, 9, 0.35, 150, -5.98443012007, -6.59337557554, 0.907642838103
0.0737381, 1e-05, 0, 9, 0.35, 150, -6.59812793531, -7.2387546126, 0.911500429069
0.0700875, 1e-05, 0, 9, 0.35, 150, -7.27348629781, -7.94735272767, 0.915208692384
0.0666176, 1e-05, 0, 9, 0.35, 151, -8.016517438, -8.72524805611, 0.91877243907
0.0633195, 1e-05, 0, 9, 0.35, 158, -8.83378378028, -9.57907033465, 0.922196358484
0.0601847, 1e-05, 0, 9, 0.35, 167, -9.73246261018, -10.5160663224, 0.925485092223
0.0572051, 1e-05, 0, 9, 0.35, 175, -10.7203979673, -11.544151638, 0.92864320424
0.0543731, 1e-05, 0, 9, 0.35, 184, -11.8061125603, -12.6719206923, 0.931675067024
0.0516812, 1e-05, 0, 9, 0.35, 194, -12.999018174, -13.9088629201, 0.934585253207
0.0491226, 1e-05, 0, 9, 0.35, 204, -14.3092356445, -15.2651729805, 0.937377890366
0.0466906, 1e-05, 0, 9, 0.35, 215, -15.7479096753, -16.7520757833, 0.940057213144
0.0443791, 1e-05, 0, 9, 0.35, 226, -17.3270084314, -18.3816147474, 0.942627112446
0.042182, 1e-05, 0, 9, 0.35, 238, -19.0597561809, -20.1670972325, 0.945091698683
0.0400936, 1e-05, 0, 9, 0.35, 250, -20.9604868182, -22.1229396605, 0.947454865395
0.0381087, 1e-05, 0, 9, 0.35, 263, -23.044551249, -24.2645701012, 0.949720153825
0.036222, 1e-05, 0, 9, 0.35, 277, -25.3289948559, -26.6091219642, 0.951891418666
0.0344288, 1e-05, 0, 9, 0.35, 291, -27.8319094516, -29.1747650973, 0.953972015154
0.0327243, 1e-05, 0, 9, 0.35, 306, -30.5733832503, -31.9816774947, 0.955965591716
0.0311042, 1e-05, 0, 9, 0.35, 322, -33.5747929169, -35.051316248, 0.95787538132
0.0295643, 1e-05, 0, 9, 0.35, 339, -36.8594714363, -38.4070987768, 0.959704653833
0.0281006, 1e-05, 0, 9, 0.35, 356, -40.4527106386, -42.0744015861, 0.961456589129
0.0267094, 1e-05, 0, 9, 0.35, 375, -44.3815882456, -46.0803808248, 0.963134146272
0.0253871, 1e-05, 0, 9, 0.35, 394, -48.6755578742, -50.454571415, 0.964740290308
0.0241303, 1e-05, 0, 9, 0.35, 415, -53.3663442665, -55.2287764955, 0.966277865503
0.0229356, 1e-05, 0, 9, 0.35, 437, -58.4889223606, -60.4380600427, 0.967749830477
