# LbyR, T [K], omegap [eV], gamma [eV], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA
0.1, 0, 9, 0.035, 150, -4.2001258433, -4.73609129837, 0.886833800004
0.0950492390112, 0, 9, 0.035, 150, -4.65240355423, -5.21868921498, 0.891488908916
0.090343578366, 0, 9, 0.035, 150, -5.15330570993, -5.75163746113, 0.895971928821
0.0858708837324, 0, 9, 0.035, 150, -5.70805366085, -6.34025328767, 0.900287954102
0.0816196215198, 0, 9, 0.035, 150, -6.32242860455, -6.99041888651, 0.904442023746
0.0775788291384, 0, 9, 0.035, 150, -7.002831487, -7.70864159253, 0.908439107325
0.0737380867298, 0, 9, 0.035, 150, -7.75634907616, -8.50212051009, 0.912284066894
0.0700874902981, 0, 9, 0.035, 150, -8.59082922384, -9.37882025007, 0.915981860701
0.0666176261704, 0, 9, 0.035, 151, -9.51495813383, -10.347552537, 0.919537069258
0.0633195467222, 0, 9, 0.035, 158, -10.538353624, -11.4180665263, 0.922954302265
0.0601847473048, 0, 9, 0.035, 167, -11.6716666266, -12.6011487626, 0.926238301482
0.057205144314, 0, 9, 0.035, 175, -12.9266863864, -13.9087338079, 0.929393470671
0.0543730543457, 0, 9, 0.035, 184, -14.3164646647, -15.3540266798, 0.932424110184
0.0516811743828, 0, 9, 0.035, 194, -15.8554524885, -16.951638361, 0.935334517576
0.0491225629628, 0, 9, 0.035, 204, -17.5596480484, -18.717735776, 0.938128855894
0.046690622279, 0, 9, 0.035, 215, -19.4467627382, -20.6702077796, 0.94081118804
0.0443790811657, 0, 9, 0.035, 226, -21.5364043731, -22.8288488702, 0.943385472287
0.0421819789282, 0, 9, 0.035, 238, -23.8502801428, -25.2155625154, 0.945855565515
0.0400936499711, 0, 9, 0.035, 250, -26.4124211117, -27.8545861926, 0.948225219684
0.0381087091893, 0, 9, 0.035, 263, -29.2494308842, -30.7727404558, 0.950498085353
0.0362220380814, 0, 9, 0.035, 277, -32.3907607135, -33.9997046013, 0.952677709801
0.0344287715508, 0, 9, 0.035, 291, -35.8690140792, -37.5683217705, 0.954767537883
0.0327242853599, 0, 9, 0.035, 306, -39.7202838943, -41.5149366346, 0.956770914622
0.0311041842064, 0, 9, 0.035, 322, -43.9845256498, -45.8797691407, 0.958691084842
0.0295642903888, 0, 9, 0.035, 339, -48.7059681944, -50.7073281738, 0.960531149016
0.0281006330336, 0, 9, 0.035, 356, -53.9335799076, -56.0468693958, 0.962294245674
0.0267094378558, 0, 9, 0.035, 375, -59.7215619264, -61.9529019812, 0.963983284342
0.0253871174261, 0, 9, 0.035, 394, -66.1299166132, -68.4857494748, 0.965601123158
0.0241302619204, 0, 9, 0.035, 415, -73.225065843, -75.7121705469, 0.967150529618
0.0229356303267, 0, 9, 0.035, 437, -81.0805372155, -83.7060460528, 0.968634179237
0.021800142088, 0, 9, 0.035, 459, -89.7777239166, -92.5491394686, 0.970054658878
0.020720869158, 0, 9, 0.035, 483, -99.4067258071, -102.331938555, 0.971414469527
0.0196950284512, 0, 9, 0.035, 508, -110.067280114, -113.154586909, 0.972716026107
0.0187199746659, 0, 9, 0.035, 535, -121.869791979, -125.127915023, 0.973961661208
0.017793193463, 0, 9, 0.035, 563, -134.936474825, -138.374581462, 0.975153625759
0.0169122949824, 0, 9, 0.035, 592, -149.402612884, -153.030335941, 0.976294092051
0.0160750076801, 0, 9, 0.035, 623, -165.41795854, -169.245417311, 0.977385155639
0.0152791724709, 0, 9, 0.035, 655, -183.148276386, -187.186100865, 0.978428823187
0.0145227371608, 0, 9, 0.035, 689, -202.777067929, -207.036410913, 0.979427082584
0.0138037511549, 0, 9, 0.035, 725, -224.507438193, -229.000016299, 0.980381756391
0.0131203604277, 0, 9, 0.035, 763, -248.564230531, -253.302328364, 0.98129469293
0.0124708027421, 0, 9, 0.035, 802, -275.196317878, -280.192823013, 0.982167619139
0.0118534031049, 0, 9, 0.035, 844, -304.679186814, -309.947610819, 0.983002211275
0.0112665694482, 0, 9, 0.035, 888, -337.317778758, -342.872281614, 0.983800081971
0.0107087885232, 0, 9, 0.035, 934, -373.449638597, -379.305052985, 0.984562783065
0.0101786219986, 0, 9, 0.035, 983, -413.448399487, -419.620255, 0.985291807438
0.00967470275147, 0, 9, 0.035, 1034, -457.727639853, -464.232187198, 0.985988590354
