# LbyR, T [K], omegap [eV], gamma [eV], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA
0.1, 0, 9, 0.035, 150, -4.13773310886, -4.66662194543, 0.886665591781
0.0950492, 0, 9, 0.035, 150, -4.58124732716, -5.13983527216, 0.891321819587
0.0903436, 0, 9, 0.035, 150, -5.07212761347, -5.66208557956, 0.895805537059
0.0858709, 0, 9, 0.035, 150, -5.615431643, -6.23852282717, 0.900121999803
0.0816196, 0, 9, 0.035, 150, -6.21673268019, -6.87481607679, 0.904276217828
0.0775788, 0, 9, 0.035, 150, -6.88218624524, -7.57722121985, 0.908273105081
0.0737381, 0, 9, 0.035, 150, -7.61860154483, -8.35265323321, 0.912117543027
0.0700875, 0, 9, 0.035, 150, -8.43353183046, -9.20877784512, 0.915814451418
0.0666176, 0, 9, 0.035, 151, -9.33530809066, -10.1540432519, 0.919368556848
0.0633195, 0, 9, 0.035, 158, -10.3331275821, -11.1977692209, 0.92278447415
0.0601847, 0, 9, 0.035, 167, -11.4371648373, -12.3502596234, 0.926066753736
0.0572051, 0, 9, 0.035, 175, -12.6586729495, -13.6229037436, 0.929219877622
0.0543731, 0, 9, 0.035, 184, -14.0100399662, -15.0282307348, 0.932248127765
0.0516812, 0, 9, 0.035, 194, -15.5050991628, -16.5802276793, 0.935155985953
0.0491226, 0, 9, 0.035, 204, -17.1589593254, -18.2941581323, 0.937947469426
0.0466906, 0, 9, 0.035, 215, -18.988463034, -20.1870325868, 0.940626758904
0.0443791, 0, 9, 0.035, 226, -21.0120014527, -22.2774112138, 0.943197629698
0.042182, 0, 9, 0.035, 238, -23.2501474398, -24.5860527829, 0.945664098464
0.0400936, 0, 9, 0.035, 250, -25.725562827, -27.1358119731, 0.948029963228
0.0381087, 0, 9, 0.035, 263, -28.4629756594, -29.951610502, 0.950298671169
0.036222, 0, 9, 0.035, 277, -31.4901833871, -33.0614630829, 0.952473981811
