# LbyR, R [m], T [K], omegap [eV], gamma [eV], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA
0.1, 1e-05, 0, 9, 0.035, 150, -3.89811691752, -4.40415742553, 0.885099359739
0.0950492, 1e-05, 0, 9, 0.035, 150, -4.30497785263, -4.83846400127, 0.889740597739
0.0903436, 1e-05, 0, 9, 0.035, 150, -4.75356832089, -5.31594603448, 0.894209288442
0.0858709, 1e-05, 0, 9, 0.035, 150, -5.2480783041, -5.84086326809, 0.898510727476
0.0816196, 1e-05, 0, 9, 0.035, 150, -5.79308277147, -6.41786183389, 0.902649966827
0.0775788, 1e-05, 0, 9, 0.035, 150, -6.39358781246, -7.05202118707, 0.906631963072
0.0737381, 1e-05, 0, 9, 0.035, 150, -7.05507853556, -7.74890255103, 0.910461641388
0.0700875, 1e-05, 0, 9, 0.035, 150, -7.78358100576, -8.51461181006, 0.91414396562
0.0666176, 1e-05, 0, 9, 0.035, 151, -8.58567035243, -9.35580556951, 0.91768370865
0.0633195, 1e-05, 0, 9, 0.035, 158, -9.46852495835, -10.2797456861, 0.921085525607
0.0601847, 1e-05, 0, 9, 0.035, 167, -10.4399966695, -11.2943704214, 0.924354017087
0.0572051, 1e-05, 0, 9, 0.035, 175, -11.5086673981, -12.4083508717, 0.927493711054
0.0543731, 1e-05, 0, 9, 0.035, 184, -12.6838620745, -13.6311018459, 0.93050893595
0.0516812, 1e-05, 0, 9, 0.035, 194, -13.9758766016, -14.973016307, 0.933404219634
0.0491226, 1e-05, 0, 9, 0.035, 204, -15.3957825631, -16.4452593724, 0.936183626808
0.0466906, 1e-05, 0, 9, 0.035, 215, -16.9557691066, -18.0601204681, 0.938851384548
0.0443791, 1e-05, 0, 9, 0.035, 226, -18.6689232829, -19.8307827271, 0.941411316931
0.042182, 1e-05, 0, 9, 0.035, 238, -20.5496995861, -21.7718057697, 0.943867486396
0.0400936, 1e-05, 0, 9, 0.035, 250, -22.6137596834, -23.8989562064, 0.946223738313
0.0381087, 1e-05, 0, 9, 0.035, 263, -24.8778699059, -26.2290995598, 0.948483566857
0.036222, 1e-05, 0, 9, 0.035, 277, -27.3606348454, -28.7809525132, 0.950650776164
0.0344288, 1e-05, 0, 9, 0.035, 291, -30.0817906689, -31.5743521809, 0.952728673469
0.0327243, 1e-05, 0, 9, 0.035, 306, -33.0632341642, -34.6313101705, 0.954720858132
0.0311042, 1e-05, 0, 9, 0.035, 322, -36.3282490465, -37.9752145565, 0.956630514686
0.0295643, 1e-05, 0, 9, 0.035, 339, -39.9022271993, -41.6315664705, 0.958460864728
