# L = 2.1925219866131e-07 [m]
# T = 0 [K]
# omega_p = 9 [eV]
# omega_p*L/c = 10
# E = E_PFA (1+theta_1*L/R)
# theta1 = -1.8416514081071
#
# L/R, R, ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA, 1-E/E_PFA, 1-E/E_PFA+theta1*L/R
0.1, 2.19252198661e-06, 91, -3.29023410055, -3.74667039633, 0.878175487168, 0.121824512832, 0.0623406279791
0.0914112171376, 2.39852619325e-06, 99, -3.94553592499, -4.44879335598, 0.886877768708, 0.113122231292, 0.0552253654666
0.0835601061858, 2.62388607039e-06, 108, -4.73085444255, -5.28576492031, 0.895017942317, 0.104982057683, 0.0489065295361
0.076383310106, 2.87042023129e-06, 118, -5.67192353071, -6.28380658838, 0.902625415174, 0.0973745848256, 0.043296845787
0.0698229134579, 3.14011816184e-06, 129, -6.79955943726, -7.47426972534, 0.909728935017, 0.0902710649833, 0.0383184019046
0.0638259750328, 3.4351562753e-06, 142, -8.1506628263, -8.89464210098, 0.916356468733, 0.0836435312671, 0.0339016655259
0.0583441006274, 3.75791547566e-06, 155, -9.76941797937, -10.5897522016, 0.922535088012, 0.0774649119882, 0.0299845830871
0.0533330525115, 4.111000371e-06, 169, -11.708728584, -12.613210202, 0.928290926453, 0.0717090735465, 0.02651181771
0.0487523924375, 4.49726029225e-06, 185, -14.0319358453, -15.0291321317, 0.933649110433, 0.0663508895666, 0.0234340226144
0.0445651553108, 4.9198122868e-06, 202, -16.8148749704, -17.9142029245, 0.938633722152, 0.0613662778484, 0.0207072031822
0.0407375508889, 5.38206627245e-06, 221, -20.1483367722, -21.3601449918, 0.943267790552, 0.0567322094485, 0.0182921585089
0.0372386910996, 5.88775255486e-06, 242, -24.1410136505, -25.4766720693, 0.94757327742, 0.0524267225804, 0.0161539653192
0.0340403407803, 6.44095193044e-06, 265, -28.923025603, -30.3950237749, 0.951571080096, 0.0484289199042, 0.0142615216262
0.031116689825, 7.04612861761e-06, 290, -34.6501403317, -36.272195085, 0.95528104242, 0.0447189575796, 0.0125871380523
0.028444144902, 7.70816628226e-06, 317, -41.5088246773, -43.2959974084, 0.958721987297, 0.0412780127031, 0.0111061868081
0.0260011390593, 8.43240744804e-06, 347, -49.7222885584, -51.6911148151, 0.961911708352, 0.0380882916479, 0.0097967427131
0.0237679576838, 9.22469660955e-06, 379, -59.5577212716, -61.7263511608, 0.9648670325, 0.0351329675004, 0.0086393252357
0.0217265794075, 1.00914273963e-05, 415, -71.3349479357, -73.7233023446, 0.967603805948, 0.0323961940518, 0.0076165915073
0.0198605306788, 1.10395941683e-05, 454, -85.4367968128, -88.0667340235, 0.970136996224, 0.0298630037764, 0.00671317051392
0.0181547528234, 1.20768484591e-05, 496, -102.321497484, -105.217000249, 0.972480656566, 0.0275193434336, 0.00591538266754
0.0165954805242, 1.32115607223e-05, 543, -122.537526996, -125.724904484, 0.974648002306, 0.0253519976939, 0.00521109238182
0.015170130737, 1.44528878796e-05, 594, -146.741373374, -150.249483448, 0.976651433383, 0.0233485666172, 0.00458952601587
0.0138672011481, 1.58108472156e-05, 650, -175.718796702, -179.579288723, 0.978502576502, 0.021497423498, 0.00404112702292
0.0126761773524, 1.72963972155e-05, 710, -210.410273432, -214.657854207, 0.980212320718, 0.0197876792818, 0.00355742058869
0.0115874480044, 1.89215259977e-05, 777, -251.941448586, -256.614172819, 0.981790856751, 0.018209143249, 0.00313089668457
0.010592227256, 2.06993480562e-05, 850, -301.659578123, -306.799167888, 0.983247706308, 0.0167522936924, 0.00275489654857
0.00968248385667, 2.26442100918e-05, 930, -361.177145925, -366.829338491, 0.984591765235, 0.0154082347654, 0.00242352526325
0.00885087634254, 2.47718067879e-05, 1017, -432.42405989, -438.638990042, 0.98583133216, 0.0141686678403, 0.0021315610389
0.00809069379206, 2.70993074632e-05, 1113, -517.710122176, -524.542739038, 0.986974146521, 0.0130258534787, 0.00187438413603
0.0073958016702, 2.9645494625e-05, 1217, -619.799788047, -627.310313189, 0.988027416441, 0.0119725835587, 0.00164790500133
0.00676059232381, 3.24309155411e-05, 1332, -742.0016394, -750.256065754, 0.988997854559, 0.0110021454413, 0.00144850893148
0.00617993972891, 3.54780480521e-05, 1457, -888.275458482, -897.346098806, 0.989891703618, 0.0101082963816, 0.00127299832215
0.00564915812457, 3.88114819636e-05, 1594, -1063.36037355, -1073.32645964, 0.990714767158, 0.00928523284165, 0.00111854717308
0.0051639641997, 4.24581174815e-05, 1743, -1272.92821832, -1283.87655609, 0.991472437352, 0.00852756264835, 0.000982659291441
0.0047204425275, 4.64473822918e-05, 1907, -1523.7670644, -1535.79275204, 0.99216971976, 0.00783028024031, 0.000863129387347
0.00431501396867, 5.08114690366e-05, 2086, -1824.0008691, -1837.20808083, 0.992811259719, 0.00718874028071, 0.000758011270684
0.00394440678842, 5.55855951027e-05, 2282, -2183.352334, -2197.85518179, 0.99340136333, 0.00659863667017, 0.000665585645864
0.00360563025415, 6.080828682e-05, 2497, -2613.45749099, -2629.38096386, 0.993944022154, 0.00605597784616, 0.000584336188509
0.0032959505008, 6.65216903615e-05, 2731, -3128.24217997, -3145.72317244, 0.994442933625, 0.00555706637532, 0.000512925505535
0.00301286846904, 7.27719118556e-05, 2988, -3744.37260131, -3763.56103848, 0.994901520933, 0.00509847906731, 0.000450174391138
0.00301286846904, 7.27719118556e-05, 2988, -3744.37260142, -3763.56103848, 0.994901520962, 0.00509847903817, 0.000450174420277
0.0027540997383, 7.96093894538e-05, 3268, -4481.79451006, -4502.85458422, 0.995322950418, 0.00467704958242, 0.000395042078698
0.00251755609197, 8.70893003579e-05, 3575, -5364.37851668, -5387.49002779, 0.995710152411, 0.00428984758874, 0.000346613133021
0.00230132866579, 9.52720060896e-05, 3911, -6420.69231893, -6446.05216046, 0.996065833645, 0.00393416635487, 0.000304078822996
0.00210367254374, 0.000104223539597, 4279, -7684.92491486, -7712.74867681, 0.996392497265, 0.00360750273501, 0.000266728767361
0.00192299267682, 0.000114016138129, 4681, -9197.99260738, -9228.51635282, 0.996692453665, 0.00330754633475, 0.00023393583629
0.00175783101135, 0.000124728826176, 5120, -11008.8626556, -11042.3448488, 0.996967836659, 0.00303216334123, 0.000205148616038
0.0016068547227, 0.000136448053184, 5602, -13176.137332, -13212.8609524, 0.997220615543, 0.00277938445689, 0.000179881805785
0.00146884545965, 0.000149268391185, 6128, -15769.9496417, -15810.2245002, 0.997452606792, 0.00254739320782, 0.000157708101233
0.00134268951254, 0.000163293297977, 6703, -18874.2320502, -18918.397299, 0.997665486767, 0.00233451323315, 0.00013825279826
0.00122736882579, 0.000178635952009, 7333, -22589.431396, -22637.8584294, 0.997860794402, 0.00213920559751, 0.000121179928773
0.00112195278242, 0.000195420165712, 8022, -27035.7585361, -27088.853754, 0.998039960702, 0.00196003929782, 0.000106206623755
0.00102559069412, 0.000213781384638, 8776, -32357.0763572, -32415.2847301, 0.99820429241, 0.00179570759038, 9.30729555933e-05
0.000937504936346, 0.00023386778049, 9600, -38725.5537027, -38789.3623046, 0.998354997398, 0.00164500260202, 8.1554684114e-05
0.00085698467304, 0.00025584144683, 10502, -46347.2344316, -46417.1764144, 0.998493187475, 0.00150681252462, 7.14545052137e-05
0.000783380120308, 0.000279879707153, 11489, -55468.7022486, -55545.361229, 0.998619885104, 0.00138011489565, 6.25982059963e-05
0.000716097302788, 0.000306176545852, 12569, -66385.0570013, -66469.0717153, 0.998736032989, 0.00126396701118, 5.48345948394e-05
0.000654593260368, 0.000334944173635, 13749, -79449.4598945, -79541.5295144, 0.998842496235, 0.00115750376501, 4.80288346821e-05
0.000598371666604, 0.000366414740032, 15041, -95084.5571274, -95185.4468822, 0.998940071638, 0.00105992836198, 4.20636603885e-05
0.0005, 0.000438504397323, 18000, -136189.559306, -136310.681146, 0.999111428102, 0.000888571898051, 3.22538060023e-05
0.000417800530929, 0.000524777214078, 21542, -195062.007462, -195207.382978, 0.999255276547, 0.000744723453292, 2.47194828017e-05
