# L = 5.4813049665329e-07 [m]
# T = 0 [K]
# omega_p = 9 [eV]
# omega_p*L/c = 25
# E = E_PFA (1+theta_1*L/R)
# theta1 = -1.7587447923956
#
# L/R, R, ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA, 1-E/E_PFA, E/E_PFA-1-theta1*L/R
0.1, 5.48130496653e-06, 90, -3.78009390064, -4.28146875202, 0.882896529107, 0.117103470893, 0.0587710083467
0.0914112171376, 5.99631548312e-06, 99, -4.53108478542, -5.08381248494, 0.891276930226, 0.108723069774, 0.0520459323329
0.0835601061858, 6.55971517597e-06, 108, -5.43087958949, -6.04025306283, 0.899114578976, 0.100885421024, 0.046075480582
0.076383310106, 7.17605057823e-06, 118, -6.50890944803, -7.18075483187, 0.906438055668, 0.0935619443324, 0.0407768045424
0.0698229134579, 7.85029540459e-06, 129, -7.80041568762, -8.54114423958, 0.913275255495, 0.0867247445049, 0.036075940929
0.0638259750328, 8.58789068826e-06, 142, -9.3475951807, -10.1642600462, 0.919653288896, 0.0803467111037, 0.0319068901048
0.0583441006274, 9.39478868915e-06, 155, -11.2009709411, -12.1013295398, 0.925598373652, 0.0744016263483, 0.0282107567973
0.0533330525115, 1.02775009275e-05, 169, -13.4210331925, -14.4136151916, 0.931135805559, 0.0688641944408, 0.0249350339265
0.0487523924375, 1.12431507306e-05, 185, -16.080202979, -17.1743849298, 0.936289890128, 0.0637101098715, 0.0220329064447
0.0445651553108, 1.2299530717e-05, 202, -19.2651825277, -20.4712696675, 0.941083911289, 0.0589160887107, 0.0194626461144
0.0407375508889, 1.34551656811e-05, 221, -23.079768612, -24.4090842393, 0.94554012702, 0.0544598729805, 0.0171870825003
0.0372386910996, 1.47193813872e-05, 242, -27.6482194083, -29.1132028793, 0.94967975605, 0.0503202439495, 0.0151731100975
0.0340403407803, 1.61023798261e-05, 265, -33.1192842498, -34.7335983001, 0.953522982664, 0.0464770173356, 0.013391254743
0.031116689825, 1.7615321544e-05, 290, -39.6710267789, -41.4496748836, 0.957088973322, 0.0429110266781, 0.0118152895082
0.028444144902, 1.92704157057e-05, 317, -47.5165971182, -49.4760521697, 0.960395889212, 0.0396041107877, 0.0104218809329
0.0260011390593, 2.10810186201e-05, 347, -56.9111406, -59.0694855503, 0.963460915052, 0.0365390849484, 0.00919028296855
0.0237679576838, 2.30617415239e-05, 379, -68.160066155, -70.5371478447, 0.96630028627, 0.0336997137296, 0.00810205807259
0.0217265794075, 2.52285684908e-05, 415, -81.6289400495, -84.2465394323, 0.968929294895, 0.0310707051047, 0.00714080328483
0.0198605306788, 2.75989854209e-05, 454, -97.7553324585, -100.637347279, 0.971362372935, 0.0286376270647, 0.00629197784081
0.0181547528234, 3.01921211478e-05, 496, -117.062988855, -120.235636203, 0.973613086373, 0.0263869136274, 0.00554266335805
0.0165954805242, 3.30289018057e-05, 543, -140.178792369, -143.670831154, 0.97569417009, 0.0243058299096, 0.00488138503969
0.015170130737, 3.6132219699e-05, 594, -167.853067081, -171.696039507, 0.977617582573, 0.0223824174269, 0.00429797100686
0.0138672011481, 3.95271180391e-05, 650, -200.983873584, -205.21237041, 0.979394532513, 0.0206054674866, 0.00378340031771
0.0126761773524, 4.32409930388e-05, 710, -240.646086526, -245.298037442, 0.981035515144, 0.018964484856, 0.00332967604998
0.0115874480044, 4.73038149942e-05, 777, -288.12619474, -293.243185556, 0.982550350465, 0.0174496495355, 0.00292971429935
0.010592227256, 5.17483701404e-05, 850, -344.963947349, -350.591568381, 0.98394821342, 0.0160517865799, 0.0025772379464
0.00968248385667, 5.66105252296e-05, 930, -413.002197165, -419.190423479, 0.985237672504, 0.0147623274963, 0.00226669056409
0.00885087634254, 6.19295169699e-05, 1017, -494.446550066, -501.250158306, 0.986426721015, 0.0135732789847, 0.00199315369082
0.00809069379206, 6.77482686579e-05, 1113, -591.936753373, -599.415776869, 0.987522811737, 0.0124771882633, 0.00175227731034
0.0073958016702, 7.41137365625e-05, 1217, -708.632127724, -716.852356794, 0.988532884084, 0.0114671159161, 0.00154021175691
