# L (m), R (m), T (K), F_Drude, F_Plasma, F_PFA_Drude, F_PFA_Plasma, F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma
1.45e-07, 0.0001513, 295, -8.22020522546e-11, -8.47854421039e-11, -8.22551540251e-11, -8.48581914452e-11, 0.999354426222, 0.999142695125
1.5e-07, 0.0001513, 295, -7.50254071993e-11, -7.7476352894e-11, -7.50753068158e-11, -7.75453147957e-11, 0.99933533916, 0.999110688996
1.55e-07, 0.0001513, 295, -6.86648281707e-11, -7.09932623811e-11, -6.87117921274e-11, -7.10587349427e-11, 0.999316508051, 0.999078613465
1.6e-07, 0.0001513, 295, -6.30067250417e-11, -6.52216096814e-11, -6.30509928963e-11, -6.52838616248e-11, 0.999297903926, 0.999046442079
1.65e-07, 0.0001513, 295, -5.79560923585e-11, -6.00655346257e-11, -5.79978791942e-11, -6.0124808e-11, 0.99927951097, 0.999014161105
1.7e-07, 0.0001513, 295, -5.34330388433e-11, -5.54443909643e-11, -5.34725342662e-11, -5.55009003537e-11, 0.999261388609, 0.99898182932
1.75e-07, 0.0001513, 295, -4.93700272731e-11, -5.12899725572e-11, -4.94074069925e-11, -5.13439168536e-11, 0.999243438956, 0.998949353697
1.8e-07, 0.0001513, 295, -4.5709702681e-11, -4.75443300443e-11, -4.57451235282e-11, -4.75958876315e-11, 0.999225691298, 0.998916763827
1.85e-07, 0.0001513, 295, -4.24031313093e-11, -4.41580000313e-11, -4.24367327381e-11, -4.42073304323e-11, 0.99920819944, 0.998884112646
1.9e-07, 0.0001513, 295, -3.94083782466e-11, -4.10885744224e-11, -3.94402906266e-11, -4.11358267261e-11, 0.999190868541, 0.998851310222
1.95e-07, 0.0001513, 295, -3.66893722566e-11, -3.82995581695e-11, -3.67197115306e-11, -3.8344865803e-11, 0.999173760558, 0.998818417211
2e-07, 0.0001513, 295, -3.42149570863e-11, -3.57594145086e-11, -3.42438305906e-11, -3.58029011659e-11, 0.999156826095, 0.998785387332
2.05e-07, 0.0001513, 295, -3.19581703393e-11, -3.34408388634e-11, -3.19856346069e-11, -3.34825761639e-11, 0.999141356178, 0.998753462092
2.1e-07, 0.0001513, 295, -2.98954352044e-11, -3.13199450977e-11, -2.9921627868e-11, -3.1360085318e-11, 0.999124624378, 0.998720021967
2.15e-07, 0.0001513, 295, -2.80063057136e-11, -2.93760084165e-11, -2.80313067842e-11, -2.94146450605e-11, 0.999108101854, 0.998686482739
2.2e-07, 0.0001513, 295, -2.62728393034e-11, -2.75908334927e-11, -2.62967226839e-11, -2.76280531527e-11, 0.999091773495, 0.99865283088
2.25e-07, 0.0001513, 295, -2.46792826287e-11, -2.59484376294e-11, -2.47021164162e-11, -2.59843203497e-11, 0.999075634365, 0.998619062579
2.3e-07, 0.0001513, 295, -2.32117645585e-11, -2.44347411963e-11, -2.32336117063e-11, -2.44693611917e-11, 0.99905967492, 0.998585169627
2.35e-07, 0.0001513, 295, -2.18580382786e-11, -2.30373074961e-11, -2.18789568139e-11, -2.307073342e-11, 0.999043897043, 0.99855115469
2.4e-07, 0.0001513, 295, -2.06072623001e-11, -2.17451218108e-11, -2.06273060694e-11, -2.17774175474e-11, 0.99902828953, 0.998517007971
2.45e-07, 0.0001513, 295, -1.9449815536e-11, -2.05484047536e-11, -1.9469034469e-11, -2.05796297242e-11, 0.999012846118, 0.99848272437
2.5e-07, 0.0001513, 295, -1.83771394041e-11, -1.94384528534e-11, -1.83955797908e-11, -1.94686623318e-11, 0.998997564254, 0.998448302309
2.55e-07, 0.0001513, 295, -1.73816029498e-11, -1.84075023359e-11, -1.73993077031e-11, -1.84367477454e-11, 0.998982444958, 0.998413743579
2.6e-07, 0.0001513, 295, -1.64563871074e-11, -1.74486121957e-11, -1.64733961538e-11, -1.74769415334e-11, 0.998967483921, 0.998379044889
2.65e-07, 0.0001513, 295, -1.55953850983e-11, -1.65555635423e-11, -1.56117359865e-11, -1.65830220167e-11, 0.998952654069, 0.99834418151
2.7e-07, 0.0001513, 295, -1.47931181273e-11, -1.57227743615e-11, -1.48088452576e-11, -1.57494036483e-11, 0.998937990777, 0.998309187616
2.75e-07, 0.0001513, 295, -1.40446591666e-11, -1.49452224623e-11, -1.40597951575e-11, -1.49710620978e-11, 0.998923455802, 0.998274027896
2.8e-07, 0.0001513, 295, -1.33455707162e-11, -1.42183824985e-11, -1.33601457954e-11, -1.42434692908e-11, 0.998909062869, 0.998238716157
2.85e-07, 0.0001513, 295, -1.2691848163e-11, -1.35381686578e-11, -1.2705890388e-11, -1.35625369313e-11, 0.998894825582, 0.998203265828
2.9e-07, 0.0001513, 295, -1.20798707296e-11, -1.29008850194e-11, -1.20934066329e-11, -1.29245672775e-11, 0.998880720402, 0.998167655629
2.95e-07, 0.0001513, 295, -1.15063598232e-11, -1.23031833663e-11, -1.15194142383e-11, -1.23262101365e-11, 0.998866746618, 0.998131885637
3e-07, 0.0001513, 295, -1.09683414339e-11, -1.17420251037e-11, -1.09809377456e-11, -1.17644252054e-11, 0.998852892897, 0.998095945928
3.05e-07, 0.0001513, 295, -1.04631140145e-11, -1.1214648711e-11, -1.04752739103e-11, -1.12364490196e-11, 0.998839181118, 0.998059857823
3.1e-07, 0.0001513, 295, -9.98821885718e-12, -1.07185397221e-11, -9.99996302263e-12, -1.07397658826e-11, 0.998825579113, 0.998023591876
3.15e-07, 0.0001513, 295, -9.54141602648e-12, -1.0251406315e-11, -9.55276363687e-12, -1.02720822432e-11, 0.998812112304, 0.997987172643
3.2e-07, 0.0001513, 295, -9.12066109952e-12, -9.81115572881e-12, -9.13163026163e-12, -9.83130406679e-12, 0.998798772859, 0.997950593548
3.25e-07, 0.0001513, 295, -8.72408563032e-12, -9.39587443961e-12, -8.73469362355e-12, -9.41551681107e-12, 0.998785533451, 0.997913829708
3.3e-07, 0.0001513, 295, -8.34998029235e-12, -9.00381104916e-12, -8.36024317574e-12, -9.02296767248e-12, 0.998772418077, 0.99787690436
3.35e-07, 0.0001513, 295, -7.99677868423e-12, -8.63335984687e-12, -8.00671156623e-12, -8.65204981725e-12, 0.998759430521, 0.997839821687
3.4e-07, 0.0001513, 295, -7.66304342433e-12, -8.28304668977e-12, -7.67266082375e-12, -8.30128835124e-12, 0.998746536614, 0.997802550557
3.45e-07, 0.0001513, 295, -7.34745476252e-12, -7.95151742473e-12, -7.3567700474e-12, -7.96932781307e-12, 0.99873378061, 0.997765132925
3.5e-07, 0.0001513, 295, -7.04879829956e-12, -7.63752541878e-12, -7.05782442071e-12, -7.65492100894e-12, 0.99872111849, 0.997727528456
3.55e-07, 0.0001513, 295, -6.76595618574e-12, -7.33992260424e-12, -6.77470538953e-12, -7.3569190271e-12, 0.998708548448, 0.997689736314
3.6e-07, 0.0001513, 295, -6.49789825432e-12, -7.0576504604e-12, -6.50638186748e-12, -7.07426229382e-12, 0.998696108938, 0.997651792833
3.65e-07, 0.0001513, 295, -6.24367338379e-12, -6.78973123572e-12, -6.25190235e-12, -6.80597255086e-12, 0.998683766036, 0.997613667257
3.7e-07, 0.0001513, 295, -6.00240317003e-12, -6.53526149991e-12, -6.01038783086e-12, -6.55114564683e-12, 0.998671523194, 0.997575363489
3.75e-07, 0.0001513, 295, -5.7732753764e-12, -6.29340547914e-12, -5.78102543233e-12, -6.30894505262e-12, 0.998659397711, 0.997536898269
3.8e-07, 0.0001513, 295, -5.55553772449e-12, -6.06338873661e-12, -5.56306266695e-12, -6.07859601789e-12, 0.998647338183, 0.997498224715
3.85e-07, 0.0001513, 295, -5.34849364573e-12, -5.84449383692e-12, -5.35580226305e-12, -5.85938029992e-12, 0.998635383281, 0.997459379279
3.9e-07, 0.0001513, 295, -5.15149699683e-12, -5.63605496821e-12, -5.15859749103e-12, -5.65063140088e-12, 0.998623561111, 0.99742038869
3.95e-07, 0.0001513, 295, -4.96394732827e-12, -5.43745312103e-12, -4.97084793684e-12, -5.45173025947e-12, 0.998611784416, 0.997381172992
4e-07, 0.0001513, 295, -4.78528745489e-12, -5.24811360074e-12, -4.79199567553e-12, -5.26210134897e-12, 0.998600119639, 0.997341794218
4.05e-07, 0.0001513, 295, -4.61500008365e-12, -5.06750259493e-12, -4.62152180211e-12, -5.08120913861e-12, 0.998588837458, 0.997302503537
4.1e-07, 0.0001513, 295, -4.45259973763e-12, -4.89511894594e-12, -4.45894328245e-12, -4.90855488013e-12, 0.99857734346, 0.997262751559
4.15e-07, 0.0001513, 295, -4.29763810001e-12, -4.73049957553e-12, -4.30381009227e-12, -4.74367368745e-12, 0.998565923652, 0.99722280393
4.2e-07, 0.0001513, 295, -4.1496959801e-12, -4.57321130347e-12, -4.15570261344e-12, -4.5861318781e-12, 0.998554604624, 0.997182685764
4.25e-07, 0.0001513, 295, -4.00838209575e-12, -4.42284960038e-12, -4.01422926345e-12, -4.4355245518e-12, 0.998543389697, 0.997142400797
4.3e-07, 0.0001513, 295, -3.87333085217e-12, -4.27903631832e-12, -3.87902433312e-12, -4.2914733812e-12, 0.998532238919, 0.997101913079
4.35e-07, 0.0001513, 295, -3.74420076522e-12, -4.14141807585e-12, -3.7497460138e-12, -4.15362459533e-12, 0.998521166885, 0.997061236711
4.4e-07, 0.0001513, 295, -3.62067237063e-12, -4.00966412318e-12, -3.62607459401e-12, -4.02164713581e-12, 0.998510173127, 0.997020371947
4.45e-07, 0.0001513, 295, -3.50244672128e-12, -3.88346480436e-12, -3.50771081058e-12, -3.89523097034e-12, 0.998499280705, 0.996979340619
4.5e-07, 0.0001513, 295, -3.38924362134e-12, -3.76252975222e-12, -3.39437433894e-12, -3.77408554805e-12, 0.998488464414, 0.996938120325
4.55e-07, 0.0001513, 295, -3.28080050595e-12, -3.64658674022e-12, -3.28580240923e-12, -3.65793838307e-12, 0.998477722438, 0.996896710207
4.6e-07, 0.0001513, 295, -3.17687110991e-12, -3.5353803189e-12, -3.18174853718e-12, -3.54653375519e-12, 0.998467060733, 0.996855116274
4.65e-07, 0.0001513, 295, -3.07722428499e-12, -3.42867060657e-12, -3.08198135886e-12, -3.43963151639e-12, 0.998456488433, 0.99681334766
4.7e-07, 0.0001513, 295, -2.9816428392e-12, -3.3262320995e-12, -2.98628355948e-12, -3.33700599336e-12, 0.998445988067, 0.99677138912
4.75e-07, 0.0001513, 295, -2.88992263726e-12, -3.22785274971e-12, -2.89445088838e-12, -3.238444978e-12, 0.998435540523, 0.996729223944
4.8e-07, 0.0001513, 295, -2.80187187455e-12, -3.13333321956e-12, -2.80629125222e-12, -3.14374879772e-12, 0.998425189237, 0.99668689236
4.85e-07, 0.0001513, 295, -2.71730983285e-12, -3.04248560932e-12, -2.72162387913e-12, -3.05272945822e-12, 0.998414899898, 0.996644363988
4.9e-07, 0.0001513, 295, -2.63606645103e-12, -2.95513301299e-12, -2.64027854824e-12, -2.96520985303e-12, 0.998404676958, 0.996601643545
4.95e-07, 0.0001513, 295, -2.55798143483e-12, -2.87110860685e-12, -2.56209487848e-12, -2.88102303368e-12, 0.998394499875, 0.996558713097
5e-07, 0.0001513, 295, -2.48290384425e-12, -2.7902552241e-12, -2.48692167151e-12, -2.80001153508e-12, 0.99838441745, 0.996515617578
5.05e-07, 0.0001513, 295, -2.41069116152e-12, -2.71242440074e-12, -2.41461630452e-12, -2.72202675199e-12, 0.998374423714, 0.996472352358
5.1e-07, 0.0001513, 295, -2.34120876547e-12, -2.63747583445e-12, -2.34504416854e-12, -2.64692836197e-12, 0.998364464463, 0.996428869153
5.15e-07, 0.0001513, 295, -2.27432971966e-12, -2.5652771644e-12, -2.2780781481e-12, -2.57458379067e-12, 0.998354565471, 0.996385191926
5.2e-07, 0.0001513, 295, -2.20993403478e-12, -2.49570321601e-12, -2.2135981395e-12, -2.50486771661e-12, 0.998344729041, 0.996341323522
