# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
1.45e-07, 0.0001513, 295, -8.22020522546e-11, -8.47854421039e-11, -8.22551540251e-11, -8.48581914452e-11, 0.999354426222, 0.999142695125, -2.58338984934e-12, 0.992452059831
1.5e-07, 0.0001513, 295, -7.50254071993e-11, -7.7476352894e-11, -7.50753068158e-11, -7.75453147957e-11, 0.99933533916, 0.999110688996, -2.4509456947e-12, 0.992282500555
1.55e-07, 0.0001513, 295, -6.86648281707e-11, -7.09932623811e-11, -6.87117921274e-11, -7.10587349427e-11, 0.999316508051, 0.999078613465, -2.3284342104e-12, 0.992113738457
1.6e-07, 0.0001513, 295, -6.30067250417e-11, -6.52216096814e-11, -6.30509928963e-11, -6.52838616248e-11, 0.999297903926, 0.999046442079, -2.21488463972e-12, 0.991945747372
1.65e-07, 0.0001513, 295, -5.79560923585e-11, -6.00655346257e-11, -5.79978791942e-11, -6.0124808e-11, 0.99927951097, 0.999014161105, -2.10944226724e-12, 0.991778503113
1.7e-07, 0.0001513, 295, -5.34330388433e-11, -5.54443909643e-11, -5.34725342662e-11, -5.55009003537e-11, 0.999261388609, 0.99898182932, -2.011352121e-12, 0.991611984339
1.75e-07, 0.0001513, 295, -4.93700272731e-11, -5.12899725572e-11, -4.94074069925e-11, -5.13439168536e-11, 0.999243438956, 0.998949353697, -1.91994528412e-12, 0.991446169567
1.8e-07, 0.0001513, 295, -4.5709702681e-11, -4.75443300443e-11, -4.57451235282e-11, -4.75958876315e-11, 0.999225691298, 0.998916763827, -1.83462736326e-12, 0.991281039033
1.85e-07, 0.0001513, 295, -4.24031313093e-11, -4.41580000313e-11, -4.24367327381e-11, -4.42073304323e-11, 0.99920819944, 0.998884112646, -1.75486872197e-12, 0.991116574772
1.9e-07, 0.0001513, 295, -3.94083782467e-11, -4.10885744224e-11, -3.94402906266e-11, -4.11358267261e-11, 0.999190868541, 0.998851310222, -1.68019617578e-12, 0.990952758965
