# L (m), R (m), T (K), F'_Drude (mPa), F'_Plasma (N/m), F'_PFA_Drude (N/m), F'_PFA_Plasma (N/m), F'_Drude/F'_PFA_Drude, F'_Plasma/F'_PFA_Plasma, F'_Plasma_xi0 (N/m), F'_Plasma_xi0/F'_PFA_Plasma_xi0
1.35e-07, 0.0001513, 295, 0.00197398004103, 0.00200646135404, 0.00197478536516, 0.00200740203061, 0.999592196628, 0.999531396025, 3.24813130122e-05, 0.995850206084
1.4e-07, 0.0001513, 295, 0.0017316012287, 0.00176148318951, 0.00173233450047, 0.00176234401399, 0.999576714673, 0.999511545718, 2.98819608163e-05, 0.9957495911
1.45e-07, 0.0001513, 295, 0.00152560635249, 0.00155315972391, 0.00152627586125, 0.00155394962779, 0.999561344854, 0.999491679873, 2.75533714209e-05, 0.995649485863
1.5e-07, 0.0001513, 295, 0.00134958588212, 0.00137504696956, 0.00135019859925, 0.00137577349833, 0.999546202216, 0.999471912514, 2.5461087444e-05, 0.99554986959
1.55e-07, 0.0001513, 295, 0.00119841764039, 0.00122199343915, 0.00119897990297, 0.00122266344488, 0.999531049201, 0.999452011323, 2.35757987657e-05, 0.995450716759
1.6e-07, 0.0001513, 295, 0.00106797899811, 0.00108985146286, 0.00106849597929, 0.00109047058172, 0.99951615992, 0.99943224616, 2.18724647493e-05, 0.995352012396
1.65e-07, 0.0001513, 295, 0.000954927929388, 0.000975257532768, 0.000955404313274, 0.000975830866461, 0.999501379804, 0.999412466122, 2.03296033793e-05, 0.995253736329
1.7e-07, 0.0001513, 295, 0.000856537800408, 0.000875466513813, 0.000856978126297, 0.000875998979163, 0.999486187715, 0.999392162134, 1.89287134056e-05, 0.995155871245
1.75e-07, 0.0001513, 295, 0.000770573064638, 0.00078822686612, 0.000770979440714, 0.000788720913381, 0.999472909323, 0.999373609534, 1.76538014818e-05, 0.995058404281
1.8e-07, 0.0001513, 295, 0.000695183372368, 0.000711674365651, 0.000695560964799, 0.000712135471658, 0.999457139705, 0.999352502402, 1.64909932826e-05, 0.994961323595
1.85e-07, 0.0001513, 295, 0.000628839431138, 0.000644267643259, 0.000629189681187, 0.000644697532195, 0.999443331542, 0.999333192831, 1.54282121211e-05, 0.994864608469
1.9e-07, 0.0001513, 295, 0.000570261172508, 0.000584716085303, 0.000570586913991, 0.000585117848886, 0.999429111543, 0.999313362967, 1.44549127945e-05, 0.994768258147
1.95e-07, 0.0001513, 295, 0.000518377549209, 0.00053193940784, 0.000518681005083, 0.000532315504943, 0.999414947009, 0.999293469569, 1.35618586312e-05, 0.994672248328
2e-07, 0.0001513, 295, 0.000472286659455, 0.000485027595658, 0.000472569709314, 0.000485380121723, 0.999401041046, 0.999273711366, 1.27409362024e-05, 0.994576583113
