# L (m), R (m), T (K), F_Drude, F_Plasma, F_PFA_Drude, F_PFA_Plasma, F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma
7.5e-08, 2e-05, 295, -6.12240914391e-11, -6.20746799984e-11, -6.1385511165e-11, -6.22609160282e-11, 0.997370393715, 0.997008781084
8e-08, 2e-05, 295, -5.18534526966e-11, -5.26350587217e-11, -5.19994234824e-11, -5.28046347348e-11, 0.997192838381, 0.996788614978
8.5e-08, 2e-05, 295, -4.43330643783e-11, -4.50537600644e-11, -4.44656328164e-11, -4.52088260178e-11, 0.997018631475, 0.996570007075
9e-08, 2e-05, 295, -3.82218545962e-11, -3.88884927813e-11, -3.83427327774e-11, -3.90308517469e-11, 0.996847429162, 0.996352655419
9.5e-08, 2e-05, 295, -3.32004129822e-11, -3.38188506378e-11, -3.33110396725e-11, -3.39500218612e-11, 0.996678978158, 0.996136343478
1e-07, 2e-05, 295, -2.90332751325e-11, -2.96085490666e-11, -2.91348652952e-11, -2.97298190282e-11, 0.996513106834, 0.995920931726
1.05e-07, 2e-05, 295, -2.55440750292e-11, -2.60805414023e-11, -2.56376605348e-11, -2.61930057965e-11, 0.996349686216, 0.995706319652
1.1e-07, 2e-05, 295, -2.2598808546e-11, -2.31002546683e-11, -2.26852713433e-11, -2.32048526278e-11, 0.996188593206, 0.995492410094
1.15e-07, 2e-05, 295, -2.00943347237e-11, -2.05640693937e-11, -2.01744324855e-11, -2.06616100149e-11, 0.996029739035, 0.995279137436
1.2e-07, 2e-05, 295, -1.79503297717e-11, -1.839125684e-11, -1.80247171656e-11, -1.84824411941e-11, 0.995873034055, 0.995066433426
1.25e-07, 2e-05, 295, -1.6103566518e-11, -1.65182452221e-11, -1.61728119341e-11, -1.66036837077e-11, 0.995718405904, 0.994854245174
1.3e-07, 2e-05, 295, -1.45037847283e-11, -1.48944795051e-11, -1.4568384267e-11, -1.49747063679e-11, 0.995565771913, 0.994642508454
1.35e-07, 2e-05, 295, -1.31106704731e-11, -1.34793923411e-11, -1.31710588963e-11, -1.35548770789e-11, 0.995415066958, 0.99443117504
1.4e-07, 2e-05, 295, -1.18916177455e-11, -1.22401588811e-11, -1.19481775904e-11, -1.23113157476e-11, 0.995266236676, 0.994220206191
1.45e-07, 2e-05, 295, -1.08200507384e-11, -1.11500135235e-11, -1.08731201619e-11, -1.12172097085e-11, 0.995119209322, 0.994009545441
1.5e-07, 2e-05, 295, -9.87415388456e-12, -1.01869754334e-11, -9.92403262601e-12, -1.0250537316e-11, 0.994973944228, 0.99379916577
1.55e-07, 2e-05, 295, -9.0358993444e-12, -9.33287231195e-12, -9.0828542138e-12, -9.39309120194e-12, 0.994830383897, 0.993589023177
1.6e-07, 2e-05, 295, -8.2902967783e-12, -8.5725870946e-12, -8.33456614623e-12, -8.62972394247e-12, 0.994688461624, 0.993379064238
1.65e-07, 2e-05, 295, -7.62480938988e-12, -7.89347143826e-12, -7.66660663505e-12, -7.94776047587e-12, 0.994548142722, 0.993169266012
1.7e-07, 2e-05, 295, -7.02889489545e-12, -7.28488455589e-12, -7.06841166771e-12, -7.33653672885e-12, 0.994409384438, 0.992959597305
1.75e-07, 2e-05, 295, -6.49364283547e-12, -6.73782873595e-12, -6.53105181659e-12, -6.78703461382e-12, 0.994272135306, 0.992750018134
1.8e-07, 2e-05, 295, -6.01148598976e-12, -6.24465924744e-12, -6.04694296474e-12, -6.2915912269e-12, 0.994136380121, 0.992540523094
1.85e-07, 2e-05, 295, -5.57596813993e-12, -5.7988508234e-12, -5.60961437384e-12, -5.84366562225e-12, 0.994002041555, 0.992331046685
1.9e-07, 2e-05, 295, -5.18155792406e-12, -5.39481042937e-12, -5.21352156333e-12, -5.43765059169e-12, 0.993869088509, 0.992121567653
1.95e-07, 2e-05, 295, -4.82349702298e-12, -5.02772452279e-12, -4.85389445216e-12, -5.06871986821e-12, 0.993737517477, 0.991912090926
2e-07, 2e-05, 295, -4.49767597921e-12, -4.69343407794e-12, -4.52661342903e-12, -4.73270339272e-12, 0.993607262852, 0.991702561619
2.05e-07, 2e-05, 295, -4.2005332616e-12, -4.3883329692e-12, -4.22810768101e-12, -4.42598495226e-12, 0.993478307201, 0.991492970837
2.1e-07, 2e-05, 295, -3.92897121538e-12, -4.1092833333e-12, -3.95527136391e-12, -4.14541775519e-12, 0.993350608311, 0.991283285781
2.15e-07, 2e-05, 295, -3.68028691059e-12, -3.85354590976e-12, -3.70539415522e-12, -3.88825446933e-12, 0.993224136603, 0.991073485584
2.2e-07, 2e-05, 295, -3.45211440752e-12, -3.61872186555e-12, -3.47610346119e-12, -3.65208898251e-12, 0.993098866607, 0.990863553128
2.25e-07, 2e-05, 295, -3.24237655683e-12, -3.40270421225e-12, -3.26531611582e-12, -3.43480771312e-12, 0.99297478156, 0.990653479453
2.3e-07, 2e-05, 295, -3.04924445206e-12, -3.20363692391e-12, -3.07119784617e-12, -3.23454873651e-12, 0.992851846344, 0.990443237955
2.35e-07, 2e-05, 295, -2.87110332785e-12, -3.01988054303e-12, -2.89212912279e-12, -3.04966733906e-12, 0.992729994394, 0.990232772064
2.4e-07, 2e-05, 295, -2.70652416204e-12, -2.84998352721e-12, -2.72667628148e-12, -2.87870688003e-12, 0.992609273208, 0.990022133543
2.45e-07, 2e-05, 295, -2.55423853944e-12, -2.69265688638e-12, -2.57356701507e-12, -2.72037405475e-12, 0.992489616353, 0.989811265723
2.5e-07, 2e-05, 295, -2.41311830918e-12, -2.54675364269e-12, -2.43166950308e-12, -2.57351782311e-12, 0.992371005237, 0.989600157348
2.55e-07, 2e-05, 295, -2.28215765118e-12, -2.41125072151e-12, -2.29997458071e-12, -2.43711140059e-12, 0.992253423288, 0.989388798939
2.6e-07, 2e-05, 295, -2.16045774147e-12, -2.28523346154e-12, -2.17758045655e-12, -2.31023681869e-12, 0.992136816334, 0.989177145414
2.65e-07, 2e-05, 295, -2.04721395364e-12, -2.16788267956e-12, -2.06367957521e-12, -2.19207164795e-12, 0.992021231509, 0.988965247368
2.7e-07, 2e-05, 295, -1.94170404266e-12, -2.0584627307e-12, -1.95754729115e-12, -2.08187754769e-12, 0.991906581993, 0.988753028719
2.75e-07, 2e-05, 295, -1.84327888238e-12, -1.95631213861e-12, -1.85853207634e-12, -1.97899036323e-12, 0.991792880971, 0.988540507806
2.8e-07, 2e-05, 295, -1.75135368936e-12, -1.86083472142e-12, -1.76604703177e-12, -1.88281153877e-12, 0.991680095632, 0.988327659514
2.85e-07, 2e-05, 295, -1.66540078464e-12, -1.7714922671e-12, -1.67956250998e-12, -1.79280065186e-12, 0.991568205855, 0.988114470654
2.9e-07, 2e-05, 295, -1.58494317484e-12, -1.68779803684e-12, -1.5985996871e-12, -1.70846890648e-12, 0.991457203221, 0.987900938929
2.95e-07, 2e-05, 295, -1.50954891055e-12, -1.60931105386e-12, -1.52272494889e-12, -1.62937344832e-12, 0.991347066092, 0.987687049593
3e-07, 2e-05, 295, -1.43882623207e-12, -1.53563118675e-12, -1.45154497628e-12, -1.5551123867e-12, 0.991237788408, 0.987472802534
3.05e-07, 2e-05, 295, -1.37241938061e-12, -1.46639490591e-12, -1.38470243361e-12, -1.48532042559e-12, 0.991129463844, 0.98725829164
3.1e-07, 2e-05, 295, -1.31000416216e-12, -1.40127078906e-12, -1.32187217748e-12, -1.41966502084e-12, 0.991021813215, 0.987043259141
3.15e-07, 2e-05, 295, -1.25128570986e-12, -1.33995725014e-12, -1.26275791631e-12, -1.35784299315e-12, 0.990914959791, 0.986827826855
3.2e-07, 2e-05, 295, -1.19599475048e-12, -1.28217875578e-12, -1.20708926129e-12, -1.29957753692e-12, 0.99080887291, 0.986611971472
3.25e-07, 2e-05, 295, -1.14388527829e-12, -1.22768346425e-12, -1.15461911746e-12, -1.24461557318e-12, 0.990703567091, 0.986395711825
3.3e-07, 2e-05, 295, -1.09473214193e-12, -1.17624077784e-12, -1.10512137155e-12, -1.19272540284e-12, 0.990599014842, 0.98617902749
3.35e-07, 2e-05, 295, -1.04832906002e-12, -1.12763932794e-12, -1.05838883889e-12, -1.14369462224e-12, 0.990495195621, 0.985961904524
3.4e-07, 2e-05, 295, -1.00448680143e-12, -1.08168512731e-12, -1.01423143738e-12, -1.0973282685e-12, 0.99039209831, 0.985744337728
3.45e-07, 2e-05, 295, -9.63031548758e-13, -1.03819990798e-12, -9.72474560133e-13, -1.0534471663e-12, 0.990289708583, 0.985526318914
3.5e-07, 2e-05, 295, -9.23803450392e-13, -9.9701965007e-13, -9.32957623359e-13, -1.01188645194e-12, 0.990188007754, 0.985307835831
3.55e-07, 2e-05, 295, -8.86655339006e-13, -9.57993279134e-13, -8.95532767949e-13, -9.72494253417e-13, 0.990086985915, 0.985088884349
3.6e-07, 2e-05, 295, -8.51451580301e-13, -9.20981495605e-13, -8.60063696957e-13, -9.35130508106e-13, 0.989986652516, 0.98486947824
3.65e-07, 2e-05, 295, -8.18066978521e-13, -8.85855662227e-13, -8.26424633179e-13, -8.99665902295e-13, 0.989886972964, 0.984649590439
3.7e-07, 2e-05, 295, -7.86385884582e-13, -8.52496896209e-13, -7.94499382797e-13, -8.65980918286e-13, 0.989787911242, 0.984429192616
3.75e-07, 2e-05, 295, -7.56301391612e-13, -8.20795250198e-13, -7.64180493368e-13, -8.33964977213e-13, 0.989689475425, 0.984208297261
3.8e-07, 2e-05, 295, -7.27714527225e-13, -7.90648890505e-13, -7.353684953e-13, -8.03515666608e-13, 0.989591656259, 0.983986900769
3.85e-07, 2e-05, 295, -7.00533584848e-13, -7.61963415963e-13, -7.07971217851e-13, -7.74538043611e-13, 0.989494441559, 0.983764996759
3.9e-07, 2e-05, 295, -6.74673507672e-13, -7.34651230506e-13, -6.81903171319e-13, -7.46944005404e-13, 0.989397814894, 0.983542575068
3.95e-07, 2e-05, 295, -6.50055354206e-13, -7.08630998088e-13, -6.57084988347e-13, -7.20651719692e-13, 0.989301788557, 0.983319651816
4e-07, 2e-05, 295, -6.2660573208e-13, -6.83827066356e-13, -6.33442918113e-13, -6.95585108919e-13, 0.989206310723, 0.983096184188
4.05e-07, 2e-05, 295, -6.04256432799e-13, -6.60169093196e-13, -6.1090836776e-13, -6.716733825e-13, 0.989111403098, 0.982872197107
4.1e-07, 2e-05, 295, -5.82943941289e-13, -6.37591547072e-13, -5.89417486114e-13, -6.48850612047e-13, 0.989017046528, 0.982647677653
