# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa), P_Drude/P_PFA_Drude, P_Plasma/P_PFA_Plasma
6.5e-08, 3e-05, 295, -27527.059664, -27681.3584061, -27551.4888631, -27707.5142112, 0.999113325628, 0.999056003187
7e-08, 3e-05, 295, -21253.0926345, -21387.3437632, -21273.8761845, -21409.691418, 0.999023048279, 0.998956189778
7.5e-08, 3e-05, 295, -16694.3571136, -16811.9191078, -16712.1575502, -16831.1425852, 0.998934880998, 0.998857862604
8e-08, 3e-05, 295, -13311.8834812, -13415.4331188, -13327.2341107, -13432.083583, 0.998848175896, 0.998760396026
8.5e-08, 3e-05, 295, -10755.818894, -10847.5124346, -10769.1467051, -10862.0318672, 0.99876240788, 0.998663285775
9e-08, 3e-05, 295, -8792.8336287, -8874.42479365, -8804.47652253, -8887.163773, 0.998677616573, 0.998566586633
9.5e-08, 3e-05, 295, -7263.5455605, -7336.47317803, -7273.7761508, -7347.71510842, 0.998593496681, 0.998470010033
1e-07, 3e-05, 295, -6056.76070665, -6122.21469634, -6065.79714067, -6132.18696538, 0.998510264387, 0.998373782616
1.05e-07, 3e-05, 295, -5093.41668653, -5152.38833994, -5101.43809594, -5161.27803677, 0.998427618004, 0.99827761714
1.1e-07, 3e-05, 295, -4316.33892642, -4369.65964501, -4323.49112437, -4377.61947154, 0.998345735485, 0.998181699762
1.15e-07, 3e-05, 295, -3683.53837608, -3731.90981912, -3689.94188039, -3739.06628568, 0.998264605645, 0.998086028431
1.2e-07, 3e-05, 295, -3163.74525802, -3207.76302308, -3169.50108544, -3214.22238329, 0.998183995757, 0.99799038167
1.25e-07, 3e-05, 295, -2733.37693134, -2773.54931568, -2738.56845949, -2779.39954284, 0.998104291266, 0.997895147111
1.3e-07, 3e-05, 295, -2374.43637067, -2411.19935263, -2379.13469133, -2416.51558801, 0.998025197701, 0.997800040935
1.35e-07, 3e-05, 295, -2073.04348295, -2106.77277456, -2077.3090047, -2111.61900822, 0.997946611827, 0.997704967779
1.4e-07, 3e-05, 295, -1818.38760976, -1849.4084199, -1822.27097712, -1853.83847492, 0.997868940782, 0.997610333866
1.45e-07, 3e-05, 295, -1601.96918458, -1630.5641776, -1605.51452637, -1634.62501373, 0.997791772211, 0.99751573841
1.5e-07, 3e-05, 295, -1417.05083479, -1443.46665946, -1420.29597638, -1447.19863076, 0.997715165255, 0.997421244586
1.55e-07, 3e-05, 295, -1258.24960171, -1282.70227574, -1261.226558, -1286.13966286, 0.997639633997, 0.997327360928
1.6e-07, 3e-05, 295, -1121.23062375, -1143.90999925, -1123.96838585, -1147.08382933, 0.997564200091, 0.997233131528
