# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
1.15e-07, 7.5e-05, 295, -7.55738593817e-11, -7.73790406365e-11, -7.56541218206e-11, -7.74810375559e-11, 0.998939087032, 0.998683588622, -1.80518125478e-12, 0.988103183929
1.2e-07, 7.5e-05, 295, -6.75181501287e-11, -6.92136568937e-11, -6.75926893709e-11, -6.9309154478e-11, 0.998897229228, 0.998622150494, -1.69550676505e-12, 0.987789823456
1.25e-07, 7.5e-05, 295, -6.05786603257e-11, -6.21741975736e-11, -6.06480447529e-11, -6.22638139038e-11, 0.998855949479, 0.998560699633, -1.59553724796e-12, 0.987478469305
1.3e-07, 7.5e-05, 295, -5.45667164804e-11, -5.60708737211e-11, -5.46314410013e-11, -5.61551488797e-11, 0.998815251442, 0.998499244321, -1.50415724067e-12, 0.987169038129
1.35e-07, 7.5e-05, 295, -4.93309716525e-11, -5.0751379289e-11, -4.93914708611e-11, -5.08307890458e-11, 0.998775108182, 0.998437762656, -1.42040763644e-12, 0.986861453896
1.4e-07, 7.5e-05, 295, -4.47490085398e-11, -4.60924685383e-11, -4.48056659639e-11, -4.61674340535e-11, 0.998735485281, 0.998376225217, -1.34345999849e-12, 0.986555646848
1.45e-07, 7.5e-05, 295, -4.07210461266e-11, -4.1993641813e-11, -4.07742006073e-11, -4.20645364071e-11, 0.998696369766, 0.998314623194, -1.27259568644e-12, 0.986251553032
1.5e-07, 7.5e-05, 295, -3.71651702219e-11, -3.83723590082e-11, -3.72151223476e-11, -3.84395149351e-11, 0.998657746569, 0.998252945518, -1.20718878633e-12, 0.985949113569
1.55e-07, 7.5e-05, 295, -3.40136861332e-11, -3.51603782028e-11, -3.40607033018e-11, -3.52240920073e-11, 0.998619606643, 0.998191186746, -1.14669206962e-12, 0.985648274027
1.6e-07, 7.5e-05, 295, -3.12103014278e-11, -3.23009268071e-11, -3.12546230484e-11, -3.23614647843e-11, 0.998581917929, 0.998129319003, -1.09062537929e-12, 0.985348983438
1.65e-07, 7.5e-05, 295, -2.87079350752e-11, -2.97465010509e-11, -2.87497748815e-11, -2.98041017845e-11, 0.998544690995, 0.998067355493, -1.03856597577e-12, 0.985051194981
1.7e-07, 7.5e-05, 295, -2.64669937277e-11, -2.74571341964e-11, -2.65065437539e-11, -2.75120127332e-11, 0.998507914627, 0.998005288187, -9.90140468695e-13, 0.984754864755
1.75e-07, 7.5e-05, 295, -2.44540102758e-11, -2.53990283207e-11, -2.44914443122e-11, -2.54513798018e-11, 0.998471546393, 0.997943078859, -9.45018044845e-13, 0.984459950739
1.8e-07, 7.5e-05, 295, -2.26405616548e-11, -2.35434664161e-11, -2.26760361178e-11, -2.35934671009e-11, 0.998435596821, 0.997880740267, -9.02904761291e-13, 0.984166414614
1.85e-07, 7.5e-05, 295, -2.10023977114e-11, -2.18659364225e-11, -2.10360539019e-11, -2.19137460834e-11, 0.998400071105, 0.997818279873, -8.63538711106e-13, 0.983874220695
1.9e-07, 7.5e-05, 295, -1.95187390417e-11, -2.03454249548e-11, -1.95507058625e-11, -2.03911897188e-11, 0.998364927536, 0.997755659935, -8.2668591309e-13, 0.983583333385
1.95e-07, 7.5e-05, 295, -1.81717095065e-11, -1.89638463161e-11, -1.82021041956e-11, -1.90076995058e-11, 0.998330155197, 0.997692872318, -7.9213680958e-13, 0.983293720257
2e-07, 7.5e-05, 295, -1.69458714537e-11, -1.77055747181e-11, -1.69748003589e-11, -1.77476377227e-11, 0.998295773465, 0.99762993784, -7.5970326442e-13, 0.983005351425
2.05e-07, 7.5e-05, 295, -1.58278633419e-11, -1.65570794406e-11, -1.58554038038e-11, -1.6597443571e-11, 0.998263023619, 0.997568051358, -7.29216098758e-13, 0.982718354189
2.1e-07, 7.5e-05, 295, -1.48060025792e-11, -1.55065249652e-11, -1.48322676147e-11, -1.5545316582e-11, 0.998229196225, 0.997504610692, -7.00522386006e-13, 0.982432368761
2.15e-07, 7.5e-05, 295, -1.38701577053e-11, -1.45436419888e-11, -1.38952280821e-11, -1.458095426e-11, 0.99819575637, 0.997441026802, -6.7348428353e-13, 0.982147546945
2.2e-07, 7.5e-05, 295, -1.30114378256e-11, -1.36594146646e-11, -1.30353879795e-11, -1.36953336844e-11, 0.998162681931, 0.997377280419, -6.4797683902e-13, 0.981863862655
2.25e-07, 7.5e-05, 295, -1.22220366349e-11, -1.28459233131e-11, -1.22449354343e-11, -1.28805289242e-11, 0.998129937101, 0.997313339282, -6.23886678221e-13, 0.981581290836
2.3e-07, 7.5e-05, 295, -1.1495081615e-11, -1.20961923566e-11, -1.15169919231e-11, -1.21295577619e-11, 0.998097566767, 0.997249247996, -6.01110741619e-13, 0.981299810706
2.35e-07, 7.5e-05, 295, -1.08245037306e-11, -1.14040589034e-11, -1.08454842105e-11, -1.14362525215e-11, 0.998065510085, 0.997184950396, -5.79555172719e-13, 0.981019397786
2.4e-07, 7.5e-05, 295, -1.02049314159e-11, -1.07640657688e-11, -1.02250360556e-11, -1.07951508001e-11, 0.998033783008, 0.99712046345, -5.59134352878e-13, 0.980740032134
2.45e-07, 7.5e-05, 295, -9.63159757434e-12, -1.01713676198e-11, -9.65087630651e-12, -1.02014027053e-11, 0.998002385321, 0.997055788663, -5.39770045496e-13, 0.980461693851
2.5e-07, 7.5e-05, 295, -9.1002611143e-12, -9.62165175803e-12, -9.11876063656e-12, -9.65069183666e-12, 0.997971267917, 0.996990881159, -5.21390643735e-13, 0.980184361495
2.55e-07, 7.5e-05, 295, -8.60714132242e-12, -9.11107183253e-12, -8.62490467766e-12, -9.1391677522e-12, 0.99794045779, 0.99692576825, -5.0393051011e-13, 0.979908018013
2.6e-07, 7.5e-05, 295, -8.14885959646e-12, -8.63618898316e-12, -8.16592671205e-12, -8.66338807007e-12, 0.997909959739, 0.996860456129, -4.873293867e-13, 0.979632646515
2.65e-07, 7.5e-05, 295, -7.72239033132e-12, -8.19392220524e-12, -7.73879840705e-12, -8.22026867981e-12, 0.997879764419, 0.996794937538, -4.7153187392e-13, 0.979358229567
2.7e-07, 7.5e-05, 295, -7.32501845358e-12, -7.78150542113e-12, -7.34080234182e-12, -7.80704080384e-12, 0.997849841542, 0.996729185442, -4.56486967547e-13, 0.979084748972
2.75e-07, 7.5e-05, 295, -6.95430312731e-12, -7.39645077543e-12, -6.96949528629e-12, -7.42121386211e-12, 0.997820192372, 0.996663202659, -4.42147648125e-13, 0.978812189259
