# L (m), R (m), T (K), F'_Drude (mPa), F'_Plasma (N/m), F'_PFA_Drude (N/m), F'_PFA_Plasma (N/m), F'_Drude/F'_PFA_Drude, F'_Plasma/F'_PFA_Plasma, F'_Plasma_xi0 (N/m), F'_Plasma_xi0/F'_PFA_Plasma_xi0
1.15e-07, 7.5e-05, 295, 0.00173763489368, 0.00176062369221, 0.00173884414554, 0.00176199347616, 0.9993045657, 0.999222594201, 2.29887985335e-05, 0.993065368158
1.2e-07, 7.5e-05, 295, 0.00149250547935, 0.00151342979507, 0.00149359219884, 0.00151466661395, 0.999272412182, 0.999183438208, 2.09243157234e-05, 0.992877648362
1.25e-07, 7.5e-05, 295, 0.00128953970401, 0.00130864026822, 0.00129051998305, 0.00130976117778, 0.999240399953, 0.999144187831, 1.9100564209e-05, 0.992691175517
1.3e-07, 7.5e-05, 295, 0.00112025332478, 0.00113773664587, 0.00112114081023, 0.00113875614279, 0.999208408581, 0.99910472763, 1.74833210904e-05, 0.992505877171
1.35e-07, 7.5e-05, 295, 0.000978103225866, 0.000994147289755, 0.000978908806258, 0.000995077014512, 0.999177062882, 0.999065675577, 1.60440638888e-05, 0.992321699241
1.4e-07, 7.5e-05, 295, 0.000857991473993, 0.000872750361762, 0.000858724967187, 0.000873600800062, 0.999145834555, 0.999026513826, 1.47588877688e-05, 0.992138584298
1.45e-07, 7.5e-05, 295, 0.000755911316608, 0.000769518969645, 0.000756580896193, 0.000770298890178, 0.999114992742, 0.998987509208, 1.36076530363e-05, 0.991956480716
1.5e-07, 7.5e-05, 295, 0.000668685797342, 0.000681259105801, 0.000669298710798, 0.000681976288003, 0.999084245275, 0.998948376631, 1.25733084594e-05, 0.991775341356
1.55e-07, 7.5e-05, 295, 0.0005937766864, 0.000605418037056, 0.00059433901337, 0.000606079037448, 0.999053861589, 0.998909382522, 1.1641350656e-05, 0.991595126122
1.6e-07, 7.5e-05, 295, 0.000529140637235, 0.000539940026648, 0.000529657623576, 0.000540550519691, 0.999023923535, 0.998870608721, 1.07993894125e-05, 0.991415808857
1.65e-07, 7.5e-05, 295, 0.000473121004393, 0.000483157799772, 0.000473597643725, 0.000483723165794, 0.998993577484, 0.998831219877, 1.00367953798e-05, 0.991237322055
1.7e-07, 7.5e-05, 295, 0.00042436738619, 0.000433711801405, 0.000424807399024, 0.000434236109962, 0.998964206285, 0.998792572647, 9.34441521515e-06, 0.991059676817
1.75e-07, 7.5e-05, 295, 0.000381770452829, 0.000390484788887, 0.000382177515225, 0.000390972032409, 0.998934886591, 0.998753763743, 8.71433605854e-06, 0.99088282797
1.8e-07, 7.5e-05, 295, 0.000344414935334, 0.00035255462903, 0.000344792282617, 0.0003530083303, 0.998905580833, 0.99871475761, 8.13969369536e-06, 0.990706725352
1.85e-07, 7.5e-05, 295, 0.000311541345682, 0.000319155859584, 0.000311891778513, 0.000319579080731, 0.998876428123, 0.998675691957, 7.61451390202e-06, 0.990531357565
1.9e-07, 7.5e-05, 295, 0.000282516409451, 0.00028964998987, 0.000282842158291, 0.000290045199382, 0.998848301675, 0.998637420952, 7.13358041933e-06, 0.990356757511
