# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa)
1.45e-07, 0.0001513, 295, -1604.80998878, -1633.79385391, -1605.51452637, -1634.62501372
1.5e-07, 0.0001513, 295, -1419.65101639, -1446.43394511, -1420.29597638, -1447.19863074
1.55e-07, 0.0001513, 295, -1260.63465721, -1285.43442314, -1261.226558, -1286.13966284
1.6e-07, 0.0001513, 295, -1123.42448761, -1146.43248905, -1123.96838585, -1147.08382931
1.65e-07, 0.0001513, 295, -1004.50411572, -1025.88915627, -1005.00541381, -1026.49243897
1.7e-07, 0.0001513, 295, -901.005675722, -920.917097133, -901.469298889, -921.477644919
1.75e-07, 0.0001513, 295, -810.578407753, -829.148728963, -811.005875821, -829.668420902
1.8e-07, 0.0001513, 295, -731.27441607, -748.621560345, -731.671948245, -749.106942925
1.85e-07, 0.0001513, 295, -661.486445924, -677.715631448, -661.854910134, -678.167872083
1.9e-07, 0.0001513, 295, -599.866873736, -615.072251321, -600.209701423, -615.495029345
1.95e-07, 0.0001513, 295, -545.289564006, -559.555484421, -545.609027408, -559.951380666
2e-07, 0.0001513, 295, -496.806114152, -510.2085127, -497.103801671, -510.57928387
2.05e-07, 0.0001513, 295, -453.613112858, -466.220345969, -453.891523925, -466.568701695
2.1e-07, 0.0001513, 295, -415.030604406, -426.904333447, -415.29085698, -427.231639733
2.15e-07, 0.0001513, 295, -380.477197466, -391.673336895, -380.72107695, -391.981478901
2.2e-07, 0.0001513, 295, -349.456711392, -360.025822757, -349.685377129, -360.316179307
2.25e-07, 0.0001513, 295, -321.542421467, -331.530482107, -321.757236388, -331.804563386
2.3e-07, 0.0001513, 295, -296.367329188, -305.816220972, -296.569237733, -306.075061494
2.35e-07, 0.0001513, 295, -273.613865052, -282.561670052, -273.80385571, -282.806436808
2.4e-07, 0.0001513, 295, -253.006734005, -261.488270967, -253.185833771, -261.72010882
2.45e-07, 0.0001513, 295, -234.306966822, -242.354125448, -234.475851477, -242.573774148
2.5e-07, 0.0001513, 295, -217.305818038, -224.947717601, -217.465242867, -225.156084692
2.55e-07, 0.0001513, 295, -201.820947151, -209.084366606, -201.971575034, -209.282191386
2.6e-07, 0.0001513, 295, -187.692372674, -194.601894902, -187.834933609, -194.789999365
2.65e-07, 0.0001513, 295, -174.779740666, -181.35798792, -174.914791399, -181.537010203
2.7e-07, 0.0001513, 295, -162.959807036, -169.22760339, -163.08735994, -169.397650363
2.75e-07, 0.0001513, 295, -152.121855883, -158.098469932, -152.243342386, -158.26100388
2.8e-07, 0.0001513, 295, -142.171113341, -147.874263381, -142.28602109, -148.028882206
2.85e-07, 0.0001513, 295, -133.020133676, -138.466260229, -133.12962528, -138.614176276
2.9e-07, 0.0001513, 295, -124.594197853, -129.798513646, -124.697933835, -129.939445531
2.95e-07, 0.0001513, 295, -116.824063239, -121.80066469, -116.923076054, -121.935706543
3e-07, 0.0001513, 295, -109.650520956, -114.412514908, -109.744499657, -114.541390267
3.05e-07, 0.0001513, 295, -103.018397912, -107.577903828, -103.108080418, -107.701442159
3.1e-07, 0.0001513, 295, -96.8799253091, -101.248295139, -96.9653521456, -101.366543676
3.15e-07, 0.0001513, 295, -91.1913210233, -95.3790715438, -91.2728391249, -95.4924372143
3.2e-07, 0.0001513, 295, -85.9137031921, -89.9306527679, -85.9914760849, -90.0393393583
3.25e-07, 0.0001513, 295, -81.0117398036, -84.8670461292, -81.0861030865, -84.971429786
3.3e-07, 0.0001513, 295, -76.4541397434, -80.1563581913, -76.5250247107, -80.2564051051
3.35e-07, 0.0001513, 295, -72.2116922234, -75.7688129783, -72.2796245567, -75.865088558
3.4e-07, 0.0001513, 295, -68.2590084919, -71.6785264296, -68.3240274383, -71.7710879228
3.45e-07, 0.0001513, 295, -64.5727068452, -67.8615909165, -64.6348027861, -67.9504950553
3.5e-07, 0.0001513, 295, -61.1311066129, -64.2959542166, -61.1907037408, -64.381621509
3.55e-07, 0.0001513, 295, -57.9154285112, -60.9623829762, -57.9724372218, -61.0447654804
3.6e-07, 0.0001513, 295, -54.9077408477, -57.8425940908, -54.9624609247, -57.9220059851
3.65e-07, 0.0001513, 295, -52.0922989906, -54.920448174, -52.1448037839, -54.9970207732
3.7e-07, 0.0001513, 295, -49.4545439712, -52.1811266742, -49.5049069257, -52.254924982
3.75e-07, 0.0001513, 295, -46.981201702, -49.611008142, -47.0294825321, -49.6821279141
3.8e-07, 0.0001513, 295, -44.6598544072, -47.197418027, -44.7063884033, -47.2662057089
3.85e-07, 0.0001513, 295, -42.4799738253, -44.9295279509, -42.5245163023, -44.9957879743
3.9e-07, 0.0001513, 295, -40.4307709133, -42.7963614518, -40.4736924075, -42.8604566789
3.95e-07, 0.0001513, 295, -38.5032457126, -40.7886639383, -38.5445884406, -40.8506558643
4e-07, 0.0001513, 295, -36.6890243892, -38.8978237561, -36.7286422006, -38.9576108857
4.05e-07, 0.0001513, 295, -34.9797587743, -37.1153478714, -35.0179864183, -37.1732560914
4.1e-07, 0.0001513, 295, -33.3685117926, -35.4340886355, -33.4053849635, -35.4901699543
4.15e-07, 0.0001513, 295, -31.8487358982, -33.8472975998, -31.8841755794, -33.9015168263
4.2e-07, 0.0001513, 295, -30.4140450952, -32.3484949122, -30.4482183986, -32.4009945554
4.25e-07, 0.0001513, 295, -29.0589273411, -30.931937847, -29.0918496093, -30.9827873313
4.3e-07, 0.0001513, 295, -27.7780868809, -29.5922565445, -27.8098396941, -29.6415231707
4.35e-07, 0.0001513, 295, -26.5666312325, -28.324396576, -26.5973557552, -28.372235553
4.4e-07, 0.0001513, 295, -25.4203787747, -27.1240262474, -25.4499274764, -27.1703287468
4.45e-07, 0.0001513, 295, -24.3348733351, -25.986635624, -24.3634163439, -26.0315464488
4.5e-07, 0.0001513, 295, -23.3064148766, -24.9083383607, -23.3339877749, -24.9519433788
4.55e-07, 0.0001513, 295, -22.3313988658, -23.8855017665, -22.3580858584, -23.9278595233
4.6e-07, 0.0001513, 295, -21.4066926585, -22.9148240858, -21.4324104338, -22.955896764
4.65e-07, 0.0001513, 295, -20.5289525271, -21.9929385808, -20.5538962709, -22.0328976356
4.7e-07, 0.0001513, 295, -19.6956509864, -21.1171640047, -19.71969414, -21.155926011
4.75e-07, 0.0001513, 295, -18.9038335979, -20.2845304012, -18.9271535812, -20.3222495143
4.8e-07, 0.0001513, 295, -18.1513087218, -19.492704226, -18.1738072066, -19.5293234911
4.85e-07, 0.0001513, 295, -17.4355846182, -18.7391867818, -17.4573563849, -18.7747763888
4.9e-07, 0.0001513, 295, -16.7545059239, -18.0216854397, -16.7756581729, -18.0563964068
4.95e-07, 0.0001513, 295, -16.1062480728, -17.3383813686, -16.1267133764, -17.3721192938
5e-07, 0.0001513, 295, -15.4888881666, -16.6872231911, -15.5086556325, -16.7200171878
5.05e-07, 0.0001513, 295, -14.9005915962, -16.0663827146, -14.9197414145, -16.0982883976
5.1e-07, 0.0001513, 295, -14.339709145, -15.474089585, -14.3583408773, -15.5052480374
5.15e-07, 0.0001513, 295, -13.8048847266, -14.9090042934, -13.8229294639, -14.9393194392
5.2e-07, 0.0001513, 295, -13.2946451923, -14.3695393191, -13.3120802012, -14.3990262703
5.25e-07, 0.0001513, 295, -12.8074700528, -13.8541882841, -12.8244566263, -13.882985289
5.3e-07, 0.0001513, 295, -12.3424060785, -13.3618951527, -12.3588062846, -13.3898996879
5.35e-07, 0.0001513, 295, -11.8979637684, -12.8911870986, -11.9139547475, -12.9185529666
5.4e-07, 0.0001513, 295, -11.4732946182, -12.4411156373, -11.4888001071, -12.4678032893
5.45e-07, 0.0001513, 295, -11.0673155677, -12.0106242059, -11.0823079034, -12.0365782864
5.5e-07, 0.0001513, 295, -10.6788744649, -11.5984651335, -10.693506447, -11.6238702589
5.55e-07, 0.0001513, 295, -10.3073471188, -11.2040113999, -10.3214825043, -11.2287317542
5.6e-07, 0.0001513, 295, -9.95157129444, -10.82608099, -9.9653773135, -10.8502714777
5.65e-07, 0.0001513, 295, -9.61098154973, -10.4640325923, -9.62438290379, -10.4876505166
5.7e-07, 0.0001513, 295, -9.28477985415, -10.1170981116, -9.29773869114, -10.140078846
5.75e-07, 0.0001513, 295, -8.97198711834, -9.78421191638, -8.98472832981, -9.80681209525
5.8e-07, 0.0001513, 295, -8.67249921869, -9.46528070201, -8.68467679666, -9.48714855416
5.85e-07, 0.0001513, 295, -8.38489032675, -9.15885215071, -8.39694769038, -9.18042639758
5.9e-07, 0.0001513, 295, -8.10936934811, -8.86508332847, -8.12094072702, -8.88602111284
5.95e-07, 0.0001513, 295, -7.8447531264, -8.58280963809, -7.8560894175, -8.60334311096
6e-07, 0.0001513, 295, -7.59082980955, -8.3117556807, -7.60185891135, -8.33183551031
6.05e-07, 0.0001513, 295, -7.34707269068, -8.05139549127, -7.35774399447, -8.07097207661
6.1e-07, 0.0001513, 295, -7.11281731774, -7.80105692272, -7.12326722758, -7.82025530808
6.15e-07, 0.0001513, 295, -6.8878107683, -7.56043600116, -6.89797721594, -7.5792146547
6.2e-07, 0.0001513, 295, -6.67153570872, -7.32901465389, -6.68144699904, -7.34740485978
6.25e-07, 0.0001513, 295, -6.46368958606, -7.10649229757, -6.47327255142, -7.12440441675
6.3e-07, 0.0001513, 295, -6.26367170085, -6.89221004128, -6.27307138647, -6.90981413041
6.35e-07, 0.0001513, 295, -6.07132981269, -6.6860242732, -6.08048125455, -6.70325577629
6.4e-07, 0.0001513, 295, -5.88623434431, -6.48750497443, -5.8951589296, -6.50437084903
6.45e-07, 0.0001513, 295, -5.70814788282, -6.29635975662, -5.71677907651, -6.31281939525
6.5e-07, 0.0001513, 295, -5.53648995148, -6.1120371715, -5.54503319425, -6.1282789232
