# L (m), R (m), T (K), F_Drude, F_Plasma, F_PFA_Drude, F_PFA_Plasma, F_Drude/F_PFA_Drude, F_Plasma/_P_PFA_Plasma
1.15e-07, 5e-05, 295, -5.03558192145e-11, -5.15533413641e-11, -5.04360812138e-11, -5.16540250358e-11, 0.998409, 0.998051
1.2e-07, 5e-05, 295, -4.49872537365e-11, -4.61118784225e-11, -4.5061792914e-11, -4.62061029845e-11, 0.998346, 0.997961
1.25e-07, 5e-05, 295, -4.03626453412e-11, -4.14208283338e-11, -4.04320298352e-11, -4.15092092684e-11, 0.998284, 0.997871
1.3e-07, 5e-05, 295, -3.63562346544e-11, -3.73536893873e-11, -3.64209606676e-11, -3.7436765919e-11, 0.998223, 0.997781
1.35e-07, 5e-05, 295, -3.28671444454e-11, -3.38089461003e-11, -3.29276472407e-11, -3.38871926966e-11, 0.998163, 0.997691
1.4e-07, 5e-05, 295, -2.98137810454e-11, -3.07044535337e-11, -2.9870443976e-11, -3.07782893684e-11, 0.998103, 0.997601
1.45e-07, 5e-05, 295, -2.71296386178e-11, -2.79732276645e-11, -2.71828004049e-11, -2.80430242708e-11, 0.998044, 0.997511
1.5e-07, 5e-05, 295, -2.47601207711e-11, -2.55602556345e-11, -2.4810081565e-11, -2.56263432896e-11, 0.997986, 0.997421
1.55e-07, 5e-05, 295, -2.26601077316e-11, -2.34200535741e-11, -2.27071355345e-11, -2.34827280044e-11, 0.997929, 0.997331
1.6e-07, 5e-05, 295, -2.07920818531e-11, -2.15147843822e-11, -2.08364153656e-11, -2.15743098557e-11, 0.997872, 0.997241
1.65e-07, 5e-05, 295, -1.91246634107e-11, -1.98127870911e-11, -1.91665165876e-11, -1.98694011895e-11, 0.997816, 0.997151
1.7e-07, 5e-05, 295, -1.7631464029e-11, -1.8287424925e-11, -1.76710291693e-11, -1.83413418217e-11, 0.997761, 0.99706
1.75e-07, 5e-05, 295, -1.62901793712e-11, -1.69161734817e-11, -1.63276295415e-11, -1.69675865342e-11, 0.997706, 0.99697
1.8e-07, 5e-05, 295, -1.50818656701e-11, -1.56798934635e-11, -1.51173574118e-11, -1.57289780671e-11, 0.997652, 0.996879
