# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa)
1.15e-07, 5e-05, 295, -3686.09531161, -3734.73489641, -3689.94188039, -3739.06628563
1.2e-07, 5e-05, 295, -3166.04375452, -3210.31187028, -3169.50108544, -3214.22238325
1.25e-07, 5e-05, 295, -2735.44945181, -2775.85606089, -2738.56845949, -2779.3995428
1.3e-07, 5e-05, 295, -2376.31208058, -2413.29462769, -2379.13469133, -2416.51558799
1.35e-07, 5e-05, 295, -2074.74631435, -2108.68180744, -2077.3090047, -2111.61900819
1.4e-07, 5e-05, 295, -1819.93801907, -1851.15281665, -1822.27097712, -1853.83847489
1.45e-07, 5e-05, 295, -1603.38428976, -1632.16207906, -1605.51452637, -1634.62501372
1.5e-07, 5e-05, 295, -1418.34622716, -1444.93457048, -1420.29597638, -1447.19863074
1.55e-07, 5e-05, 295, -1259.43811485, -1284.05384794, -1261.226558, -1286.13966284
1.6e-07, 5e-05, 295, -1122.32322049, -1145.15692958, -1123.96838585, -1147.08382931
1.65e-07, 5e-05, 295, -1003.48984745, -1024.70960344, -1005.00541381, -1026.49243897
1.7e-07, 5e-05, 295, -900.069327365, -919.823809, -901.469298889, -921.477644919
1.75e-07, 5e-05, 295, -809.711017741, -828.13214408, -811.005875821, -829.668420902
1.8e-07, 5e-05, 295, -730.471492768, -747.676642462, -731.671948245, -749.106942925
1.85e-07, 5e-05, 295, -660.740388098, -676.834286277, -661.854910134, -678.167872083
1.9e-07, 5e-05, 295, -599.173289005, -614.249611847, -600.209701423, -615.495029345
1.95e-07, 5e-05, 295, -544.643564255, -558.786310365, -545.609027408, -559.951380666
2e-07, 5e-05, 295, -496.202939142, -509.487607748, -497.103801671, -510.57928387
2.05e-07, 5e-05, 295, -453.049997266, -465.544600809, -453.891523925, -466.568701695
2.1e-07, 5e-05, 295, -414.503718083, -426.269657075, -415.29085698, -427.231639733
2.15e-07, 5e-05, 295, -379.983583438, -391.07640302, -380.72107695, -391.981478901
2.2e-07, 5e-05, 295, -348.993679713, -359.463729332, -349.685377129, -360.316179307
2.25e-07, 5e-05, 295, -321.107686841, -331.000692308, -321.757236388, -331.804563386
2.3e-07, 5e-05, 295, -295.958574195, -305.316138886, -296.569237733, -306.075061494
2.35e-07, 5e-05, 295, -273.228949863, -282.088992652, -273.80385571, -282.806436808
2.4e-07, 5e-05, 295, -252.644282627, -261.041424315, -253.185833771, -261.72010882
2.45e-07, 5e-05, 295, -233.965073483, -241.930973645, -234.475851477, -242.573774148
2.5e-07, 5e-05, 295, -216.982723518, -224.546379691, -217.465242867, -225.156084692
2.55e-07, 5e-05, 295, -201.515850238, -208.70386508, -201.971575034, -209.282191386
2.6e-07, 5e-05, 295, -187.403685663, -194.240495796, -187.834933609, -194.789999365
2.65e-07, 5e-05, 295, -174.506679998, -181.014768968, -174.914791399, -181.537010203
2.7e-07, 5e-05, 295, -162.700331273, -168.900409675, -163.08735994, -169.397650363
2.75e-07, 5e-05, 295, -151.876436579, -157.787612022, -152.243342386, -158.26100388
2.8e-07, 5e-05, 295, -141.937886643, -147.577806948, -142.28602109, -148.028882206
2.85e-07, 5e-05, 295, -132.798712805, -138.183697291, -133.12962528, -138.614176276
2.9e-07, 5e-05, 295, -124.383449375, -129.52861141, -124.697933835, -129.939445531
2.95e-07, 5e-05, 295, -116.623905018, -121.543252887, -116.923076054, -121.935706543
3e-07, 5e-05, 295, -109.459725147, -114.166260025, -109.744499657, -114.541390267
3.05e-07, 5e-05, 295, -102.836614241, -107.342414444, -103.108080418, -107.701442159
3.1e-07, 5e-05, 295, -96.7068470391, -101.023148928, -96.9653521456, -101.366543676
3.15e-07, 5e-05, 295, -91.0259796689, -95.1632404366, -91.2728391249, -95.4924372143
3.2e-07, 5e-05, 295, -85.7558935319, -89.7238626559, -85.9914760849, -90.0393393583
3.25e-07, 5e-05, 295, -80.8611604201, -84.6689324709, -81.0861030865, -84.971429786
3.3e-07, 5e-05, 295, -76.3100537063, -79.966119845, -76.5250247107, -80.2564051051
3.35e-07, 5e-05, 295, -72.0741076591, -75.5864049852, -72.2796245567, -75.865088558
3.4e-07, 5e-05, 295, -68.1271304748, -71.5030820958, -68.3240274383, -71.7710879228
3.45e-07, 5e-05, 295, -64.4466784137, -67.6932400424, -64.6348027861, -67.9504950553
3.5e-07, 5e-05, 295, -61.0102766952, -64.1339592783, -61.1907037408, -64.381621509
3.55e-07, 5e-05, 295, -57.7995332143, -60.8064484609, -57.9724372218, -61.0447654804
3.6e-07, 5e-05, 295, -54.7968107853, -57.6926946756, -54.9624609247, -57.9220059851
3.65e-07, 5e-05, 295, -51.9857594223, -54.7759979814, -52.1448037839, -54.9970207732
3.7e-07, 5e-05, 295, -49.3524085515, -52.0420686615, -49.5049069257, -52.254924982
3.75e-07, 5e-05, 295, -46.8829255801, -49.4767708056, -47.0294825321, -49.6821279141
3.8e-07, 5e-05, 295, -44.5656346747, -47.0681525411, -44.7063884033, -47.2662057089
3.85e-07, 5e-05, 295, -42.3893240859, -44.8047428035, -42.5245163023, -44.9957879743
3.9e-07, 5e-05, 295, -40.3435929615, -42.6758963959, -40.4736924075, -42.8604566789
3.95e-07, 5e-05, 295, -38.4195782598, -40.6725289498, -38.5445884406, -40.8506558643
4e-07, 5e-05, 295, -36.6082392278, -38.7853856547, -36.7286422006, -38.9576108857
4.05e-07, 5e-05, 295, -34.902067407, -37.0067646946, -35.0179864183, -37.1732560914
4.1e-07, 5e-05, 295, -33.2938724536, -35.3292927039, -33.4053849635, -35.4901699543
4.15e-07, 5e-05, 295, -31.77652845, -33.7456677556, -31.8841755794, -33.9015168263
4.2e-07, 5e-05, 295, -30.344747038, -32.2504500606, -30.4482183986, -32.4009945554
4.25e-07, 5e-05, 295, -28.9918228903, -30.8367717332, -29.0918496093, -30.9827873313
4.3e-07, 5e-05, 295, -27.7135560317, -29.5003045531, -27.8098396941, -29.6415231707
