# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa)
1.15e-07, 7.5e-05, 295, -3687.37576824, -3736.15951387, -3689.94188039, -3739.06628563
1.2e-07, 7.5e-05, 295, -3167.19499506, -3211.5977721, -3169.50108544, -3214.22238325
1.25e-07, 7.5e-05, 295, -2736.48824276, -2777.02089889, -2738.56845949, -2779.3995428
1.3e-07, 7.5e-05, 295, -2377.25138873, -2414.35214837, -2379.13469133, -2416.51558799
1.35e-07, 7.5e-05, 295, -2075.59951001, -2109.64607101, -2077.3090047, -2111.61900819
1.4e-07, 7.5e-05, 295, -1820.71445622, -1852.0337888, -1822.27097712, -1853.83847489
1.45e-07, 7.5e-05, 295, -1604.09363436, -1632.96997096, -1605.51452637, -1634.62501372
1.5e-07, 7.5e-05, 295, -1418.99533363, -1445.67672286, -1420.29597638, -1447.19863074
1.55e-07, 7.5e-05, 295, -1260.03326311, -1284.73697646, -1261.226558, -1286.13966284
1.6e-07, 7.5e-05, 295, -1122.87130676, -1145.78832286, -1123.96838585, -1147.08382931
1.65e-07, 7.5e-05, 295, -1003.99395373, -1025.29269503, -1005.00541381, -1026.49243897
1.7e-07, 7.5e-05, 295, -900.535562655, -920.365027612, -901.469298889, -921.477644919
1.75e-07, 7.5e-05, 295, -810.142062588, -828.634458048, -811.005875821, -829.668420902
1.8e-07, 7.5e-05, 295, -730.871192441, -748.144158933, -731.671948245, -749.106942925
1.85e-07, 7.5e-05, 295, -661.111268571, -677.269768928, -661.854910134, -678.167872083
1.9e-07, 7.5e-05, 295, -599.518440915, -614.656368724, -600.209701423, -615.495029345
1.95e-07, 7.5e-05, 295, -544.964977037, -559.166528544, -545.609027408, -559.951380666
2e-07, 7.5e-05, 295, -496.502986554, -509.843842539, -497.103801671, -510.57928387
2.05e-07, 7.5e-05, 295, -453.330416037, -465.878755103, -453.891523925, -466.568701695
2.1e-07, 7.5e-05, 295, -414.765367831, -426.582741486, -415.29085698, -427.231639733
2.15e-07, 7.5e-05, 295, -380.229490068, -391.371586512, -380.72107695, -391.981478901
2.2e-07, 7.5e-05, 295, -349.223763456, -359.741058732, -349.685377129, -360.316179307
2.25e-07, 7.5e-05, 295, -321.324082448, -331.262423539, -321.757236388, -331.804563386
2.3e-07, 7.5e-05, 295, -296.162060859, -305.563160808, -296.569237733, -306.075061494
2.35e-07, 7.5e-05, 295, -273.420124083, -282.322002673, -273.80385571, -282.806436808
2.4e-07, 7.5e-05, 295, -252.824836484, -261.262211316, -253.185833771, -261.72010882
2.45e-07, 7.5e-05, 295, -234.135102021, -242.13971843, -234.475851477, -242.573774148
2.5e-07, 7.5e-05, 295, -217.143577375, -224.744516165, -217.465242867, -225.156084692
2.55e-07, 7.5e-05, 295, -201.667600805, -208.891538938, -201.971575034, -209.282191386
2.6e-07, 7.5e-05, 295, -187.547434528, -194.418880698, -187.834933609, -194.789999365
2.65e-07, 7.5e-05, 295, -174.642424948, -181.183926718, -174.914791399, -181.537010203
2.7e-07, 7.5e-05, 295, -162.829235345, -169.061567096, -163.08735994, -169.397650363
2.75e-07, 7.5e-05, 295, -151.9987823, -157.941108848, -152.243342386, -158.26100388
2.8e-07, 7.5e-05, 295, -142.053928317, -147.723950596, -142.28602109, -148.028882206
2.85e-07, 7.5e-05, 295, -132.908751344, -138.322838284, -133.12962528, -138.614176276
2.9e-07, 7.5e-05, 295, -124.488398528, -129.661713795, -124.697933835, -129.939445531
2.95e-07, 7.5e-05, 295, -116.723505758, -121.670098984, -116.923076054, -121.935706543
3e-07, 7.5e-05, 295, -109.554803862, -114.287720688, -109.744499657, -114.541390267
3.05e-07, 7.5e-05, 295, -102.926904869, -107.458259681, -103.108080418, -107.701442159
3.1e-07, 7.5e-05, 295, -96.7929230357, -101.133991005, -96.9653521456, -101.366543676
3.15e-07, 7.5e-05, 295, -91.1082793114, -95.2695533255, -91.2728391249, -95.4924372143
3.2e-07, 7.5e-05, 295, -85.8346741575, -89.8259370899, -85.9914760849, -90.0393393583
3.25e-07, 7.5e-05, 295, -80.935909957, -84.7662824852, -81.0861030865, -84.971429786
3.3e-07, 7.5e-05, 295, -76.3817507435, -80.0597583897, -76.5250247107, -80.2564051051
3.35e-07, 7.5e-05, 295, -72.1424108802, -75.6760146055, -72.2796245567, -75.865088558
3.4e-07, 7.5e-05, 295, -68.1931222027, -71.5897779968, -68.3240274383, -71.7710879228
3.45e-07, 7.5e-05, 295, -64.5091290059, -67.7758071557, -64.6348027861, -67.9504950553
3.5e-07, 7.5e-05, 295, -61.0705473932, -64.2137911514, -61.1907037408, -64.381621509
3.55e-07, 7.5e-05, 295, -57.8570769374, -60.8830149602, -57.9724372218, -61.0447654804
3.6e-07, 7.5e-05, 295, -54.8520745203, -57.7664665454, -54.9624609247, -57.9220059851
3.65e-07, 7.5e-05, 295, -52.0388888093, -54.8471409766, -52.1448037839, -54.9970207732
3.7e-07, 7.5e-05, 295, -49.4031132729, -52.1103078408, -49.5049069257, -52.254924982
3.75e-07, 7.5e-05, 295, -46.9318941347, -49.5428179797, -47.0294825321, -49.6821279141
3.8e-07, 7.5e-05, 295, -44.6126783959, -47.1318336626, -44.7063884033, -47.2662057089
3.85e-07, 7.5e-05, 295, -42.4342867518, -44.8659153843, -42.5245163023, -44.9957879743
3.9e-07, 7.5e-05, 295, -40.3869326998, -42.7350375843, -40.4736924075, -42.8604566789
3.95e-07, 7.5e-05, 295, -38.4613196947, -40.7296779255, -38.5445884406, -40.8506558643
4e-07, 7.5e-05, 295, -36.6485046307, -38.8406791267, -36.7286422006, -38.9576108857
4.05e-07, 7.5e-05, 295, -34.9406833147, -37.0600398916, -35.0179864183, -37.1732560914
4.1e-07, 7.5e-05, 295, -33.3309629411, -35.380687109, -33.4053849635, -35.4901699543
4.15e-07, 7.5e-05, 295, -31.8126323746, -33.7957380536, -31.8841755794, -33.9015168263
4.2e-07, 7.5e-05, 295, -30.3790781938, -32.2984116893, -30.4482183986, -32.4009945554
4.25e-07, 7.5e-05, 295, -29.025392312, -30.8836583736, -29.0918496093, -30.9827873313
4.3e-07, 7.5e-05, 295, -27.745571393, -29.545324148, -27.8098396941, -29.6415231707
4.35e-07, 7.5e-05, 295, -26.5353405475, -28.2790082735, -26.5973557552, -28.372235553
4.4e-07, 7.5e-05, 295, -25.3902523318, -27.0801391888, -25.4499274764, -27.1703287468
4.45e-07, 7.5e-05, 295, -24.3056350845, -25.9439214938, -24.3634163439, -26.0315464488
4.5e-07, 7.5e-05, 295, -23.2781739178, -24.8669373804, -23.3339877749, -24.9519433788
4.55e-07, 7.5e-05, 295, -22.3043383307, -23.8455532643, -22.3580858584, -23.9278595233
4.6e-07, 7.5e-05, 295, -21.3803038739, -22.8758404636, -21.4324104338, -22.955896764
4.65e-07, 7.5e-05, 295, -20.5035253379, -21.9551693416, -20.5538962709, -22.0328976356
4.7e-07, 7.5e-05, 295, -19.6711416234, -21.0805932699, -19.71969414, -21.155926011
4.75e-07, 7.5e-05, 295, -18.8798783317, -20.2487453149, -18.9271535812, -20.3222495143
4.8e-07, 7.5e-05, 295, -18.1285271497, -19.4583629506, -18.1738072066, -19.5293234911
