# R=1e-05
# T=300
# R/L, L (in m), F (in N), F_pfa (in N), 1-F/F_PFA
330.578512397, 3.025e-08, -2.97423008647e-10, -2.97995272708e-10, 0.00192037966261
312.5, 3.2e-08, -2.59061525618e-10, -2.59594847042e-10, 0.00205443763659
296.296296296, 3.375e-08, -2.27241254218e-10, -2.27739646776e-10, 0.0021884312413
281.690140845, 3.55e-08, -2.00596554419e-10, -2.01063522137e-10, 0.00232248850482
268.456375839, 3.725e-08, -1.78094764735e-10, -1.78533313713e-10, 0.00245639858146
256.41025641, 3.9e-08, -1.58944246977e-10, -1.59357008039e-10, 0.00259016573543
245.398773006, 4.075e-08, -1.4253064832e-10, -1.4291993206e-10, 0.0027237890119
235.294117647, 4.25e-08, -1.28371850193e-10, -1.28739664644e-10, 0.0028570406146
225.988700565, 4.425e-08, -1.16085555224e-10, -1.16433676893e-10, 0.0029898709627
217.391304348, 4.6e-08, -1.05365749437e-10, -1.0569577648e-10, 0.0031224241347
209.42408377, 4.775e-08, -9.5965394321e-11, -9.62787365722e-11, 0.00325453222977
202.02020202, 4.95e-08, -8.76834271478e-11, -8.79813312873e-11, 0.00338599263117
195.12195122, 5.125e-08, -8.03549368278e-11, -8.06385524091e-11, 0.00351712143738
188.679245283, 5.3e-08, -7.3843797652e-11, -7.41141506652e-11, 0.0036477920985
182.648401826, 5.475e-08, -6.80369024494e-11, -6.82948948991e-11, 0.00377762422867
176.991150442, 5.65e-08, -6.28396312533e-11, -6.30861140423e-11, 0.00390708466821
171.673819742, 5.825e-08, -5.8172479542e-11, -5.84082064788e-11, 0.00403585302606
166.666666667, 6e-08, -5.39682227018e-11, -5.41938855591e-11, 0.00416399110365
161.943319838, 6.175e-08, -5.01697507172e-11, -5.03859901291e-11, 0.00429165749027
157.480314961, 6.35e-08, -4.67283434347e-11, -4.69357322491e-11, 0.00441856991313
153.256704981, 6.525e-08, -4.36022175485e-11, -4.38012857056e-11, 0.0045448016837
149.253731343, 6.7e-08, -4.0755399254e-11, -4.09466421162e-11, 0.00467053834727
145.454545455, 6.875e-08, -3.81568134995e-11, -3.83406785351e-11, 0.00479556029351
141.843971631, 7.05e-08, -3.57794890237e-11, -3.59563933284e-11, 0.00491996800445
138.408304498, 7.225e-08, -3.35999492272e-11, -3.37702766923e-11, 0.00504370949273
135.135135135, 7.4e-08, -3.159768413e-11, -3.17617895513e-11, 0.00516675614391
132.01320132, 7.575e-08, -2.97547084878e-11, -2.99129301645e-11, 0.0052894074847
129.032258065, 7.75e-08, -2.80552350118e-11, -2.82078720664e-11, 0.00541115098041
126.1829653, 7.925e-08, -2.64853201197e-11, -2.66326603377e-11, 0.00553231318795
123.456790123, 8.1e-08, -2.50326445467e-11, -2.51749557731e-11, 0.0056528888314
120.84592145, 8.275e-08, -2.36862878287e-11, -2.38238185476e-11, 0.00577282431143
118.343195266, 8.45e-08, -2.24365352663e-11, -2.25695246304e-11, 0.00589243088879
115.942028986, 8.625e-08, -2.12747488579e-11, -2.14034094373e-11, 0.00601121890282
113.636363636, 8.8e-08, -2.01932083386e-11, -2.03177342141e-11, 0.00612892530737
111.420612813, 8.975e-08, -1.9184974225e-11, -1.93055714942e-11, 0.00624675986623
109.289617486, 9.15e-08, -1.82438665299e-11, -1.83607065901e-11, 0.00636359279716
107.238605898, 9.325e-08, -1.73642981068e-11, -1.74775526331e-11, 0.00647999915025
105.263157895, 9.5e-08, -1.65412512924e-11, -1.66510770828e-11, 0.00659571689409
103.359173127, 9.675e-08, -1.57701926213e-11, -1.58767379734e-11, 0.00671078355141
101.52284264, 9.85e-08, -1.50470136774e-11, -1.51504284777e-11, 0.00682586637207
99.7506234414, 1.0025e-07, -1.43680263443e-11, -1.44684285676e-11, 0.00693940069661
98.0392156863, 1.02e-07, -1.37298395641e-11, -1.38273627632e-11, 0.00705291390082
96.3855421687, 1.0375e-07, -1.31293965476e-11, -1.32241631151e-11, 0.00716616746186
94.7867298578, 1.055e-07, -1.25639216581e-11, -1.26560366983e-11, 0.00727834806306
93.2400932401, 1.0725e-07, -1.20308645929e-11, -1.21204370036e-11, 0.00739019646772
91.7431192661, 1.09e-07, -1.15279059446e-11, -1.16150387063e-11, 0.00750171944165
90.2934537246, 1.1075e-07, -1.10529301127e-11, -1.11377153668e-11, 0.00761244576063
88.8888888889, 1.125e-07, -1.0603991716e-11, -1.06865196805e-11, 0.00772262316776
87.5273522976, 1.1425e-07, -1.01793095778e-11, -1.02596659616e-11, 0.00783226121419
86.2068965517, 1.16e-07, -9.77724673884e-12, -9.85551456171e-12, 0.00794152577057
84.9256900212, 1.1775e-07, -9.39630023482e-12, -9.47255800515e-12, 0.00805038832106
83.6820083682, 1.195e-07, -9.03509007465e-12, -9.10940860879e-12, 0.00815843676963
82.4742268041, 1.2125e-07, -8.69233544567e-12, -8.76478742968e-12, 0.00826625683602
