# R=0.000187
# T=300
# R/L, L (in m), E (in J), E_pfa (in J), 1-E/E_PFA
400, 4.675e-07, -8.82230578205e-19, -8.85457855137e-19, 0.00364475498557
373.831775701, 5.00225e-07, -7.71471733448e-19, -7.7455846055e-19, 0.00398514412978
350.877192982, 5.3295e-07, -6.80280770872e-19, -6.83247008593e-19, 0.00434138413079
330.578512397, 5.65675e-07, -6.04362100273e-19, -6.07224240762e-19, 0.00471348193538
312.5, 5.984e-07, -5.40531092018e-19, -5.43302652427e-19, 0.00510131948951
296.296296296, 6.31125e-07, -4.86387046117e-19, -4.89079262516e-19, 0.00550466275237
281.690140845, 6.6385e-07, -4.40093061066e-19, -4.4271538476e-19, 0.00592327211709
268.456375839, 6.96575e-07, -4.00224800892e-19, -4.02785214574e-19, 0.00635677176998
256.41025641, 7.293e-07, -3.65664433356e-19, -3.68169719742e-19, 0.00680470514248
245.398773006, 7.62025e-07, -3.35525002829e-19, -3.37980988648e-19, 0.00726663895765
235.294117647, 7.9475e-07, -3.09095755724e-19, -3.11507445581e-19, 0.00774199747476
225.988700565, 8.27475e-07, -2.85801871945e-19, -2.88173611532e-19, 0.00823024555777
217.391304348, 8.602e-07, -2.65174603822e-19, -2.67510161714e-19, 0.00873072588184
209.42408377, 8.92925e-07, -2.46828697267e-19, -2.49131378594e-19, 0.00924283942038
202.02020202, 9.2565e-07, -2.30445293372e-19, -2.32717987495e-19, 0.00976587219401
195.12195122, 9.58375e-07, -2.15758696065e-19, -2.18003955284e-19, 0.0102991673539
188.679245283, 9.911e-07, -2.02546160538e-19, -2.04766242969e-19, 0.0108420333288
182.648401826, 1.023825e-06, -1.90619877109e-19, -1.92816779965e-19, 0.0113937327309
176.991150442, 1.05655e-06, -1.79820622614e-19, -1.81996128277e-19, 0.0119535821091
171.673819742, 1.089275e-06, -1.70012740695e-19, -1.72168441937e-19, 0.012520884882
166.666666667, 1.122e-06, -1.61080111728e-19, -1.63217428211e-19, 0.0130949035686
161.943319838, 1.154725e-06, -1.52922879519e-19, -1.55043090233e-19, 0.013674977136
157.480314961, 1.18745e-06, -1.45454827252e-19, -1.47559083024e-19, 0.0142604286272
153.256704981, 1.220175e-06, -1.38601216089e-19, -1.40690554537e-19, 0.0148505950187
149.253731343, 1.2529e-06, -1.32297011298e-19, -1.34372373242e-19, 0.015444855918
145.454545455, 1.285625e-06, -1.26485430452e-19, -1.28547665144e-19, 0.0160425682574
141.843971631, 1.31835e-06, -1.21116719429e-19, -1.23166599972e-19, 0.0166431527945
138.408304498, 1.351075e-06, -1.16147149886e-19, -1.18185379752e-19, 0.0172460406703
135.135135135, 1.3838e-06, -1.11538170679e-19, -1.13565391858e-19, 0.0178506950578
132.01320132, 1.416525e-06, -1.07255696581e-19, -1.09272496896e-19, 0.0184566141703
129.032258065, 1.44925e-06, -1.03269512945e-19, -1.05276427551e-19, 0.0190632856109
126.1829653, 1.481975e-06, -9.95527574812e-20, -1.0155027897e-19, 0.0196702708126
123.456790123, 1.5147e-06, -9.60814945541e-20, -9.80700753599e-20, 0.0202771416107
120.84592145, 1.547425e-06, -9.28343437608e-20, -9.48143999342e-20, 0.0208834963332
118.343195266, 1.58015e-06, -8.97921627901e-20, -9.17640779255e-20, 0.0214889658346
115.942028986, 1.612875e-06, -8.69377761249e-20, -8.89019042313e-20, 0.0220932062518
113.636363636, 1.6456e-06, -8.42557393659e-20, -8.62124085311e-20, 0.0226959111641
111.420612813, 1.678325e-06, -8.17321399229e-20, -8.36816523157e-20, 0.0232967722177
109.289617486, 1.71105e-06, -7.9354416259e-20, -8.12970528367e-20, 0.0238955350774
107.238605898, 1.743775e-06, -7.71112080417e-20, -7.90472300534e-20, 0.0244919652507
105.263157895, 1.7765e-06, -7.49922236153e-20, -7.69218732071e-20, 0.0250858372445
103.359173127, 1.809225e-06, -7.29881207093e-20, -7.49116242087e-20, 0.0256769696245
101.52284264, 1.84195e-06, -7.10904079333e-20, -7.30079755028e-20, 0.026265179336
99.7506234414, 1.874675e-06, -6.92913521507e-20, -7.12031803157e-20, 0.0268503198375
98.0392156863, 1.9074e-06, -6.75839008681e-20, -6.94901737245e-20, 0.0274322649412
96.3855421687, 1.940125e-06, -6.59616139172e-20, -6.78625030001e-20, 0.0280108896504
94.7867298578, 1.97285e-06, -6.44185994944e-20, -6.63142660409e-20, 0.0285861046151
93.2400932401, 2.005575e-06, -6.29494612436e-20, -6.48400568418e-20, 0.0291578337569
91.7431192661, 2.0383e-06, -6.15492511738e-20, -6.34349170982e-20, 0.0297259933585
90.2934537246, 2.071025e-06, -6.02134236396e-20, -6.2094293173e-20, 0.030290537783
88.8888888889, 2.10375e-06, -5.89377988892e-20, -6.08139977625e-20, 0.0308514312877
87.5273522976, 2.136475e-06, -5.77185290181e-20, -5.95901756837e-20, 0.0314086448676
86.2068965517, 2.1692e-06, -5.65520670688e-20, -5.84192733025e-20, 0.0319621612553
84.9256900212, 2.201925e-06, -5.54351400443e-20, -5.72980111329e-20, 0.0325119677233
83.6820083682, 2.23465e-06, -5.43647235178e-20, -5.62233592881e-20, 0.0330580704136
82.4742268041, 2.267375e-06, -5.33380205086e-20, -5.51925154136e-20, 0.0336004780916
81.3008130081, 2.3001e-06, -5.23524415383e-20, -5.42028848378e-20, 0.0341392031988
80.1603206413, 2.332825e-06, -5.14055861088e-20, -5.32520626873e-20, 0.0346742733588
79.0513833992, 2.36555e-06, -5.04952272888e-20, -5.23378177498e-20, 0.0352057181645
77.9727095517, 2.398275e-06, -4.96192969238e-20, -5.14580778933e-20, 0.035733572741
76.9230769231, 2.431e-06, -4.87758728021e-20, -5.0610916874e-20, 0.0362578705386
75.9013282732, 2.463725e-06, -4.79631657979e-20, -4.97945423847e-20, 0.0367786608555
74.9063670412, 2.49645e-06, -4.71795098286e-20, -4.90072852136e-20, 0.0372959933819
73.9371534196, 2.529175e-06, -4.64233522792e-20, -4.82475893972e-20, 0.0378099121813
72.9927007299, 2.5619e-06, -4.56932441464e-20, -4.75140032664e-20, 0.038320473855
72.0720720721, 2.594625e-06, -4.49878327776e-20, -4.68051712982e-20, 0.0388277292907
71.1743772242, 2.62735e-06, -4.43058536512e-20, -4.61198266801e-20, 0.0393317399369
70.2987697715, 2.660075e-06, -4.36461242254e-20, -4.54567845355e-20, 0.0398325646783
69.4444444444, 2.6928e-06, -4.30075375646e-20, -4.48149357304e-20, 0.0403302634782
68.6106346484, 2.725525e-06, -4.23890566745e-20, -4.4193241211e-20, 0.0408248973605
67.7966101695, 2.75825e-06, -4.17897095435e-20, -4.35907268212e-20, 0.0413165232397
67.0016750419, 2.790975e-06, -4.12085837843e-20, -4.30064785542e-20, 0.0418052077352
66.2251655629, 2.8237e-06, -4.0644822718e-20, -4.2439638197e-20, 0.0422910174349
65.4664484452, 2.856425e-06, -4.00976219271e-20, -4.18893993327e-20, 0.0427740056946
64.7249190939, 2.88915e-06, -3.95662244532e-20, -4.13550036671e-20, 0.0432542390369
64, 2.921875e-06, -3.90499181883e-20, -4.08357376504e-20, 0.0437317791922
63.2911392405, 2.9546e-06, -3.85480327459e-20, -4.0330929367e-20, 0.044206683284
62.5978090767, 2.987325e-06, -3.80599359315e-20, -3.98399456709e-20, 0.0446790202508
61.919504644, 3.02005e-06, -3.7585032276e-20, -3.93621895443e-20, 0.0451488417915
61.2557427259, 3.052775e-06, -3.71227594348e-20, -3.88970976596e-20, 0.045616211275
60.6060606061, 3.0855e-06, -3.66725864546e-20, -3.84441381285e-20, 0.0460811910512
59.9700149925, 3.118225e-06, -3.62340121589e-20, -3.80028084213e-20, 0.0465438302016
59.3471810089, 3.15095e-06, -3.58065622718e-20, -3.75726334421e-20, 0.0470041891783
58.7371512482, 3.183675e-06, -3.53897882817e-20, -3.71531637474e-20, 0.0474623231986
58.1395348837, 3.2164e-06, -3.49832657742e-20, -3.67439738972e-20, 0.047918282544
57.5539568345, 3.249125e-06, -3.45865923379e-20, -3.63446609232e-20, 0.0483721278623
56.9800569801, 3.28185e-06, -3.41993870015e-20, -3.59548429111e-20, 0.048823907087
56.4174894217, 3.314575e-06, -3.38212884844e-20, -3.55741576836e-20, 0.0492736669891
55.8659217877, 3.3473e-06, -3.3451953551e-20, -3.52022615763e-20, 0.0497214652405
55.3250345781, 3.380025e-06, -3.30910569255e-20, -3.48388283012e-20, 0.0501673408909
54.7945205479, 3.41275e-06, -3.2738289132e-20, -3.44835478882e-20, 0.0506113454996
54.2740841248, 3.445475e-06, -3.23933561643e-20, -3.41361257014e-20, 0.0510535247143
53.7634408602, 3.4782e-06, -3.20559784052e-20, -3.37962815221e-20, 0.0514939229547
53.2623169108, 3.510925e-06, -3.17258897729e-20, -3.34637486945e-20, 0.051932583451
52.7704485488, 3.54365e-06, -3.140283693e-20, -3.31382733296e-20, 0.052369548116
52.2875816993, 3.576375e-06, -3.10865785357e-20, -3.28196135619e-20, 0.0528048577691
51.8134715026, 3.6091e-06, -3.07768845579e-20, -3.25075388558e-20, 0.0532385520054
51.3478818999, 3.641825e-06, -3.04735356256e-20, -3.22018293582e-20, 0.0536706692474
50.8905852417, 3.67455e-06, -3.01763225308e-20, -3.19022752927e-20, 0.054101243442
50.4413619168, 3.707275e-06, -2.98850452388e-20, -3.16086763939e-20, 0.054530317359
50, 3.74e-06, -2.9599512998e-20, -3.13208413775e-20, 0.054957922704
49.5662949195, 3.772725e-06, -2.93195435203e-20, -3.1038587445e-20, 0.0553840901339
49.14004914, 3.80545e-06, -2.90449623161e-20, -3.07617398194e-20, 0.0558088558498
48.7210718636, 3.838175e-06, -2.87756024788e-20, -3.04901313101e-20, 0.0562322547538
48.309178744, 3.8709e-06, -2.85113045523e-20, -3.02236019053e-20, 0.0566543113666
47.9041916168, 3.903625e-06, -2.8251915575e-20, -2.99619983895e-20, 0.0570750586225
47.5059382423, 3.93635e-06, -2.79972891057e-20, -2.97051739847e-20, 0.0574945253601
47.1142520612, 3.969075e-06, -2.77472847049e-20, -2.94529880129e-20, 0.0579127424109
46.7289719626, 4.0018e-06, -2.75017679688e-20, -2.92053055804e-20, 0.05832973077
46.3499420626, 4.034525e-06, -2.72606097033e-20, -2.89619972796e-20, 0.0587455195131
45.9770114943, 4.06725e-06, -2.70236859993e-20, -2.87229389097e-20, 0.0591601338499
45.6100342075, 4.099975e-06, -2.67908778827e-20, -2.84880112136e-20, 0.0595735981072
45.2488687783, 4.1327e-06, -2.65620710645e-20, -2.82570996298e-20, 0.059985935836
44.8933782267, 4.165425e-06, -2.6337155787e-20, -2.80300940601e-20, 0.0603971670411
