# L, R, T, 1-E/E_PFA
5.125e-09, 1e-06, 300, 0.0080319754
5.3e-09, 1e-06, 300, 0.0082953811
5.475e-09, 1e-06, 300, 0.0085587197
5.65e-09, 1e-06, 300, 0.0088219817
5.825e-09, 1e-06, 300, 0.0090851513
6e-09, 1e-06, 300, 0.0093482245
6.175e-09, 1e-06, 300, 0.0096111868
6.35e-09, 1e-06, 300, 0.0098740312
6.525e-09, 1e-06, 300, 0.010136743
6.7e-09, 1e-06, 300, 0.010399315
6.875e-09, 1e-06, 300, 0.01066174
7.05e-09, 1e-06, 300, 0.010924004
7.225e-09, 1e-06, 300, 0.011186095
7.4e-09, 1e-06, 300, 0.01144801
7.575e-09, 1e-06, 300, 0.011709734
7.75e-09, 1e-06, 300, 0.011971264
7.925e-09, 1e-06, 300, 0.012232586
8.1e-09, 1e-06, 300, 0.012493694
8.275e-09, 1e-06, 300, 0.012754579
8.45e-09, 1e-06, 300, 0.013015231
8.625e-09, 1e-06, 300, 0.013275645
8.8e-09, 1e-06, 300, 0.013535813
8.975e-09, 1e-06, 300, 0.013795729
9.15e-09, 1e-06, 300, 0.014055383
9.325e-09, 1e-06, 300, 0.014314773
9.5e-09, 1e-06, 300, 0.014573885
9.675e-09, 1e-06, 300, 0.014832721
9.85e-09, 1e-06, 300, 0.015091268
1.0025e-08, 1e-06, 300, 0.015349525
1.02e-08, 1e-06, 300, 0.015607486
1.0375e-08, 1e-06, 300, 0.015865146
1.055e-08, 1e-06, 300, 0.016122494
1.0725e-08, 1e-06, 300, 0.016379533
1.09e-08, 1e-06, 300, 0.016636256
1.1075e-08, 1e-06, 300, 0.016892653
1.125e-08, 1e-06, 300, 0.017148726
1.1425e-08, 1e-06, 300, 0.017404471
1.16e-08, 1e-06, 300, 0.017659883
1.1775e-08, 1e-06, 300, 0.017914956
1.195e-08, 1e-06, 300, 0.018169688
1.2125e-08, 1e-06, 300, 0.018424078
1.23e-08, 1e-06, 300, 0.018678117
1.2475e-08, 1e-06, 300, 0.018931808
1.265e-08, 1e-06, 300, 0.019185146
1.2825e-08, 1e-06, 300, 0.019438128
1.3e-08, 1e-06, 300, 0.019690749
1.3175e-08, 1e-06, 300, 0.019943009
1.335e-08, 1e-06, 300, 0.020194907
1.3525e-08, 1e-06, 300, 0.02044644
1.37e-08, 1e-06, 300, 0.020697607
1.3875e-08, 1e-06, 300, 0.020948401
1.405e-08, 1e-06, 300, 0.021198824
1.4225e-08, 1e-06, 300, 0.021448875
1.44e-08, 1e-06, 300, 0.02169855
1.4575e-08, 1e-06, 300, 0.021947853
1.475e-08, 1e-06, 300, 0.022196771
1.4925e-08, 1e-06, 300, 0.022445311
1.51e-08, 1e-06, 300, 0.022693478
1.5275e-08, 1e-06, 300, 0.022941259
1.545e-08, 1e-06, 300, 0.023188659
1.5625e-08, 1e-06, 300, 0.023435677
1.58e-08, 1e-06, 300, 0.023682306
1.5975e-08, 1e-06, 300, 0.023928557
1.615e-08, 1e-06, 300, 0.024174418
1.6325e-08, 1e-06, 300, 0.024419891
1.65e-08, 1e-06, 300, 0.024664987
1.6675e-08, 1e-06, 300, 0.024909689
1.685e-08, 1e-06, 300, 0.025154006
1.7025e-08, 1e-06, 300, 0.025397934
1.72e-08, 1e-06, 300, 0.025641472
1.7375e-08, 1e-06, 300, 0.025884626
1.755e-08, 1e-06, 300, 0.026127392
1.7725e-08, 1e-06, 300, 0.026369764
1.79e-08, 1e-06, 300, 0.026611756
1.8075e-08, 1e-06, 300, 0.026853353
1.825e-08, 1e-06, 300, 0.027094563
1.8425e-08, 1e-06, 300, 0.027335385
1.86e-08, 1e-06, 300, 0.02757582
1.8775e-08, 1e-06, 300, 0.027815868
1.895e-08, 1e-06, 300, 0.028055529
1.9125e-08, 1e-06, 300, 0.028294822
1.93e-08, 1e-06, 300, 0.02853369
1.9475e-08, 1e-06, 300, 0.028772193
1.965e-08, 1e-06, 300, 0.029010303
1.9825e-08, 1e-06, 300, 0.029248034
2e-08, 1e-06, 300, 0.029485446
