# R=3.2e-06
# T=300
# R/L, L (in m), E (in J), E_pfa (in J), 1-E/E_PFA
400, 8e-09, -1.2974220271e-17, -1.30267607583e-17, 0.00403327336577
373.831775701, 8.56e-09, -1.18132542489e-17, -1.18643939761e-17, 0.00431035308285
350.877192982, 9.12e-09, -1.0814681228e-17, -1.08645166697e-17, 0.00458699114739
330.578512397, 9.68e-09, -9.94825922162e-18, -9.99687500551e-18, 0.00486309810451
312.5, 1.024e-08, -9.19065296908e-18, -9.23812383096e-18, 0.00513858254654
296.296296296, 1.08e-08, -8.52359144434e-18, -8.56998399592e-18, 0.00541337668862
281.690140845, 1.136e-08, -7.93258164639e-18, -7.97795558983e-18, 0.00568741489367
268.456375839, 1.192e-08, -7.40599241897e-18, -7.45040161877e-18, 0.00596064508585
256.41025641, 1.248e-08, -6.93439075191e-18, -6.97788395821e-18, 0.00623300796731
245.398773006, 1.304e-08, -6.51005283238e-18, -6.55267448977e-18, 0.00650446736736
235.294117647, 1.36e-08, -6.12659933011e-18, -6.16839004189e-18, 0.00677497880344
225.988700565, 1.416e-08, -5.77871912408e-18, -5.81971622828e-18, 0.00704451945546
217.391304348, 1.472e-08, -5.461958222e-18, -5.5021960516e-18, 0.00731304904876
209.42408377, 1.528e-08, -5.17255593898e-18, -5.21206631689e-18, 0.00758055932464
202.02020202, 1.584e-08, -4.90731743858e-18, -4.94612977475e-18, 0.00784701128785
195.12195122, 1.64e-08, -4.66351250877e-18, -4.70165426264e-18, 0.0081124114484
188.679245283, 1.696e-08, -4.43879580191e-18, -4.47629246197e-18, 0.00837672256393
182.648401826, 1.752e-08, -4.23114209713e-18, -4.26801754805e-18, 0.00863994828948
176.991150442, 1.808e-08, -4.03879459752e-18, -4.07507120217e-18, 0.00890207872298
171.673819742, 1.864e-08, -3.86022257155e-18, -3.89592131974e-18, 0.00916310809665
166.666666667, 1.92e-08, -3.69408675406e-18, -3.72922738403e-18, 0.00942303226733
161.943319838, 1.976e-08, -3.53921084265e-18, -3.57381194038e-18, 0.00968184624979
157.480314961, 2.032e-08, -3.39455786213e-18, -3.42863696729e-18, 0.00993954900409
153.256704981, 2.088e-08, -3.25921049569e-18, -3.29278419105e-18, 0.0101961420526
149.253731343, 2.144e-08, -3.13235459811e-18, -3.16543861023e-18, 0.0104516359955
145.454545455, 2.2e-08, -3.0132654126e-18, -3.04587463281e-18, 0.0107060283627
141.843971631, 2.256e-08, -2.90129581716e-18, -2.933444365e-18, 0.0109593173885
138.408304498, 2.312e-08, -2.79586636014e-18, -2.82756767109e-18, 0.0112115127328
135.135135135, 2.368e-08, -2.69645683347e-18, -2.72772370371e-18, 0.0114626236527
132.01320132, 2.424e-08, -2.60259905294e-18, -2.63344365799e-18, 0.011712650453
129.032258065, 2.48e-08, -2.51387056949e-18, -2.54430455041e-18, 0.0119616108512
126.1829653, 2.536e-08, -2.42988941335e-18, -2.45992385942e-18, 0.0122095023206
123.456790123, 2.592e-08, -2.3503093602e-18, -2.37995489019e-18, 0.0124563411327
120.84592145, 2.648e-08, -2.27481600098e-18, -2.30408275602e-18, 0.0127021284116
118.343195266, 2.704e-08, -2.20312319334e-18, -2.23202088078e-18, 0.0129468714601
115.942028986, 2.76e-08, -2.1349700148e-18, -2.16350794876e-18, 0.0131905842893
113.636363636, 2.816e-08, -2.07011810626e-18, -2.09830523387e-18, 0.0134332828031
111.420612813, 2.872e-08, -2.00834936523e-18, -2.03619425783e-18, 0.0136749686289
109.289617486, 2.928e-08, -1.94946383432e-18, -1.97697472889e-18, 0.0139156531257
107.238605898, 2.984e-08, -1.8932779026e-18, -1.92046272562e-18, 0.0141553505058
105.263157895, 3.04e-08, -1.83962273958e-18, -1.86648908959e-18, 0.0143940568178
103.359173127, 3.096e-08, -1.78834276623e-18, -1.81489800266e-18, 0.0146318065213
101.52284264, 3.152e-08, -1.73929455541e-18, -1.76554572301e-18, 0.0148685855368
99.7506234414, 3.208e-08, -1.69234553641e-18, -1.7182994605e-18, 0.0151044242771
98.0392156863, 3.264e-08, -1.6473731306e-18, -1.67303637332e-18, 0.0153393214463
96.3855421687, 3.32e-08, -1.60426377662e-18, -1.62964267266e-18, 0.0155732888393
94.7867298578, 3.376e-08, -1.56291214542e-18, -1.58801281961e-18, 0.0158063422913
93.2400932401, 3.432e-08, -1.52322043968e-18, -1.54804880612e-18, 0.0160384907373
91.7431192661, 3.488e-08, -1.4850977394e-18, -1.50965950831e-18, 0.0162697408103
90.2934537246, 3.544e-08, -1.44845941176e-18, -1.4727601046e-18, 0.0165001026073
88.8888888889, 3.6e-08, -1.41322659595e-18, -1.43727155102e-18, 0.0167295839516
87.5273522976, 3.656e-08, -1.37932570193e-18, -1.40312010742e-18, 0.0169582100396
86.2068965517, 3.712e-08, -1.3466880397e-18, -1.37023690901e-18, 0.017185983789
84.9256900212, 3.768e-08, -1.31524940503e-18, -1.33855757785e-18, 0.0174129026663
83.6820083682, 3.824e-08, -1.2849496893e-18, -1.30802187088e-18, 0.0176389876155
82.4742268041, 3.88e-08, -1.25573259605e-18, -1.2785733602e-18, 0.0178642578221
81.3008130081, 3.936e-08, -1.2275453838e-18, -1.25015914137e-18, 0.0180887031233
80.1603206413, 3.992e-08, -1.20033852208e-18, -1.2227295686e-18, 0.0183123456629
79.0513833992, 4.048e-08, -1.17406550029e-18, -1.19623801268e-18, 0.018535201321
77.9727095517, 4.104e-08, -1.1486826212e-18, -1.17064064002e-18, 0.0187572668096
76.9230769231, 4.16e-08, -1.1241487593e-18, -1.14589621049e-18, 0.0189785523311
75.9013282732, 4.216e-08, -1.10042518784e-18, -1.12196589241e-18, 0.0191990725602
74.9063670412, 4.272e-08, -1.07747542088e-18, -1.09881309285e-18, 0.0194188366631
73.9371534196, 4.328e-08, -1.05526505004e-18, -1.07640330202e-18, 0.0196378550155
72.9927007299, 4.384e-08, -1.03376160574e-18, -1.05470394987e-18, 0.0198561351084
72.0720720721, 4.44e-08, -1.01293442577e-18, -1.03368427505e-18, 0.0200736818598
71.1743772242, 4.496e-08, -9.92754530302e-19, -1.0133152031e-18, 0.0202905006645
70.2987697715, 4.552e-08, -9.73194493332e-19, -9.93569235415e-19, 0.0205066152982
69.4444444444, 4.608e-08, -9.54228378997e-19, -9.7442034548e-19, 0.0207220288215
68.6106346484, 4.664e-08, -9.35831622723e-19, -9.55843884387e-19, 0.0209367470894
67.7966101695, 4.72e-08, -9.17980955074e-19, -9.3781649224e-19, 0.0211507659878
67.0016750419, 4.776e-08, -9.00654279798e-19, -9.20316017061e-19, 0.0213641150411
66.2251655629, 4.832e-08, -8.83830659291e-19, -9.0332143928e-19, 0.0215767933109
65.4664484452, 4.888e-08, -8.67490204538e-19, -8.86812801748e-19, 0.0217888117671
64.7249190939, 4.944e-08, -8.51614025708e-19, -8.70771145159e-19, 0.0220001771504
64, 5e-08, -8.36184173156e-19, -8.55178447362e-19, 0.0222108897444
63.2911392405, 5.056e-08, -8.2118356408e-19, -8.40017567665e-19, 0.022420963929
62.5978090767, 5.112e-08, -8.06595948863e-19, -8.25272194685e-19, 0.022630407206
61.919504644, 5.168e-08, -7.9240586137e-19, -8.10926797931e-19, 0.0228392212571
61.2557427259, 5.224e-08, -7.78598552853e-19, -7.9696658236e-19, 0.0230474274753
60.6060606061, 5.28e-08, -7.65159984837e-19, -7.83377446679e-19, 0.0232550246617
59.9700149925, 5.336e-08, -7.52076770204e-19, -7.70145943777e-19, 0.023462012258
59.3471810089, 5.392e-08, -7.39336117692e-19, -7.57259244103e-19, 0.0236684154736
58.7371512482, 5.448e-08, -7.26925846153e-19, -7.44705101449e-19, 0.0238742225095
58.1395348837, 5.504e-08, -7.14834307343e-19, -7.32471820632e-19, 0.0240794427749
57.5539568345, 5.56e-08, -7.03050365371e-19, -7.20548227894e-19, 0.0242840962558
56.9800569801, 5.616e-08, -6.91563384291e-19, -7.08923642618e-19, 0.0244881920756
56.4174894217, 5.672e-08, -6.80363213501e-19, -6.97587850822e-19, 0.0246917105869
55.8659217877, 5.728e-08, -6.69440106465e-19, -6.86531080874e-19, 0.0248946841382
55.3250345781, 5.784e-08, -6.58784764764e-19, -6.75743980153e-19, 0.0250971016944
54.7945205479, 5.84e-08, -6.48388268381e-19, -6.65217593134e-19, 0.0252989772472
54.2740841248, 5.896e-08, -6.38242077221e-19, -6.54943341422e-19, 0.0255003191029
53.7634408602, 5.952e-08, -6.28338004791e-19, -6.44913004066e-19, 0.0257011397991
53.2623169108, 6.008e-08, -6.18668217654e-19, -6.35118700024e-19, 0.0259014297169
52.7704485488, 6.064e-08, -6.09225189016e-19, -6.25552870751e-19, 0.0261012018314
52.2875816993, 6.12e-08, -6.00001701899e-19, -6.16208264416e-19, 0.0263004627692
51.8134715026, 6.176e-08, -5.90990830181e-19, -6.07077921009e-19, 0.026499219081
51.3478818999, 6.232e-08, -5.82185924334e-19, -5.98155157755e-19, 0.026697476756
50.8905852417, 6.288e-08, -5.73580606237e-19, -5.89433556194e-19, 0.0268952281221
50.4413619168, 6.344e-08, -5.65168726334e-19, -5.80906949152e-19, 0.0270925022346
50, 6.4e-08, -5.56944395018e-19, -5.72569409056e-19, 0.0272892924262
