# R=0.000335
# T=300
# R/L, L (in m), F (in N), F_pfa (in N), 1-F/F_PFA
330.578512397, 1.013375e-06, -6.41346324931e-13, -6.42020404408e-13, 0.0010499346626
312.5, 1.072e-06, -5.38565082756e-13, -5.39150106222e-13, 0.00108508457948
296.296296296, 1.130625e-06, -4.56368022306e-13, -4.56879703222e-13, 0.00111994670032
281.690140845, 1.18925e-06, -3.89914267519e-13, -3.9036515093e-13, 0.00115502987381
268.456375839, 1.247875e-06, -3.35657939483e-13, -3.36058093438e-13, 0.00119072851526
256.41025641, 1.3065e-06, -2.90962791243e-13, -2.91320382337e-13, 0.00122748394907
245.398773006, 1.365125e-06, -2.53842488283e-13, -2.54164006418e-13, 0.00126500262151
235.294117647, 1.42375e-06, -2.22781485224e-13, -2.2307239748e-13, 0.00130411588414
225.988700565, 1.482375e-06, -1.96610812622e-13, -1.96875592691e-13, 0.00134491058514
217.391304348, 1.541e-06, -1.74419404643e-13, -1.74661688859e-13, 0.0013871629055
209.42408377, 1.599625e-06, -1.55490312063e-13, -1.55713157895e-13, 0.00143113038701
202.02020202, 1.65825e-06, -1.39254454979e-13, -1.39460453089e-13, 0.00147710771046
195.12195122, 1.716875e-06, -1.25256475348e-13, -1.25447809406e-13, 0.00152520844308
188.679245283, 1.7755e-06, -1.1312927909e-13, -1.13307755001e-13, 0.00157514294794
182.648401826, 1.834125e-06, -1.02574757145e-13, -1.02741920796e-13, 0.00162702478121
176.991150442, 1.89275e-06, -9.33492653416e-14, -9.35064541593e-14, 0.00168104778557
171.673819742, 1.951375e-06, -8.5252491476e-14, -8.54008333987e-14, 0.00173700790497
166.666666667, 2.01e-06, -7.8118743211e-14, -7.82592188453e-14, 0.0017950043002
161.943319838, 2.068625e-06, -7.18102525664e-14, -7.19437129675e-14, 0.00185506690665
157.480314961, 2.12725e-06, -6.62119037294e-14, -6.63390696205e-14, 0.00191690796729
153.256704981, 2.185875e-06, -6.12270052271e-14, -6.13485121439e-14, 0.00198060087454
149.253731343, 2.2445e-06, -5.67740121821e-14, -5.68904063222e-14, 0.00204593617114
145.454545455, 2.303125e-06, -5.27838273381e-14, -5.2895597182e-14, 0.00211302735802
141.843971631, 2.36175e-06, -4.9197691471e-14, -4.93052647048e-14, 0.00218177986551
138.408304498, 2.420375e-06, -4.59654421835e-14, -4.60691878146e-14, 0.00225195268198
135.135135135, 2.479e-06, -4.30440886727e-14, -4.3144331529e-14, 0.00232343051237
132.01320132, 2.537625e-06, -4.03966568067e-14, -4.04936913887e-14, 0.00239628887072
129.032258065, 2.59625e-06, -3.79912575082e-14, -3.80853438239e-14, 0.00247040741244
126.1829653, 2.654875e-06, -3.58002984184e-14, -3.58916622535e-14, 0.0025455448253
123.456790123, 2.7135e-06, -3.37998207184e-14, -3.38886671979e-14, 0.00262171654622
120.84592145, 2.772125e-06, -3.19689731955e-14, -3.20554852912e-14, 0.00269882346081
118.343195266, 2.83075e-06, -3.02895560481e-14, -3.03738971854e-14, 0.0027767637735
115.942028986, 2.889375e-06, -2.87456409752e-14, -2.88279583272e-14, 0.00285546937006
113.636363636, 2.948e-06, -2.73232560169e-14, -2.74036797279e-14, 0.00293477780473
111.420612813, 3.006625e-06, -2.60101086085e-14, -2.60887583213e-14, 0.00301469743578
109.289617486, 3.06525e-06, -2.47953652397e-14, -2.48723484584e-14, 0.00309513268544
107.238605898, 3.123875e-06, -2.3669450891e-14, -2.37448676663e-14, 0.00317612952647
105.263157895, 3.1825e-06, -2.26238942725e-14, -2.26978310352e-14, 0.00325743735655
103.359173127, 3.241125e-06, -2.165117208e-14, -2.17237096117e-14, 0.0033390950734
101.52284264, 3.29975e-06, -2.07445949228e-14, -2.08158089868e-14, 0.00342115283412
99.7506234414, 3.358375e-06, -1.98982107457e-14, -1.99681649241e-14, 0.00350328528642
98.0392156863, 3.417e-06, -1.91066943738e-14, -1.91754534119e-14, 0.00358578420959
96.3855421687, 3.475625e-06, -1.83652932013e-14, -1.84329129555e-14, 0.00366842475862
94.7867298578, 3.53425e-06, -1.76697463117e-14, -1.77362772903e-14, 0.00375112417759
93.2400932401, 3.592875e-06, -1.70162250947e-14, -1.70817169861e-14, 0.0038340344477
91.7431192661, 3.6515e-06, -1.640129004e-14, -1.64657886592e-14, 0.00391712905644
90.2934537246, 3.710125e-06, -1.58218457424e-14, -1.58853907102e-14, 0.00400021434733
88.8888888889, 3.76875e-06, -1.52750961899e-14, -1.53377246703e-14, 0.00408329669252
87.5273522976, 3.827375e-06, -1.4758513841e-14, -1.48202613814e-14, 0.00416642722035
86.2068965517, 3.886e-06, -1.42698104652e-14, -1.43307113506e-14, 0.0042496763741
84.9256900212, 3.944625e-06, -1.38069136418e-14, -1.38669987161e-14, 0.00433295449067
83.6820083682, 4.00325e-06, -1.33679416564e-14, -1.34272383453e-14, 0.00441614927962
82.4742268041, 4.061875e-06, -1.29511789852e-14, -1.30097156539e-14, 0.00449945796403
81.3008130081, 4.1205e-06, -1.25550668932e-14, -1.26128687938e-14, 0.00458277188961
80.1603206413, 4.179125e-06, -1.21781829986e-14, -1.22352729065e-14, 0.00466601017796
79.0513833992, 4.23775e-06, -1.18192257733e-14, -1.18756261811e-14, 0.00474925759194
77.9727095517, 4.296375e-06, -1.14770045599e-14, -1.15327374908e-14, 0.00483258471863
76.9230769231, 4.355e-06, -1.11504300282e-14, -1.12055154144e-14, 0.00491591721978
75.9013282732, 4.413625e-06, -1.08385026785e-14, -1.08929584717e-14, 0.00499917386011
74.9063670412, 4.47225e-06, -1.05403021109e-14, -1.05941464286e-14, 0.00508245927128
73.9371534196, 4.530875e-06, -1.02549828816e-14, -1.0308232542e-14, 0.00516574109642
72.9927007299, 4.5895e-06, -9.98176479316e-15, -1.0034436635e-14, 0.00524910801933
72.0720720721, 4.648125e-06, -9.71992958723e-15, -9.77203890432e-15, 0.00533249177608
71.1743772242, 4.70675e-06, -9.46881373074e-15, -9.52037437672e-15, 0.00541582126303
70.2987697715, 4.765375e-06, -9.22780187098e-15, -9.27882793811e-15, 0.0054991931604
69.4444444444, 4.824e-06, -8.99632521463e-15, -9.0468298723e-15, 0.00558258068127
68.6106346484, 4.882625e-06, -8.77385532838e-15, -8.82385185124e-15, 0.00566606553409
