# R=3.8e-05
# T=300
# R/L, L (in m), E (in J), E_pfa (in J), 1-E/E_PFA
400, 9.5e-08, -3.48825820019e-18, -3.50037785406e-18, 0.00346238445564
373.831775701, 1.0165e-07, -3.10363921185e-18, -3.1150633956e-18, 0.00366740007938
350.877192982, 1.083e-07, -2.779720049e-18, -2.79052137832e-18, 0.0038707208648
330.578512397, 1.1495e-07, -2.50422761671e-18, -2.51446818019e-18, 0.00407265582426
312.5, 1.216e-07, -2.26787205675e-18, -2.2776054026e-18, 0.00427349963143
296.296296296, 1.2825e-07, -2.06351003099e-18, -2.07278260203e-18, 0.0044734894199
281.690140845, 1.349e-07, -1.88557110499e-18, -1.89442350468e-18, 0.00467287260004
268.456375839, 1.4155e-07, -1.72965665833e-18, -1.73812454544e-18, 0.00487185290082
256.41025641, 1.482e-07, -1.59225388669e-18, -1.6003687191e-18, 0.00507060174005
245.398773006, 1.5485e-07, -1.47052847975e-18, -1.47831819501e-18, 0.00526930892252
235.294117647, 1.615e-07, -1.36217225067e-18, -1.36966173621e-18, 0.00546812788848
225.988700565, 1.6815e-07, -1.26528936984e-18, -1.27250089236e-18, 0.0056672042924
217.391304348, 1.748e-07, -1.1783104942e-18, -1.18526404639e-18, 0.00586666928957
209.42408377, 1.8145e-07, -1.09992715266e-18, -1.10664075423e-18, 0.00606664949577
202.02020202, 1.881e-07, -1.02904113071e-18, -1.03553105168e-18, 0.00626723936722
195.12195122, 1.9475e-07, -9.64724908462e-19, -9.71005939133e-19, 0.00646858110563
188.679245283, 2.014e-07, -9.06190744211e-19, -9.1227629897e-19, 0.0066707364492
182.648401826, 2.0805e-07, -8.52765898409e-19, -8.58668242245e-19, 0.00687383502193
176.991150442, 2.147e-07, -8.03873086594e-19, -8.09603401267e-19, 0.00707792811081
171.673819742, 2.2135e-07, -7.59014517926e-19, -7.64583063534e-19, 0.00728311399183
166.666666667, 2.28e-07, -7.17759109298e-19, -7.2317530781e-19, 0.00748946825655
161.943319838, 2.3465e-07, -6.79731987851e-19, -6.85004511656e-19, 0.00769706434734
157.480314961, 2.413e-07, -6.44605892086e-19, -6.49742738234e-19, 0.00790596931091
153.256704981, 2.4795e-07, -6.12094073721e-19, -6.17102628767e-19, 0.00811624325265
149.253731343, 2.546e-07, -5.81944398943e-19, -5.86831505141e-19, 0.00832795471183
145.454545455, 2.6125e-07, -5.53934452203e-19, -5.58706451031e-19, 0.00854115576898
141.843971631, 2.679e-07, -5.27867411761e-19, -5.3253019168e-19, 0.0087558977722
138.408304498, 2.7455e-07, -5.03568598048e-19, -5.08127625571e-19, 0.0089722095267
135.135135135, 2.812e-07, -4.80882501629e-19, -4.85342892949e-19, 0.00919018571091
132.01320132, 2.8785e-07, -4.59670370225e-19, -4.64036887942e-19, 0.00940985044789
129.032258065, 2.945e-07, -4.39808055117e-19, -4.44085138976e-19, 0.00963122492527
126.1829653, 3.0115e-07, -4.21184175915e-19, -4.25375996403e-19, 0.00985438887951
123.456790123, 3.078e-07, -4.03698619023e-19, -4.07809076828e-19, 0.0100793681128
120.84592145, 3.1445e-07, -3.87261183728e-19, -3.91293924576e-19, 0.0103061678051
118.343195266, 3.211e-07, -3.7179039053e-19, -3.75748854664e-19, 0.0105348668002
115.942028986, 3.2775e-07, -3.57212544069e-19, -3.61099950853e-19, 0.0107654591892
113.636363636, 3.344e-07, -3.43460803017e-19, -3.47280194497e-19, 0.0109980112336
111.420612813, 3.4105e-07, -3.30474474846e-19, -3.34228706187e-19, 0.0112325221381
109.289617486, 3.477e-07, -3.18198309186e-19, -3.21890082472e-19, 0.011469049487
107.238605898, 3.5435e-07, -3.06581959327e-19, -3.10213814766e-19, 0.0117075876879
105.263157895, 3.61e-07, -2.95579433698e-19, -2.99153779652e-19, 0.011948189184
103.359173127, 3.6765e-07, -2.85148683934e-19, -2.88667789594e-19, 0.0121908497843
101.52284264, 3.743e-07, -2.75251174904e-19, -2.78717196408e-19, 0.0124356213006
99.7506234414, 3.8095e-07, -2.65851572349e-19, -2.69266541338e-19, 0.0126824854372
98.0392156863, 3.876e-07, -2.56917394452e-19, -2.60283243899e-19, 0.0129314872413
96.3855421687, 3.9425e-07, -2.48418759022e-19, -2.51737326582e-19, 0.0131826598974
94.7867298578, 4.009e-07, -2.40328148669e-19, -2.4360116887e-19, 0.0134359790514
93.2400932401, 4.0755e-07, -2.326201559e-19, -2.35849288895e-19, 0.0136915104148
91.7431192661, 4.142e-07, -2.25271337396e-19, -2.28458147439e-19, 0.0139492072306
90.2934537246, 4.2085e-07, -2.18259990857e-19, -2.2140597348e-19, 0.0142091135744
88.8888888889, 4.275e-07, -2.11566022404e-19, -2.1467260692e-19, 0.014471266549
87.5273522976, 4.3415e-07, -2.05170820394e-19, -2.08239357973e-19, 0.0147356273529
86.2068965517, 4.408e-07, -1.99057095161e-19, -2.02088880589e-19, 0.0150022377222
84.9256900212, 4.4745e-07, -1.93208787475e-19, -1.96205058012e-19, 0.0152711177145
83.6820083682, 4.541e-07, -1.87610971802e-19, -1.90572900201e-19, 0.0155422328973
82.4742268041, 4.6075e-07, -1.82249738974e-19, -1.85178450422e-19, 0.015815616996
81.3008130081, 4.674e-07, -1.77112132806e-19, -1.80008701229e-19, 0.0160912689384
80.1603206413, 4.7405e-07, -1.7218606072e-19, -1.75051518255e-19, 0.0163692241264
79.0513833992, 4.807e-07, -1.67460245376e-19, -1.70295570707e-19, 0.0166494367397
77.9727095517, 4.8735e-07, -1.62924134167e-19, -1.65730268592e-19, 0.0169319367478
76.9230769231, 4.94e-07, -1.58567861423e-19, -1.6134570556e-19, 0.0172167218706
75.9013282732, 5.0065e-07, -1.54382185726e-19, -1.57132606512e-19, 0.0175038195313
74.9063670412, 5.073e-07, -1.50358459026e-19, -1.53082280158e-19, 0.0177931837003
73.9371534196, 5.1395e-07, -1.46488559941e-19, -1.49186575666e-19, 0.0180848425055
72.9927007299, 5.206e-07, -1.42764870666e-19, -1.45437842709e-19, 0.0183787932559
72.0720720721, 5.2725e-07, -1.39180233509e-19, -1.41828895237e-19, 0.0186750501241
71.1743772242, 5.339e-07, -1.35727928561e-19, -1.38352978258e-19, 0.0189735684007
70.2987697715, 5.4055e-07, -1.32401624317e-19, -1.35003737038e-19, 0.0192743754998
69.4444444444, 5.472e-07, -1.29195365113e-19, -1.31775189207e-19, 0.0195774645345
68.6106346484, 5.5385e-07, -1.26103539874e-19, -1.28661698875e-19, 0.0198828324477
67.7966101695, 5.605e-07, -1.23120857148e-19, -1.25657953029e-19, 0.0201904918875
67.0016750419, 5.6715e-07, -1.20242333244e-19, -1.22758939455e-19, 0.0205003906234
66.2251655629, 5.738e-07, -1.17463253384e-19, -1.1995992673e-19, 0.0208125614434
65.4664484452, 5.8045e-07, -1.14779170963e-19, -1.17256445546e-19, 0.0211269800324
64.7249190939, 5.871e-07, -1.12185880021e-19, -1.14644271655e-19, 0.0214436499822
64, 5.9375e-07, -1.09679404342e-19, -1.12119409786e-19, 0.0217625605516
63.2911392405, 6.004e-07, -1.07255979539e-19, -1.09678079089e-19, 0.0220837160022
62.5978090767, 6.0705e-07, -1.04912045614e-19, -1.07316699487e-19, 0.0224070800194
61.919504644, 6.137e-07, -1.02644225907e-19, -1.05031879037e-19, 0.0227326517583
61.2557427259, 6.2035e-07, -1.00449319917e-19, -1.02820402332e-19, 0.0230604273261
60.6060606061, 6.27e-07, -9.83242915713e-20, -1.00679219479e-19, 0.0233904068745
59.9700149925, 6.3365e-07, -9.62662626627e-20, -9.86054361191e-20, 0.0237225608292
59.3471810089, 6.403e-07, -9.42724954645e-20, -9.65963040196e-20, 0.0240569096163
58.7371512482, 6.4695e-07, -9.23403968676e-20, -9.46492123194e-20, 0.0243933931957
58.1395348837, 6.536e-07, -9.04674963664e-20, -9.27616794935e-20, 0.0247320136897
57.5539568345, 6.6025e-07, -8.86514440358e-20, -9.0931345636e-20, 0.0250727797353
56.9800569801, 6.669e-07, -8.68900070915e-20, -8.91559654993e-20, 0.02541566787
56.4174894217, 6.7355e-07, -8.51810601577e-20, -8.74334018782e-20, 0.0257606552193
55.8659217877, 6.802e-07, -8.3522576887e-20, -8.57616194574e-20, 0.0261077459196
55.3250345781, 6.8685e-07, -8.19126280431e-20, -8.41386790458e-20, 0.0264569283462
54.7945205479, 6.935e-07, -8.03493783754e-20, -8.25627322756e-20, 0.026808147443
54.2740841248, 7.0015e-07, -7.88310721201e-20, -8.10320164585e-20, 0.0271614163714
53.7634408602, 7.068e-07, -7.7356036567e-20, -7.95448499613e-20, 0.0275167203824
53.2623169108, 7.1345e-07, -7.59226755065e-20, -7.80996277751e-20, 0.0278740415363
52.7704485488, 7.201e-07, -7.45294648247e-20, -7.66948173839e-20, 0.0282333622148
52.2875816993, 7.2675e-07, -7.31749485126e-20, -7.53289548732e-20, 0.0285946667426
51.8134715026, 7.334e-07, -7.18577353471e-20, -7.40006413632e-20, 0.0289579384269
51.3478818999, 7.4005e-07, -7.05764953637e-20, -7.27085394861e-20, 0.0293231598038
50.8905852417, 7.467e-07, -6.93299560298e-20, -7.14513702562e-20, 0.0296903225061
50.4413619168, 7.5335e-07, -6.81169021996e-20, -7.02279100354e-20, 0.0300593857155
50, 7.6e-07, -6.69361683423e-20, -6.90369876986e-20, 0.030430345042
49.5662949195, 7.6665e-07, -6.57866404676e-20, -6.78774819672e-20, 0.0308031682819
49.14004914, 7.733e-07, -6.4667249903e-20, -6.6748318883e-20, 0.031177848594
48.7210718636, 7.7995e-07, -6.35769727203e-20, -6.56484695053e-20, 0.0315543804851
48.309178744, 7.866e-07, -6.25148299657e-20, -6.45769475859e-20, 0.0319327205343
47.9041916168, 7.9325e-07, -6.14798808733e-20, -6.35328075356e-20, 0.0323128591655
47.5059382423, 7.999e-07, -6.0471223865e-20, -6.25151424243e-20, 0.0326947756994
47.1142520612, 8.0655e-07, -5.94879916834e-20, -6.15230821111e-20, 0.0330784862832
46.7289719626, 8.132e-07, -5.85293586971e-20, -6.05557914777e-20, 0.0334638971962
46.3499420626, 8.1985e-07, -5.75945254574e-20, -5.96124687609e-20, 0.0338510272334
45.9770114943, 8.265e-07, -5.66827265634e-20, -5.86923439633e-20, 0.0342398559032
45.6100342075, 8.3315e-07, -5.57932269345e-20, -5.77946774153e-20, 0.0346303599271
45.2488687783, 8.398e-07, -5.49253199468e-20, -5.69187582831e-20, 0.0350225197532
44.8933782267, 8.4645e-07, -5.4078327325e-20, -5.60639032923e-20, 0.0354162990922
44.5434298441, 8.531e-07, -5.32515944953e-20, -5.52294554496e-20, 0.0358117047893
44.1988950276, 8.5975e-07, -5.24444942236e-20, -5.44147828467e-20, 0.0362087013855
43.8596491228, 8.664e-07, -5.16564223029e-20, -5.36192775273e-20, 0.0366072672903
43.5255712731, 8.7305e-07, -5.0886798019e-20, -5.28423544125e-20, 0.0370073668226
43.1965442765, 8.797e-07, -5.01350602741e-20, -5.20834502828e-20, 0.037409004167
42.872454448, 8.8635e-07, -4.94006697976e-20, -5.13420228001e-20, 0.0378121643163
42.5531914894, 8.93e-07, -4.86831104707e-20, -5.06175496369e-20, 0.0382167682962
42.2386483633, 8.9965e-07, -4.79818795743e-20, -4.99095275346e-20, 0.0386228452864
41.928721174, 9.063e-07, -4.72964967236e-20, -4.92174715259e-20, 0.0390303431442
41.6233090531, 9.1295e-07, -4.662649599e-20, -4.85409141368e-20, 0.0394392685196
41.3223140496, 9.196e-07, -4.59714309624e-20, -4.787940464e-20, 0.0398495698075
41.0256410256, 9.2625e-07, -4.53308689814e-20, -4.7232508345e-20, 0.0402612401961
40.733197556, 9.329e-07, -4.47043928784e-20, -4.65998059233e-20, 0.0406742690741
40.4448938322, 9.3955e-07, -4.40915972127e-20, -4.59808927663e-20, 0.0410887096777
40.1606425703, 9.462e-07, -4.34921078342e-20, -4.53753783736e-20, 0.0415042387958
39.8803589232, 9.5285e-07, -4.29055357273e-20, -4.47828857718e-20, 0.0419211493888
39.603960396, 9.595e-07, -4.23315234762e-20, -4.4203050951e-20, 0.0423393280443
39.331366765, 9.6615e-07, -4.17697232176e-20, -4.36355223725e-20, 0.0427587216433
39.0625, 9.728e-07, -4.12197969203e-20, -4.30799604106e-20, 0.0431793221848
38.7972841901, 9.7945e-07, -4.06814178068e-20, -4.2536036911e-20, 0.0436011259831
38.5356454721, 9.861e-07, -4.01542725987e-20, -4.20034347233e-20, 0.0440240693832
38.2775119617, 9.9275e-07, -3.96380558733e-20, -4.14818472645e-20, 0.0444481505226
38.0228136882, 9.994e-07, -3.91324732046e-20, -4.09709781028e-20, 0.0448733465344
37.7714825307, 1.00605e-06, -3.86372398709e-20, -4.04705405602e-20, 0.0452996343496
37.5234521576, 1.0127e-06, -3.81520804672e-20, -3.99802573325e-20, 0.0457269909512
37.2786579683, 1.01935e-06, -3.76767285495e-20, -3.94998601272e-20, 0.0461553932554
37.037037037, 1.026e-06, -3.7210926283e-20, -3.90290893173e-20, 0.0465848183013
36.7985280589, 1.03265e-06, -3.67544241171e-20, -3.85676936099e-20, 0.0470152431491
36.563071298, 1.0393e-06, -3.63069804312e-20, -3.81154297231e-20, 0.0474466457545
36.3306085377, 1.04595e-06, -3.58683613774e-20, -3.76720621132e-20, 0.0478790019613
36.1010830325, 1.0526e-06, -3.54383404245e-20, -3.72373626388e-20, 0.048312288702
35.8744394619, 1.05925e-06, -3.50166980478e-20, -3.68111103165e-20, 0.0487464858635
35.6506238859, 1.0659e-06, -3.46032224223e-20, -3.63930910471e-20, 0.0491815499398
35.4295837024, 1.07255e-06, -3.41977062364e-20, -3.59830973626e-20, 0.0496174942432
35.2112676056, 1.0792e-06, -3.37999504684e-20, -3.55809281833e-20, 0.0500542792384
34.9956255468, 1.08585e-06, -3.34097615859e-20, -3.51863885848e-20, 0.0504918825236
34.7826086957, 1.0925e-06, -3.30269519848e-20, -3.47992895758e-20, 0.0509302808371
