# R=4.3e-06
# T=300
# R/L, L (in m), F (in N), F_pfa (in N), 1-F/F_PFA
330.578512397, 1.30075e-08, -9.73078226324e-10, -9.74602473144e-10, 0.00156396773191
312.5, 1.376e-08, -8.52115128662e-10, -8.53547791643e-10, 0.00167848009831
296.296296296, 1.45125e-08, -7.51203021519e-10, -7.52553458639e-10, 0.00179447334135
281.690140845, 1.5265e-08, -6.66255787649e-10, -6.67531945959e-10, 0.00191175616045
268.456375839, 1.60175e-08, -5.94162399861e-10, -5.9537131001e-10, 0.00203051462003
256.41025641, 1.677e-08, -5.32523306203e-10, -5.33671006229e-10, 0.00215057594153
245.398773006, 1.75225e-08, -4.79465350436e-10, -4.80557073712e-10, 0.00227178692166
235.294117647, 1.8275e-08, -4.33510285248e-10, -4.34550668987e-10, 0.00239415979052
225.988700565, 1.90275e-08, -3.93479998496e-10, -3.94473120436e-10, 0.00251759090475
217.391304348, 1.978e-08, -3.58426972476e-10, -3.59376401652e-10, 0.00264187957857
209.42408377, 2.05325e-08, -3.27582579757e-10, -3.28491568323e-10, 0.00276715950456
202.02020202, 2.1285e-08, -3.00318690322e-10, -3.01190067888e-10, 0.0028931152083
195.12195122, 2.20375e-08, -2.76118058725e-10, -2.76954393421e-10, 0.00301975601747
188.679245283, 2.279e-08, -2.54551937886e-10, -2.55355601408e-10, 0.00314723279129
182.648401826, 2.35425e-08, -2.3526284653e-10, -2.36035927252e-10, 0.0032752671642
176.991150442, 2.4295e-08, -2.17950830064e-10, -2.18695225974e-10, 0.0034038050287
171.673819742, 2.50475e-08, -2.02362866478e-10, -2.03080310519e-10, 0.00353280945143
166.666666667, 2.58e-08, -1.88284408646e-10, -1.88976504805e-10, 0.00366233971423
161.943319838, 2.65525e-08, -1.75532713144e-10, -1.76200903941e-10, 0.00379220981573
157.480314961, 2.7305e-08, -1.63951341551e-10, -1.64596960453e-10, 0.00392242299239
153.256704981, 2.80575e-08, -1.53405844179e-10, -1.54030108276e-10, 0.00405287060014
149.253731343, 2.881e-08, -1.43780155493e-10, -1.44384204577e-10, 0.00418362302799
