# R=5.8e-05
# T=300
# R/L, L (in m), F (in N), F_pfa (in N), 1-F/F_PFA
330.578512397, 1.7545e-07, -1.87598429245e-11, -1.87968958081e-11, 0.00197122354836
312.5, 1.856e-07, -1.6080865014e-11, -1.61141477552e-11, 0.00206543601863
296.296296296, 1.9575e-07, -1.38891143366e-11, -1.39191439017e-11, 0.00215742902693
281.690140845, 2.059e-07, -1.20782734881e-11, -1.21054751613e-11, 0.00224705539117
268.456375839, 2.1605e-07, -1.05687984871e-11, -1.05935310834e-11, 0.00233468861033
256.41025641, 2.262e-07, -9.30034852397e-12, -9.32291539754e-12, 0.00242058118138
245.398773006, 2.3635e-07, -8.22657169418e-12, -8.24722700365e-12, 0.00250451569517
235.294117647, 2.465e-07, -7.3114436113e-12, -7.33040536993e-12, 0.00258672715454
225.988700565, 2.5665e-07, -6.52667344246e-12, -6.54413047775e-12, 0.00266758667927
217.391304348, 2.668e-07, -5.84983539743e-12, -5.86594603564e-12, 0.00274646887481
209.42408377, 2.7695e-07, -5.26298147138e-12, -5.2778866789e-12, 0.00282408631074
202.02020202, 2.871e-07, -4.75163937339e-12, -4.76546148916e-12, 0.00290047790826
195.12195122, 2.9725e-07, -4.30404884358e-12, -4.31689282153e-12, 0.00297528302828
188.679245283, 3.074e-07, -3.9105812029e-12, -3.92254034729e-12, 0.0030488263559
182.648401826, 3.1755e-07, -3.56330402998e-12, -3.574460992e-12, 0.00312129913967
176.991150442, 3.277e-07, -3.25564317948e-12, -3.26606967144e-12, 0.00319236666979
171.673819742, 3.3785e-07, -2.98211595112e-12, -2.99187551468e-12, 0.00326202193574
166.666666667, 3.48e-07, -2.73812456705e-12, -2.74727516512e-12, 0.0033307905161
161.943319838, 3.5815e-07, -2.51979625522e-12, -2.52838960204e-12, 0.00339874314002
157.480314961, 3.683e-07, -2.32385313962e-12, -2.33193442356e-12, 0.00346548507617
153.256704981, 3.7845e-07, -2.14750695873e-12, -2.15511605267e-12, 0.00353071192429
149.253731343, 3.886e-07, -1.9883727123e-12, -1.9955481718e-12, 0.00359573354175
145.454545455, 3.9875e-07, -1.84440975393e-12, -1.85118405024e-12, 0.0036594396478
141.843971631, 4.089e-07, -1.71385811116e-12, -1.72026143864e-12, 0.00372229902877
138.408304498, 4.1905e-07, -1.59519781602e-12, -1.60125746149e-12, 0.00378430428458
135.135135135, 4.292e-07, -1.48711090409e-12, -1.49285151002e-12, 0.00384539647279
132.01320132, 4.3935e-07, -1.38845037724e-12, -1.39389457089e-12, 0.00390574277841
129.032258065, 4.495e-07, -1.29821562482e-12, -1.30338376317e-12, 0.00396517011812
126.1829653, 4.5965e-07, -1.2155295335e-12, -1.22044110508e-12, 0.00402442326692
123.456790123, 4.698e-07, -1.13962470785e-12, -1.14429573692e-12, 0.00408201212796
120.84592145, 4.7995e-07, -1.06982201722e-12, -1.07426898072e-12, 0.00413952517797
118.343195266, 4.901e-07, -1.00552455355e-12, -1.0097617345e-12, 0.00419621858306
115.942028986, 5.0025e-07, -9.46203096328e-13, -9.50243799407e-13, 0.00425228039538
113.636363636, 5.104e-07, -8.91387889518e-13, -8.9524481376e-13, 0.00430823410873
111.420612813, 5.2055e-07, -8.40663085526e-13, -8.44346523606e-13, 0.00436247201536
109.289617486, 5.307e-07, -7.93655274715e-13, -7.9717617561e-13, 0.00441671615725
