# L, R, T, 1-E/E_PFA
1.9e-08, 7.6e-06, 300, 0.0040214288
2.033e-08, 7.6e-06, 300, 0.0042884767
2.166e-08, 7.6e-06, 300, 0.004553036
2.299e-08, 7.6e-06, 300, 0.0048151277
2.432e-08, 7.6e-06, 300, 0.0050747668
2.565e-08, 7.6e-06, 300, 0.0053319797
2.698e-08, 7.6e-06, 300, 0.0055868095
2.831e-08, 7.6e-06, 300, 0.0058393033
2.964e-08, 7.6e-06, 300, 0.0060895083
3.097e-08, 7.6e-06, 300, 0.0063374846
3.23e-08, 7.6e-06, 300, 0.0065832787
3.363e-08, 7.6e-06, 300, 0.0068269546
3.496e-08, 7.6e-06, 300, 0.0070685526
3.629e-08, 7.6e-06, 300, 0.0073081522
3.762e-08, 7.6e-06, 300, 0.0075457925
3.895e-08, 7.6e-06, 300, 0.0077815571
4.028e-08, 7.6e-06, 300, 0.0080154354
4.161e-08, 7.6e-06, 300, 0.0082475419
4.294e-08, 7.6e-06, 300, 0.0084779168
4.427e-08, 7.6e-06, 300, 0.0087065959
4.56e-08, 7.6e-06, 300, 0.0089336458
4.693e-08, 7.6e-06, 300, 0.0091591004
4.826e-08, 7.6e-06, 300, 0.0093830139
4.959e-08, 7.6e-06, 300, 0.0096054201
5.092e-08, 7.6e-06, 300, 0.0098263956
5.225e-08, 7.6e-06, 300, 0.010045934
5.358e-08, 7.6e-06, 300, 0.010264111
5.491e-08, 7.6e-06, 300, 0.010480957
5.624e-08, 7.6e-06, 300, 0.010696514
5.757e-08, 7.6e-06, 300, 0.010910818
5.89e-08, 7.6e-06, 300, 0.011123904
6.023e-08, 7.6e-06, 300, 0.011335799
6.156e-08, 7.6e-06, 300, 0.011546561
6.289e-08, 7.6e-06, 300, 0.011756189
6.422e-08, 7.6e-06, 300, 0.011964732
6.555e-08, 7.6e-06, 300, 0.01217222
6.688e-08, 7.6e-06, 300, 0.012378681
6.821e-08, 7.6e-06, 300, 0.012584158
6.954e-08, 7.6e-06, 300, 0.012788645
7.087e-08, 7.6e-06, 300, 0.012992202
7.22e-08, 7.6e-06, 300, 0.013194836
7.353e-08, 7.6e-06, 300, 0.013396586
7.486e-08, 7.6e-06, 300, 0.013597461
7.619e-08, 7.6e-06, 300, 0.013797485
7.752e-08, 7.6e-06, 300, 0.013996699
7.885e-08, 7.6e-06, 300, 0.014195112
8.018e-08, 7.6e-06, 300, 0.014392738
8.151e-08, 7.6e-06, 300, 0.01458961
8.284e-08, 7.6e-06, 300, 0.014785752
8.417e-08, 7.6e-06, 300, 0.014981163
8.55e-08, 7.6e-06, 300, 0.015175887
8.683e-08, 7.6e-06, 300, 0.015369924
8.816e-08, 7.6e-06, 300, 0.015563298
8.949e-08, 7.6e-06, 300, 0.015756024
9.082e-08, 7.6e-06, 300, 0.015948136
9.215e-08, 7.6e-06, 300, 0.016139625
9.348e-08, 7.6e-06, 300, 0.016330515
9.481e-08, 7.6e-06, 300, 0.016520826
9.614e-08, 7.6e-06, 300, 0.016710572
9.747e-08, 7.6e-06, 300, 0.016899771
9.88e-08, 7.6e-06, 300, 0.017088429
1.0013e-07, 7.6e-06, 300, 0.017276565
1.0146e-07, 7.6e-06, 300, 0.017464194
1.0279e-07, 7.6e-06, 300, 0.017651329
1.0412e-07, 7.6e-06, 300, 0.017837982
1.0545e-07, 7.6e-06, 300, 0.01802416
1.0678e-07, 7.6e-06, 300, 0.018209882
1.0811e-07, 7.6e-06, 300, 0.018395158
1.0944e-07, 7.6e-06, 300, 0.018580002
1.1077e-07, 7.6e-06, 300, 0.018764411
1.121e-07, 7.6e-06, 300, 0.018948415
1.1343e-07, 7.6e-06, 300, 0.019132017
1.1476e-07, 7.6e-06, 300, 0.019315238
1.1609e-07, 7.6e-06, 300, 0.019498061
1.1742e-07, 7.6e-06, 300, 0.019680525
1.1875e-07, 7.6e-06, 300, 0.019862631
1.2008e-07, 7.6e-06, 300, 0.02004438
1.2141e-07, 7.6e-06, 300, 0.020225784
1.2274e-07, 7.6e-06, 300, 0.020406861
1.2407e-07, 7.6e-06, 300, 0.020587614
1.254e-07, 7.6e-06, 300, 0.020768049
1.2673e-07, 7.6e-06, 300, 0.020948186
1.2806e-07, 7.6e-06, 300, 0.021128025
1.2939e-07, 7.6e-06, 300, 0.021307561
1.3072e-07, 7.6e-06, 300, 0.021486824
1.3205e-07, 7.6e-06, 300, 0.021665808
1.3338e-07, 7.6e-06, 300, 0.021844542
1.3471e-07, 7.6e-06, 300, 0.022023009
1.3604e-07, 7.6e-06, 300, 0.022201221
1.3737e-07, 7.6e-06, 300, 0.022379196
1.387e-07, 7.6e-06, 300, 0.022556922
1.4003e-07, 7.6e-06, 300, 0.022734434
1.4136e-07, 7.6e-06, 300, 0.022911708
1.4269e-07, 7.6e-06, 300, 0.023088782
1.4402e-07, 7.6e-06, 300, 0.023265633
1.4535e-07, 7.6e-06, 300, 0.023442297
1.4668e-07, 7.6e-06, 300, 0.023618751
1.4801e-07, 7.6e-06, 300, 0.023795029
1.4934e-07, 7.6e-06, 300, 0.023971101
1.5067e-07, 7.6e-06, 300, 0.024147017
1.52e-07, 7.6e-06, 300, 0.024322749
