# L, R, T, 1-F/F_PFA
2.299e-08, 7.6e-06, 300, 0.0018065987
2.432e-08, 7.6e-06, 300, 0.0019368155
2.565e-08, 7.6e-06, 300, 0.0020677379
2.698e-08, 7.6e-06, 300, 0.0021992241
2.831e-08, 7.6e-06, 300, 0.0023312615
2.964e-08, 7.6e-06, 300, 0.0024636703
3.097e-08, 7.6e-06, 300, 0.0025964257
3.23e-08, 7.6e-06, 300, 0.0027294095
3.363e-08, 7.6e-06, 300, 0.002862648
3.496e-08, 7.6e-06, 300, 0.0029958975
3.629e-08, 7.6e-06, 300, 0.0031291174
3.762e-08, 7.6e-06, 300, 0.0032620913
3.895e-08, 7.6e-06, 300, 0.0033954357
4.028e-08, 7.6e-06, 300, 0.0035287743
4.161e-08, 7.6e-06, 300, 0.0036610812
4.294e-08, 7.6e-06, 300, 0.0037937313
4.427e-08, 7.6e-06, 300, 0.003926004
4.56e-08, 7.6e-06, 300, 0.0040579121
4.693e-08, 7.6e-06, 300, 0.0041896052
4.826e-08, 7.6e-06, 300, 0.0043210589
4.959e-08, 7.6e-06, 300, 0.0044517349
5.092e-08, 7.6e-06, 300, 0.0045822925
5.225e-08, 7.6e-06, 300, 0.0047127694
5.358e-08, 7.6e-06, 300, 0.0048422504
5.491e-08, 7.6e-06, 300, 0.0049715574
5.624e-08, 7.6e-06, 300, 0.005100327
5.757e-08, 7.6e-06, 300, 0.0052286565
5.89e-08, 7.6e-06, 300, 0.0053567677
6.023e-08, 7.6e-06, 300, 0.0054840124
6.156e-08, 7.6e-06, 300, 0.0056109532
6.289e-08, 7.6e-06, 300, 0.0057378149
6.422e-08, 7.6e-06, 300, 0.0058637399
6.555e-08, 7.6e-06, 300, 0.0059893974
6.688e-08, 7.6e-06, 300, 0.0061141447
6.821e-08, 7.6e-06, 300, 0.0062388854
6.954e-08, 7.6e-06, 300, 0.0063631877
7.087e-08, 7.6e-06, 300, 0.0064865693
7.22e-08, 7.6e-06, 300, 0.0066097151
7.353e-08, 7.6e-06, 300, 0.0067322586
7.486e-08, 7.6e-06, 300, 0.0068547873
7.619e-08, 7.6e-06, 300, 0.0069763327
7.752e-08, 7.6e-06, 300, 0.0070972355
7.885e-08, 7.6e-06, 300, 0.0072182645
8.018e-08, 7.6e-06, 300, 0.007338644
8.151e-08, 7.6e-06, 300, 0.007458073
8.284e-08, 7.6e-06, 300, 0.0075776036
8.417e-08, 7.6e-06, 300, 0.0076964689
8.55e-08, 7.6e-06, 300, 0.0078146686
8.683e-08, 7.6e-06, 300, 0.0079327939
8.816e-08, 7.6e-06, 300, 0.0080503343
8.949e-08, 7.6e-06, 300, 0.0081670456
9.082e-08, 7.6e-06, 300, 0.0082834852
9.215e-08, 7.6e-06, 300, 0.0084000254
9.348e-08, 7.6e-06, 300, 0.0085156482
9.481e-08, 7.6e-06, 300, 0.0086308236
9.614e-08, 7.6e-06, 300, 0.0087455065
9.747e-08, 7.6e-06, 300, 0.0088599006
9.88e-08, 7.6e-06, 300, 0.008973965
1.0013e-07, 7.6e-06, 300, 0.0090873679
1.0146e-07, 7.6e-06, 300, 0.0092003562
1.0279e-07, 7.6e-06, 300, 0.009312953
1.0412e-07, 7.6e-06, 300, 0.0094253057
1.0545e-07, 7.6e-06, 300, 0.0095372279
1.0678e-07, 7.6e-06, 300, 0.0096485915
1.0811e-07, 7.6e-06, 300, 0.0097594774
1.0944e-07, 7.6e-06, 300, 0.0098703998
1.1077e-07, 7.6e-06, 300, 0.0099807829
1.121e-07, 7.6e-06, 300, 0.010090432
1.1343e-07, 7.6e-06, 300, 0.010199525
1.1476e-07, 7.6e-06, 300, 0.010308893
1.1609e-07, 7.6e-06, 300, 0.010417836
1.1742e-07, 7.6e-06, 300, 0.010525559
1.1875e-07, 7.6e-06, 300, 0.010633677
1.2008e-07, 7.6e-06, 300, 0.010741541
1.2141e-07, 7.6e-06, 300, 0.010848621
1.2274e-07, 7.6e-06, 300, 0.010955243
1.2407e-07, 7.6e-06, 300, 0.011061916
1.254e-07, 7.6e-06, 300, 0.011167892
1.2673e-07, 7.6e-06, 300, 0.011273277
1.2806e-07, 7.6e-06, 300, 0.011379192
1.2939e-07, 7.6e-06, 300, 0.011484373
1.3072e-07, 7.6e-06, 300, 0.011589042
1.3205e-07, 7.6e-06, 300, 0.011693021
1.3338e-07, 7.6e-06, 300, 0.011796702
1.3471e-07, 7.6e-06, 300, 0.011901044
1.3604e-07, 7.6e-06, 300, 0.012004108
1.3737e-07, 7.6e-06, 300, 0.01210746
1.387e-07, 7.6e-06, 300, 0.012209983
1.4003e-07, 7.6e-06, 300, 0.012312314
1.4136e-07, 7.6e-06, 300, 0.012414388
1.4269e-07, 7.6e-06, 300, 0.012516015
1.4402e-07, 7.6e-06, 300, 0.012617394
1.4535e-07, 7.6e-06, 300, 0.012718371
1.4668e-07, 7.6e-06, 300, 0.012819028
1.4801e-07, 7.6e-06, 300, 0.012919915
