# comparison between the numerical implementations of Romain and Michael
#
# error is defined as: error = 1-Michael/Romain
# logdetD = log(det(1-M))
#
# L/R, m,  xi*R/c, lmax, logdetD (Romain),                           logdetD (Michael), error,       time (in s)
0.006, 0,  0.01,   1050, -10.82353417072695564736404969969402664891, -10.8235342764525, -9.7681e-09, 151.059
0.006, 0,  0.1,    1050, -10.80923789928005369162695142579926324289, -10.8092380173114, -1.0919e-08, 142.162
0.006, 0,  1,      1050, -10.31455898642894343922367434533562793195, -10.3145591044828, -1.1445e-08, 141.969
0.006, 0,  10,     1050, -7.82640854867416362771306741919130950667,  -7.82640866822867, -1.5276e-08, 139.685
0.006, 0,  100,    1050, -1.91303693538419614434098623545048765616,  -1.91303783809255, -4.7187e-07, 128.024

0.006, 1,  0.01,   1050, -9.24557073334796233059413539198228469908,  -9.24559142398273, -2.2379e-06, 315.697
0.006, 1,  0.1,    1050, -9.2471739154828624071202594003966770937,   -9.24919876585332, -2.1897e-04, 297.186
0.006, 1,  1,      1050, -9.17791470145418489778983244732597695802,  -9.27935759054563, -1.1053e-02, 289.181
0.006, 1,  10,     1050, -7.49840433622234288375776296199274070864,  -7.76389043029868, -3.5406e-02, 287.578
0.006, 1,  100,    1050, -1.91605401066447832933694127596401048909,  -1.93217752074946, -8.4150e-03, 271.399

0.006, 5,  0.01,   1050, -3.31051147490793377922032674013069398047,  -3.31051158510908, -3.3288e-08, 320.649
0.006, 5,  0.1,    1050, -3.31048146033416080172881062709412202632,  -3.31048240894161, -2.8655e-07, 299.732
0.006, 5,  1,      1050, -3.30749613305198067976152087098771402291,  -3.30757945650238, -2.5192e-05  285.955
0.006, 5,  10,     1050, -3.09955848928196970964969843900456266275,  -3.10331287378535, -1.2113e-03, 270.551
0.006, 5,  100,    1050, -0.98641945733049063537050140390832310205,  -0.988014757238901,-1.6173e-03, 263.202

0.006, 10, 0.01,   1050, -1.04439839186002450883711464624239223521,  -1.0443984593008,  -6.4574e-08, 310.898
0.006, 10, 0.1,    1050, -1.04439543140257609231244521505810923965,  -1.0443955074065,  -7.2773e-08, 285.451
