# eps.py --omegap_low 9 --gamma_low 0.03 --omegap_high 54.475279 --gamma_high 211.48855 --description bulk gold gold/palik.csv
#
# This file contains the dielectric function epsilon(i*xi) for bulk gold
# input filename: gold/palik.csv
#
# Drude parameters for low frequencies:
# omegap_low = 9eV
# gamma_low = 0.03eV
#
# Drude parameters for high frequencies:
# omegap_high = 54.4753eV
# gamma_high = 211.489eV
#
# xi in rad/s	epsilon(i*xi)
1.00000000e+11	4.09305066e+07
1.01816963e+11	4.01984887e+07
1.03666939e+11	3.94795340e+07
1.05550528e+11	3.87734095e+07
1.07468342e+11	3.80798862e+07
1.09421001e+11	3.73987392e+07
1.11409140e+11	3.67297476e+07
1.13433402e+11	3.60726947e+07
1.15494445e+11	3.54273672e+07
1.17592935e+11	3.47935560e+07
1.19729555e+11	3.41710555e+07
1.21904996e+11	3.35596639e+07
1.24119964e+11	3.29591830e+07
1.26375178e+11	3.23694181e+07
1.28671367e+11	3.17901779e+07
1.31009278e+11	3.12212747e+07
1.33389667e+11	3.06625239e+07
1.35813308e+11	3.01137444e+07
1.38280985e+11	2.95747582e+07
1.40793498e+11	2.90453907e+07
1.43351664e+11	2.85254700e+07
1.45956310e+11	2.80148278e+07
1.48608281e+11	2.75132983e+07
1.51308438e+11	2.70207190e+07
1.54057656e+11	2.65369301e+07
1.56856825e+11	2.60617749e+07
1.59706855e+11	2.55950991e+07
1.62608669e+11	2.51367516e+07
1.65563208e+11	2.46865837e+07
1.68571429e+11	2.42444494e+07
1.71634309e+11	2.38102053e+07
1.74752840e+11	2.33837108e+07
1.77928034e+11	2.29648274e+07
1.81160919e+11	2.25534193e+07
1.84452545e+11	2.21493532e+07
1.87803979e+11	2.17524981e+07
1.91216307e+11	2.13627252e+07
1.94690636e+11	2.09799082e+07
1.98228092e+11	2.06039230e+07
2.01829822e+11	2.02346476e+07
2.05496994e+11	1.98719624e+07
2.09230798e+11	1.95157496e+07
2.13032443e+11	1.91658939e+07
2.16903163e+11	1.88222817e+07
2.20844212e+11	1.84848017e+07
2.24856869e+11	1.81533445e+07
2.28942434e+11	1.78278025e+07
2.33102232e+11	1.75080702e+07
2.37337612e+11	1.71940439e+07
2.41649948e+11	1.68856219e+07
2.46040637e+11	1.65827041e+07
2.50511103e+11	1.62851922e+07
2.55062796e+11	1.59929899e+07
2.59697192e+11	1.57060024e+07
2.64415792e+11	1.54241366e+07
2.69220128e+11	1.51473011e+07
2.74111757e+11	1.48754062e+07
2.79092265e+11	1.46083637e+07
2.84163267e+11	1.43460870e+07
2.89326407e+11	1.40884911e+07
2.94583360e+11	1.38354925e+07
2.99935829e+11	1.35870091e+07
3.05385551e+11	1.33429603e+07
3.10934292e+11	1.31032671e+07
3.16583852e+11	1.28678517e+07
3.22336062e+11	1.26366377e+07
3.28192787e+11	1.24095503e+07
3.34155927e+11	1.21865157e+07
3.40227415e+11	1.19674616e+07
3.46409220e+11	1.17523171e+07
3.52703346e+11	1.15410124e+07
3.59111834e+11	1.13334789e+07
3.65636761e+11	1.11296494e+07
3.72280244e+11	1.09294577e+07
3.79044437e+11	1.07328390e+07
3.85931532e+11	1.05397295e+07
3.92943764e+11	1.03500666e+07
4.00083405e+11	1.01637888e+07
4.07352771e+11	9.98083567e+06
4.14754218e+11	9.80114791e+06
4.22290147e+11	9.62466727e+06
4.29963001e+11	9.45133652e+06
4.37775267e+11	9.28109944e+06
4.45729480e+11	9.11390086e+06
4.53828218e+11	8.94968654e+06
4.62074107e+11	8.78840325e+06
4.70469820e+11	8.62999869e+06
4.79018081e+11	8.47442151e+06
4.87721660e+11	8.32162124e+06
4.96583380e+11	8.17154835e+06
5.05606114e+11	8.02415418e+06
5.14792787e+11	7.87939094e+06
5.24146380e+11	7.73721168e+06
5.33669923e+11	7.59757031e+06
5.43366506e+11	7.46042155e+06
5.53239272e+11	7.32572092e+06
5.63291422e+11	7.19342476e+06
5.73526216e+11	7.06349016e+06
5.83946973e+11	6.93587500e+06
5.94557071e+11	6.81053788e+06
6.05359950e+11	6.68743819e+06
6.16359114e+11	6.56653599e+06
6.27558128e+11	6.44779209e+06
6.38960624e+11	6.33116798e+06
6.50570300e+11	6.21662586e+06
6.62390918e+11	6.10412857e+06
6.74426313e+11	5.99363965e+06
6.86680387e+11	5.88512326e+06
6.99157112e+11	5.77854422e+06
7.11860535e+11	5.67386797e+06
7.24794775e+11	5.57106057e+06
7.37964024e+11	5.47008869e+06
7.51372554e+11	5.37091958e+06
7.65024712e+11	5.27352109e+06
7.78924925e+11	5.17786163e+06
7.93077699e+11	5.08391020e+06
8.07487624e+11	4.99163632e+06
8.22159372e+11	4.90101007e+06
8.37097700e+11	4.81200208e+06
8.52307452e+11	4.72458347e+06
8.67793559e+11	4.63872590e+06
8.83561043e+11	4.55440154e+06
8.99615016e+11	4.47158303e+06
9.15960684e+11	4.39024353e+06
9.32603347e+11	4.31035666e+06
9.49548400e+11	4.23189651e+06
9.66801339e+11	4.15483765e+06
9.84367758e+11	4.07915508e+06
1.00225335e+12	4.00482427e+06
1.02046392e+12	3.93182112e+06
1.03900537e+12	3.86012194e+06
1.05788371e+12	3.78970350e+06
1.07710506e+12	3.72054295e+06
1.09667565e+12	3.65261787e+06
1.11660184e+12	3.58590624e+06
1.13689007e+12	3.52038642e+06
1.15754694e+12	3.45603717e+06
1.17857914e+12	3.39283762e+06
1.19999348e+12	3.33076727e+06
1.22179691e+12	3.26980600e+06
1.24399650e+12	3.20993404e+06
1.26659945e+12	3.15113198e+06
1.28961309e+12	3.09338074e+06
1.31304488e+12	3.03666159e+06
1.33690241e+12	2.98095616e+06
1.36119343e+12	2.92624636e+06
1.38592580e+12	2.87251446e+06
1.41110756e+12	2.81974304e+06
1.43674685e+12	2.76791497e+06
1.46285200e+12	2.71701346e+06
1.48943148e+12	2.66702200e+06
1.51649389e+12	2.61792437e+06
1.54404802e+12	2.56970464e+06
1.57210279e+12	2.52234720e+06
1.60066731e+12	2.47583666e+06
1.62975083e+12	2.43015796e+06
1.65936280e+12	2.38529627e+06
1.68951280e+12	2.34123704e+06
1.72021061e+12	2.29796599e+06
1.75146620e+12	2.25546909e+06
1.78328968e+12	2.21373254e+06
1.81569139e+12	2.17274281e+06
1.84868182e+12	2.13248661e+06
1.88227168e+12	2.09295088e+06
1.91647185e+12	2.05412280e+06
1.95129342e+12	2.01598977e+06
1.98674769e+12	1.97853941e+06
2.02284616e+12	1.94175960e+06
2.05960051e+12	1.90563839e+06
2.09702268e+12	1.87016406e+06
2.13512480e+12	1.83532511e+06
2.17391922e+12	1.80111024e+06
2.21341852e+12	1.76750834e+06
2.25363550e+12	1.73450852e+06
2.29458321e+12	1.70210007e+06
2.33627493e+12	1.67027247e+06
2.37872417e+12	1.63901540e+06
2.42194470e+12	1.60831872e+06
2.46595053e+12	1.57817246e+06
2.51075593e+12	1.54856684e+06
2.55637542e+12	1.51949227e+06
2.60282381e+12	1.49093929e+06
2.65011614e+12	1.46289865e+06
2.69826776e+12	1.43536124e+06
2.74729427e+12	1.40831813e+06
2.79721158e+12	1.38176054e+06
2.84803587e+12	1.35567984e+06
2.89978361e+12	1.33006759e+06
2.95247160e+12	1.30491545e+06
3.00611690e+12	1.28021526e+06
3.06073692e+12	1.25595901e+06
3.11634936e+12	1.23213881e+06
3.17297226e+12	1.20874694e+06
3.23062398e+12	1.18577580e+06
3.28932321e+12	1.16321792e+06
3.34908898e+12	1.14106599e+06
3.40994067e+12	1.11931280e+06
3.47189802e+12	1.09795129e+06
3.53498111e+12	1.07697452e+06
3.59921039e+12	1.05637567e+06
3.66460669e+12	1.03614806e+06
3.73119122e+12	1.01628510e+06
3.79898557e+12	9.96780340e+05
3.86801172e+12	9.77627444e+05
3.93829204e+12	9.58820184e+05
4.00984933e+12	9.40352444e+05
4.08270679e+12	9.22218219e+05
4.15688805e+12	9.04411612e+05
4.23241715e+12	8.86926831e+05
4.30931858e+12	8.69758187e+05
4.38761729e+12	8.52900095e+05
4.46733865e+12	8.36347068e+05
4.54850852e+12	8.20093719e+05
4.63115322e+12	8.04134756e+05
4.71529954e+12	7.88464983e+05
4.80097477e+12	7.73079298e+05
4.88820668e+12	7.57972687e+05
4.97702356e+12	7.43140229e+05
5.06745422e+12	7.28577090e+05
5.15952796e+12	7.14278524e+05
5.25327466e+12	7.00239867e+05
5.34872469e+12	6.86456541e+05
5.44590901e+12	6.72924050e+05
5.54485914e+12	6.59637977e+05
5.64560716e+12	6.46593986e+05
5.74818572e+12	6.33787817e+05
5.85262811e+12	6.21215287e+05
5.95896817e+12	6.08872287e+05
6.06724039e+12	5.96754784e+05
6.17747987e+12	5.84858815e+05
6.28972237e+12	5.73180488e+05
6.40400427e+12	5.61715981e+05
6.52036263e+12	5.50461540e+05
6.63883518e+12	5.39413480e+05
6.75946033e+12	5.28568180e+05
6.88227719e+12	5.17922083e+05
7.00732559e+12	5.07471697e+05
7.13464607e+12	4.97213593e+05
7.26427992e+12	4.87144402e+05
7.39626917e+12	4.77260814e+05
7.53065661e+12	4.67559581e+05
7.66748582e+12	4.58037511e+05
7.80680117e+12	4.48691468e+05
7.94864782e+12	4.39518375e+05
8.09307177e+12	4.30515206e+05
8.24011986e+12	4.21678992e+05
8.38983975e+12	4.13006816e+05
8.54228000e+12	4.04495810e+05
8.69749003e+12	3.96143162e+05
8.85552016e+12	3.87946106e+05
9.01642165e+12	3.79901927e+05
9.18024665e+12	3.72007957e+05
9.34704830e+12	3.64261576e+05
9.51688067e+12	3.56660209e+05
9.68979882e+12	3.49201330e+05
9.86585884e+12	3.41882453e+05
1.00451178e+13	3.34701140e+05
1.02276338e+13	3.27654993e+05
1.04134661e+13	3.20741659e+05
1.06026749e+13	3.13958823e+05
1.07953215e+13	3.07304213e+05
1.09914685e+13	3.00775598e+05
1.11911793e+13	2.94370784e+05
1.13945189e+13	2.88087615e+05
1.16015530e+13	2.81923976e+05
1.18123489e+13	2.75877785e+05
1.20269748e+13	2.69946999e+05
1.22455005e+13	2.64129609e+05
1.24679966e+13	2.58423643e+05
1.26945355e+13	2.52827162e+05
1.29251904e+13	2.47338261e+05
1.31600363e+13	2.41955066e+05
1.33991492e+13	2.36675739e+05
1.36426067e+13	2.31498471e+05
1.38904878e+13	2.26421486e+05
1.41428728e+13	2.21443037e+05
1.43998435e+13	2.16561407e+05
1.46614832e+13	2.11774911e+05
1.49278769e+13	2.07081890e+05
1.51991108e+13	2.02480715e+05
1.54752730e+13	1.97969784e+05
1.57564529e+13	1.93547522e+05
1.60427417e+13	1.89212381e+05
1.63342324e+13	1.84962841e+05
1.66310192e+13	1.80797404e+05
1.69331986e+13	1.76714601e+05
1.72408685e+13	1.72712986e+05
1.75541286e+13	1.68791137e+05
1.78730806e+13	1.64947656e+05
1.81978278e+13	1.61181170e+05
1.85284755e+13	1.57490327e+05
1.88651309e+13	1.53873798e+05
1.92079033e+13	1.50330276e+05
1.95569037e+13	1.46858476e+05
1.99122453e+13	1.43457134e+05
2.02740434e+13	1.40125007e+05
2.06424152e+13	1.36860874e+05
2.10174801e+13	1.33663530e+05
2.13993599e+13	1.30531793e+05
2.17881782e+13	1.27464500e+05
2.21840613e+13	1.24460506e+05
2.25871373e+13	1.21518685e+05
2.29975372e+13	1.18637930e+05
2.34153938e+13	1.15817150e+05
2.38408427e+13	1.13055273e+05
2.42740219e+13	1.10351246e+05
2.47150718e+13	1.07704028e+05
2.51641354e+13	1.05112600e+05
2.56213583e+13	1.02575956e+05
2.60868888e+13	1.00093107e+05
2.65608778e+13	9.76630807e+04
2.70434790e+13	9.52849183e+04
2.75348489e+13	9.29576775e+04
2.80351468e+13	9.06804309e+04
2.85445349e+13	8.84522654e+04
2.90631784e+13	8.62722825e+04
2.95912455e+13	8.41395979e+04
3.01289074e+13	8.20533410e+04
3.06763383e+13	8.00126551e+04
3.12337159e+13	7.80166969e+04
3.18012208e+13	7.60646362e+04
3.23790371e+13	7.41556559e+04
3.29673521e+13	7.22889516e+04
3.35663565e+13	7.04637316e+04
3.41762447e+13	6.86792165e+04
3.47972142e+13	6.69346390e+04
3.54294666e+13	6.52292440e+04
3.60732067e+13	6.35622879e+04
3.67286434e+13	6.19330388e+04
3.73959891e+13	6.03407764e+04
3.80754602e+13	5.87847914e+04
3.87672771e+13	5.72643857e+04
3.94716640e+13	5.57788721e+04
4.01888493e+13	5.43275741e+04
4.09190657e+13	5.29098258e+04
4.16625498e+13	5.15249718e+04
4.24195427e+13	5.01723670e+04
4.31902899e+13	4.88513763e+04
4.39750413e+13	4.75613746e+04
4.47740513e+13	4.63017469e+04
4.55875791e+13	4.50718877e+04
4.64158883e+13	4.38712011e+04
4.72592476e+13	4.26991007e+04
4.81179305e+13	4.15550094e+04
4.89922153e+13	4.04383594e+04
4.98823855e+13	3.93485920e+04
5.07887297e+13	3.82851572e+04
5.17115419e+13	3.72475142e+04
5.26511213e+13	3.62351308e+04
5.36077725e+13	3.52474834e+04
5.45818056e+13	3.42840569e+04
5.55735366e+13	3.33443447e+04
5.65832869e+13	3.24278486e+04
5.76113841e+13	3.15340784e+04
5.86581613e+13	3.06625521e+04
5.97239582e+13	2.98127959e+04
6.08091201e+13	2.89843435e+04
6.19139991e+13	2.81767370e+04
6.30389532e+13	2.73895256e+04
6.41843474e+13	2.66222667e+04
6.53505530e+13	2.58745248e+04
6.65379481e+13	2.51458723e+04
6.77469177e+13	2.44358886e+04
6.89778538e+13	2.37441605e+04
7.02311556e+13	2.30702822e+04
7.15072294e+13	2.24138548e+04
7.28064890e+13	2.17744864e+04
7.41293556e+13	2.11517923e+04
7.54762582e+13	2.05453943e+04
7.68476336e+13	1.99549214e+04
7.82439263e+13	1.93800091e+04
7.96655892e+13	1.88202995e+04
8.11130831e+13	1.82754413e+04
8.25868774e+13	1.77450897e+04
8.40874501e+13	1.72289062e+04
8.56152875e+13	1.67265588e+04
8.71708853e+13	1.62377215e+04
8.87547476e+13	1.57620747e+04
9.03673881e+13	1.52993047e+04
9.20093298e+13	1.48491040e+04
9.36811048e+13	1.44111708e+04
9.53832554e+13	1.39852093e+04
9.71163335e+13	1.35709296e+04
9.88809009e+13	1.31680472e+04
1.00677530e+14	1.27762836e+04
1.02506803e+14	1.23953656e+04
1.04369313e+14	1.20250257e+04
1.06265664e+14	1.16650015e+04
1.08196472e+14	1.13150363e+04
1.10162361e+14	1.09748784e+04
1.12163970e+14	1.06442816e+04
1.14201947e+14	1.03230044e+04
1.16276954e+14	1.00108108e+04
1.18389663e+14	9.70746937e+03
1.20540758e+14	9.41275393e+03
1.22730939e+14	9.12644296e+03
1.24960914e+14	8.84831974e+03
1.27231407e+14	8.57817223e+03
1.29543154e+14	8.31579304e+03
1.31896905e+14	8.06097932e+03
1.34293422e+14	7.81353270e+03
1.36733483e+14	7.57325921e+03
1.39217880e+14	7.33996925e+03
1.41747416e+14	7.11347747e+03
1.44322914e+14	6.89360272e+03
1.46945207e+14	6.68016800e+03
1.49615146e+14	6.47300037e+03
1.52333598e+14	6.27193087e+03
1.55101442e+14	6.07679448e+03
1.57919577e+14	5.88743006e+03
1.60788917e+14	5.70368024e+03
1.63710391e+14	5.52539137e+03
1.66684948e+14	5.35241348e+03
1.69713551e+14	5.18460019e+03
1.72797182e+14	5.02180865e+03
1.75936843e+14	4.86389947e+03
1.79133549e+14	4.71073666e+03
1.82388339e+14	4.56218757e+03
1.85702266e+14	4.41812282e+03
1.89076407e+14	4.27841625e+03
1.92511855e+14	4.14294483e+03
1.96009723e+14	4.01158862e+03
1.99571146e+14	3.88423072e+03
2.03197279e+14	3.76075718e+03
2.06889298e+14	3.64105695e+03
2.10648399e+14	3.52502184e+03
2.14475801e+14	3.41254643e+03
2.18372746e+14	3.30352805e+03
2.22340497e+14	3.19786667e+03
2.26380341e+14	3.09546490e+03
2.30493587e+14	2.99622790e+03
2.34681569e+14	2.90006333e+03
2.38945645e+14	2.80688129e+03
2.43287198e+14	2.71659428e+03
2.47707636e+14	2.62911716e+03
2.52208391e+14	2.54436705e+03
2.56790923e+14	2.46226332e+03
2.61456718e+14	2.38272752e+03
2.66207288e+14	2.30568334e+03
2.71044175e+14	2.23105656e+03
2.75968946e+14	2.15877499e+03
2.80983199e+14	2.08876842e+03
2.86088558e+14	2.02096860e+03
2.91286680e+14	1.95530916e+03
2.96579250e+14	1.89172560e+03
3.01967984e+14	1.83015520e+03
3.07454629e+14	1.77053702e+03
3.13040965e+14	1.71281183e+03
3.18728802e+14	1.65692207e+03
3.24519985e+14	1.60281182e+03
3.30416391e+14	1.55042676e+03
3.36419933e+14	1.49971411e+03
3.42532558e+14	1.45062260e+03
3.48756246e+14	1.40310244e+03
3.55093016e+14	1.35710528e+03
3.61544923e+14	1.31258416e+03
3.68114059e+14	1.26949349e+03
3.74802554e+14	1.22778902e+03
3.81612576e+14	1.18742775e+03
3.88546334e+14	1.14836798e+03
3.95606075e+14	1.11056923e+03
4.02794089e+14	1.07399218e+03
4.10112707e+14	1.03859870e+03
4.17564301e+14	1.00435179e+03
4.25151288e+14	9.71215522e+02
4.32876128e+14	9.39155063e+02
4.40741325e+14	9.08136607e+02
4.48749430e+14	8.78127360e+02
4.56903039e+14	8.49095511e+02
4.65204796e+14	8.21010205e+02
4.73657393e+14	7.93841515e+02
4.82263571e+14	7.67560418e+02
4.91026119e+14	7.42138770e+02
4.99947880e+14	7.17549276e+02
5.09031746e+14	6.93765476e+02
5.18280662e+14	6.70761710e+02
5.27697628e+14	6.48513105e+02
5.37285696e+14	6.26995545e+02
5.47047976e+14	6.06185656e+02
5.56987633e+14	5.86060779e+02
5.67107889e+14	5.66598952e+02
5.77412028e+14	5.47778890e+02
5.87903388e+14	5.29579967e+02
5.98585372e+14	5.11982192e+02
6.09461444e+14	4.94966194e+02
6.20535131e+14	4.78513205e+02
6.31810022e+14	4.62605040e+02
6.43289773e+14	4.47224079e+02
6.54978107e+14	4.32353253e+02
6.66878814e+14	4.17976026e+02
6.78995753e+14	4.04076380e+02
6.91332851e+14	3.90638800e+02
7.03894110e+14	3.77648258e+02
7.16683603e+14	3.65090197e+02
7.29705475e+14	3.52950520e+02
7.42963951e+14	3.41215577e+02
7.56463328e+14	3.29872145e+02
7.70207983e+14	3.18907423e+02
7.84202374e+14	3.08309015e+02
7.98451037e+14	2.98064917e+02
8.12958594e+14	2.88163508e+02
8.27729747e+14	2.78593538e+02
8.42769286e+14	2.69344113e+02
8.58082089e+14	2.60404688e+02
8.73673119e+14	2.51765055e+02
8.89547432e+14	2.43415333e+02
9.05710176e+14	2.35345958e+02
9.22166591e+14	2.27547671e+02
9.38922013e+14	2.20011513e+02
9.55981874e+14	2.12728811e+02
9.73351707e+14	2.05691172e+02
9.91037143e+14	1.98890475e+02
1.00904392e+15	1.92318858e+02
1.02737787e+15	1.85968717e+02
1.04604494e+15	1.79832690e+02
1.06505118e+15	1.73903657e+02
1.08440276e+15	1.68174727e+02
1.10410596e+15	1.62639233e+02
1.12416715e+15	1.57290724e+02
1.14459284e+15	1.52122960e+02
1.16538967e+15	1.47129904e+02
1.18656436e+15	1.42305715e+02
1.20812379e+15	1.37644742e+02
1.23007495e+15	1.33141521e+02
1.25242495e+15	1.28790765e+02
1.27518104e+15	1.24587359e+02
1.29835060e+15	1.20526357e+02
1.32194115e+15	1.16602975e+02
1.34596032e+15	1.12812586e+02
1.37041592e+15	1.09150714e+02
1.39531586e+15	1.05613031e+02
1.42066823e+15	1.02195351e+02
1.44648124e+15	9.88936265e+01
1.47276326e+15	9.57039419e+01
1.49952282e+15	9.26225118e+01
1.52676859e+15	8.96456757e+01
1.55450940e+15	8.67698936e+01
1.58275426e+15	8.39917430e+01
1.61151231e+15	8.13079142e+01
1.64079288e+15	7.87152072e+01
1.67060547e+15	7.62105282e+01
1.70095975e+15	7.37908858e+01
1.73186555e+15	7.14533879e+01
1.76333290e+15	6.91952385e+01
1.79537200e+15	6.70137346e+01
1.82799324e+15	6.49062629e+01
1.86120719e+15	6.28702972e+01
1.89502463e+15	6.09033956e+01
1.92945651e+15	5.90031975e+01
1.96451402e+15	5.71674210e+01
2.00020850e+15	5.53938604e+01
2.03655154e+15	5.36803840e+01
2.07355492e+15	5.20249310e+01
2.11123064e+15	5.04255099e+01
2.14959091e+15	4.88801958e+01
2.18864817e+15	4.73871284e+01
2.22841509e+15	4.59445099e+01
2.26890455e+15	4.45506028e+01
